Stereotype,category,event,kind,mode,phase,relator,role,roleMixin,subkind,type,none_c,other_c,characterization,componentOf,derivation,material,mediation,none_r,other_r
category,1.0,0.1420366008075409,0.12741374303451516,0.3940677177253759,0.3623891384889421,0.0,0.059281489192435435,0.3446619257562728,0.5482227474660045,0.2863218829961349,0.10767364358585078,0.08780402144736987,0.3344839275696111,0.023871660441438843,0.010680938788908134,0.2538846751845087,0.30839107680264544,0.2110652135964862,0.10743333278905928
event,0.1420366008075409,1.0,0.32469052697135753,0.22143311696160667,0.046426122052889304,0.37048716428361433,0.09305767161334831,0.3837668074333101,0.08223472353516546,0.30794947489173047,0.44275529174331274,0.22729472855504593,0.08918863785730427,0.30490016729793146,0.22925613325851346,0.09013163307618917,0.16824098254444222,0.29851203085667477,0.030532229035987162
kind,0.12741374303451516,0.32469052697135753,1.0,0.05902269001765368,0.016805567123959794,0.0773632905080475,0.4496257696027719,0.29363057911188967,0.328503719785786,0.05212931274297332,0.1447703124497924,0.12402010616267571,0.15573439366671032,0.3214606622821229,0.2602961913104138,0.5219351348229039,0.03437190682135259,0.12378288585626898,0.09351893092629068
mode,0.3940677177253759,0.22143311696160667,0.05902269001765368,1.0,0.2432914073116362,0.053260370699665806,0.0637326852168976,0.4851576708917892,0.24715788339485087,0.11531695273872655,0.1535923958300533,0.022818497985008446,0.32991401310657625,0.056983814201943345,0.0298582884800038,0.0044071520683108,0.2213438564577569,0.1472375864705584,0.05860058902081366
phase,0.3623891384889421,0.046426122052889304,0.016805567123959794,0.2432914073116362,1.0,0.0,0.2346437309721752,0.24190815725497627,0.25928284927808776,0.03941557782539959,0.024808473640120135,0.07991597747919643,0.03526707552795557,0.02857659373359314,0.1637880893679067,0.10986275686412375,0.0695536478943152,0.014259506760769293,0.16838464248768986
relator,0.0,0.37048716428361433,0.0773632905080475,0.053260370699665806,0.0,1.0,0.20320556743213947,0.19259476600709177,0.1279167631376161,0.06998047912863861,0.37238337488519085,0.17783537550685027,0.2644519828852521,0.022999692871835203,0.39471596510313106,0.0946019544929647,0.5852059476522397,0.060143154598565805,0.15124800501957633
role,0.059281489192435435,0.09305767161334831,0.4496257696027719,0.0637326852168976,0.2346437309721752,0.20320556743213947,1.0,0.00835166064652327,0.0,0.09510241342073512,0.064081256494897,0.2083778013131581,0.05949478778352734,0.06183950833048754,0.20978492477828775,0.3619037710129527,0.06494401772468987,0.37448939916089297,0.12871856642501733
roleMixin,0.3446619257562728,0.3837668074333101,0.29363057911188967,0.4851576708917892,0.24190815725497627,0.19259476600709177,0.00835166064652327,1.0,0.13146056358165498,0.298639097837232,0.04241175380788207,0.1888831614242931,0.28878106894416516,0.31205330884493204,0.22173491176180066,0.17311929416626465,0.23365990031013437,0.18689654645313974,0.04548899273583087
subkind,0.5482227474660045,0.08223472353516546,0.328503719785786,0.24715788339485087,0.25928284927808776,0.1279167631376161,0.0,0.13146056358165498,1.0,0.1808152865931122,0.014558183903495003,0.1160548391577457,0.06020170693253156,0.3069411348199151,0.0,0.30744150475703985,0.17880476040604656,0.09216639949006439,0.22003157596369602
type,0.2863218829961349,0.30794947489173047,0.05212931274297332,0.11531695273872655,0.03941557782539959,0.06998047912863861,0.09510241342073512,0.298639097837232,0.1808152865931122,1.0,0.3242315625125335,0.0159622162961952,0.0226410083619337,0.24205785111896963,0.17436666855022748,0.054060531836336655,0.13969623685517224,0.24851388473599179,0.08508172342972152
none_c,0.10767364358585078,0.44275529174331274,0.1447703124497924,0.1535923958300533,0.024808473640120135,0.37238337488519085,0.064081256494897,0.04241175380788207,0.014558183903495003,0.3242315625125335,1.0,0.09787668355989157,0.30658534920299424,0.1519023077231061,0.2208630823122138,0.08317281794088272,0.2848850903492045,0.28063240885975393,0.18780002202076962
other_c,0.08780402144736987,0.22729472855504593,0.12402010616267571,0.022818497985008446,0.07991597747919643,0.17783537550685027,0.2083778013131581,0.1888831614242931,0.1160548391577457,0.0159622162961952,0.09787668355989157,1.0,0.04944489891840764,0.08002444725181146,0.11237570285437469,0.023672511609887908,0.10478747684937129,0.2032537818903786,0.04719178206903917
characterization,0.3344839275696111,0.08918863785730427,0.15573439366671032,0.32991401310657625,0.03526707552795557,0.2644519828852521,0.05949478778352734,0.28878106894416516,0.06020170693253156,0.0226410083619337,0.30658534920299424,0.04944489891840764,1.0,0.14745872114220737,0.15459891943299645,0.14306000058376753,0.6011551643241131,0.1479822394839639,0.39060159894959273
componentOf,0.023871660441438843,0.30490016729793146,0.3214606622821229,0.056983814201943345,0.02857659373359314,0.022999692871835203,0.06183950833048754,0.31205330884493204,0.3069411348199151,0.24205785111896963,0.1519023077231061,0.08002444725181146,0.14745872114220737,1.0,0.21822554938894792,0.1331073763654333,0.05497802570819159,0.2728735414510121,0.06142007219823114
derivation,0.010680938788908134,0.22925613325851346,0.2602961913104138,0.0298582884800038,0.1637880893679067,0.39471596510313106,0.20978492477828775,0.22173491176180066,0.0,0.17436666855022748,0.2208630823122138,0.11237570285437469,0.15459891943299645,0.21822554938894792,1.0,0.6148539735152267,0.3668929490608329,0.0547055922768225,0.4728989222840521
