Stereotype,x_value,y_value,distance_from_origin,rank,quadrant
abstract,0.0,0.0,0.0,40,Q3
category,0.03765490943755958,0.6363636363636364,0.6374767210578761,6,Q1
collective,0.0076263107721639654,0.21212121212121213,0.2122582607291549,16,Q1
datatype,0.003336510962821735,0.12121212121212122,0.12125803327675654,25,Q3
enumeration,0.004766444232602479,0.09090909090909091,0.09103395960046923,26,Q3
event,0.0657769304099142,0.42424242424242425,0.4293113544983871,8,Q1
historicalRole,0.0,0.0,0.0,40,Q3
historicalRoleMixin,0.0,0.0,0.0,40,Q3
kind,0.08007626310772165,0.696969696969697,0.701554678130884,2,Q1
mixin,0.002859866539561487,0.15151515151515152,0.15154213927249222,22,Q2
mode,0.03098188751191611,0.36363636363636365,0.364953808464138,11,Q1
phase,0.011439466158245948,0.18181818181818182,0.18217769519250998,18,Q1
phaseMixin,0.0,0.0,0.0,40,Q3
quality,0.006196377502383222,0.12121212121212122,0.12137039763836158,24,Q3
quantity,0.004766444232602479,0.09090909090909091,0.09103395960046923,26,Q3
relator,0.04099142040038131,0.6666666666666666,0.6679257002024142,4,Q1
role,0.047664442326024785,0.6363636363636364,0.6381462032702234,5,Q1
roleMixin,0.02716873212583413,0.42424242424242425,0.42511148482770306,9,Q1
situation,0.007149666348903718,0.15151515151515152,0.15168374622074696,21,Q1
subkind,0.07149666348903717,0.6666666666666666,0.6704895355891165,3,Q1
type,0.011439466158245948,0.12121212121212122,0.12175072777904705,23,Q4
none_c,0.041468064823641564,0.18181818181818182,0.18648713532007283,17,Q1
other_c,0.026215443279313633,0.24242424242424243,0.24383757458869784,15,Q1
bringsAbout,0.0014299332697807435,0.030303030303030304,0.030336749244149395,32,Q3
characterization,0.0219256434699714,0.30303030303030304,0.3038224784248354,13,Q1
comparative,0.0,0.0,0.0,40,Q3
componentOf,0.019542421353670163,0.30303030303030304,0.3036597944855421,14,Q1
creation,0.0,0.0,0.0,40,Q3
derivation,0.010009532888465206,0.18181818181818182,0.18209349792981266,19,Q1
externalDependence,0.0038131553860819827,0.06060606060606061,0.06072589839750333,29,Q3
historicalDependence,0.0023832221163012394,0.030303030303030304,0.03039660167193037,31,Q3
instantiation,0.0009532888465204957,0.030303030303030304,0.030318021128880976,34,Q3
manifestation,0.0014299332697807435,0.030303030303030304,0.030336749244149395,32,Q3
material,0.02430886558627264,0.3939393939393939,0.39468869637149284,10,Q1
mediation,0.04099142040038131,0.45454545454545453,0.45639003800956773,7,Q1
memberOf,0.004766444232602479,0.18181818181818182,0.181880648311721,20,Q2
participation,0.007149666348903718,0.06060606060606061,0.06102632473847772,28,Q4
participational,0.0,0.0,0.0,40,Q3
subCollectionOf,0.003336510962821735,0.06060606060606061,0.06069783264327089,30,Q3
subQuantityOf,0.0,0.0,0.0,40,Q3
termination,0.0,0.0,0.0,40,Q3
triggers,0.0009532888465204957,0.030303030303030304,0.030318021128880976,34,Q3
none_r,0.28836987607244996,0.8484848484848485,0.8961493868403841,1,Q1
other_r,0.03956148713060057,0.3333333333333333,0.3356727906385857,12,Q1
