Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,4,0.505719733079123,4,0.30254777070063693
20.0,8,0.6768350810295519,8,0.5286624203821656
30.0,13,0.838417540514776,13,0.7197452229299363
40.0,17,0.9156339370829362,17,0.8184713375796179
50.0,22,0.9590085795996187,22,0.9076433121019108
60.0,26,0.9795042897998093,26,0.9554140127388535
70.0,30,0.9928503336510963,30,0.9840764331210191
80.0,35,1.0,35,1.0
90.0,39,1.0,39,1.0
100.0,44,1.0,44,1.0
