stereotype,total_correlation_occurrence_wise,rank_total_correlation_occurrence_wise
category,3.7802905249441787,7
event,4.099470083208104,4
kind,3.863743205725682,6
mode,2.7272318222138736,17
phase,2.091141569149149,18
relator,3.6703252128724735,10
role,2.9106261813443544,15
roleMixin,4.123429885915947,3
subkind,3.4125410183841582,12
type,2.987724386538794,14
none_c,3.5812468444985086,11
other_c,2.070438751065686,19
characterization,3.6880411614386617,9
componentOf,2.858860275754332,16
derivation,4.065977566296695,5
material,3.7593672859456593,8
mediation,4.3589096314852505,2
none_r,4.38568705312709,1
other_r,3.1959661878641823,13
