Stereotype,category,collective,datatype,event,kind,mixin,mode,phase,quality,relator,role,roleMixin,situation,subkind,type,none_c,other_c,characterization,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,none_r,other_r
role,-0.020919553301994357,0.16305483634978477,-0.050838298403197806,-0.1696411023803291,0.4303577689765589,0.1755425558840364,0.04109961558831383,0.2563885688463864,0.04871680165580112,0.25295788214675663,1.0,0.05429466343317953,-0.18564127337246167,0.10606060606060606,-0.10104176586380044,0.023330222844306206,-0.06111847418261751,-0.08752754939972757,-0.02584456007187958,-0.09850557995513072,0.18393152133084592,-0.10244831120526503,-0.251966406718507,-0.21263831678096226,-0.16046310368216146,0.18475510257514238,0.2330764628238328,0.07815578908929195,-0.2422931668577938,-0.09349198109218367,-0.021279128997694068
roleMixin,0.25927542847709867,-0.08823163565837121,-0.10341544167631117,0.28109418838531336,-0.1446571752198215,0.1449824069661635,0.25705474129755745,-0.012863964289684697,0.07743885528358718,0.120837978658088,0.05429466343317953,1.0,0.12792270670279943,0.028037408166314018,0.29191982711993986,0.19676966882701963,-0.06154984384902563,0.1666566521456021,-0.009189346533452119,0.27598178250103,-0.07839765658723334,0.2862247287386125,0.23142462542640516,0.23142462542640516,0.23566030890130285,-0.08837806794588346,0.12120864305257123,-0.03013017918978142,0.23399530812474095,0.08586996570857539,-0.017917288805551403
situation,0.20302222251682178,-0.2599604194528522,0.12106474912295029,0.5394025321725001,-0.2886523614693332,0.01555866760031122,0.03693219971477771,-0.09631907802751578,0.27518115226227086,-0.12785771383675532,-0.18564127337246167,0.12792270670279943,1.0,-0.10984310638993407,0.13483199261558906,0.05086791996968655,0.24893581479388197,0.22880045673377106,-0.07093184983218873,0.12367981899412284,-0.014071370404500003,0.14486369977341135,0.25094840518378697,0.15090816257673675,0.22352474885528456,0.03972348896546112,-0.16766003978893324,-0.10188890710057577,0.40515418882623705,0.204473864728093,-0.02104995947826558
subkind,0.22056485546667964,0.10885632736591265,0.04488913582410019,0.02074415654107285,0.3531811477923128,-0.04098031792414787,0.12017170210061325,0.2833048065010782,0.1050754545517279,0.15625476089410884,0.10606060606060606,0.028037408166314018,-0.10984310638993407,1.0,0.029263462244707234,-0.05532595703078329,0.0676668821307551,0.01627396647130613,0.21491792059773546,-0.02399494896342928,-0.03365163172218485,-0.06689272084579069,-0.01599786709323854,0.023330222844306206,0.0034732273524277373,0.10689402363276095,0.176717809927906,0.07815578908929195,-0.050838298403197806,-0.005935998799503725,-0.07707773392498074
type,0.23615829943167507,0.016068315048598944,0.09361609799716741,0.37881187683800355,-0.22999841362214712,0.18388582077365484,0.30442850326618365,0.004322444881074615,0.2255679390491005,-0.031058866161377048,-0.10104176586380044,0.29191982711993986,0.13483199261558906,0.029263462244707234,1.0,0.11392458595108892,-0.0262495695160133,0.3234496072527535,0.10971250750469802,0.36886167128426905,-0.1563963890626081,0.44558616994437705,0.4578845298887049,0.758849480834119,0.6293005421569211,-0.09089164917233396,-0.0715342769669601,0.0665742902615536,0.407574927701352,0.23902859342758997,0.05876104166236619
none_c,0.11344161801963476,-0.1370029138240642,0.016893369425523757,0.1541315826551832,-0.007193471722732343,0.12593346472108552,0.206167497299478,-0.03833456046428782,0.19667502933157982,-0.19252827508396594,0.023330222844306206,0.19676966882701963,0.05086791996968655,-0.05532595703078329,0.11392458595108892,1.0,0.09987173389203684,0.10062127468743763,-0.01156956579290303,0.0930627365993256,-0.061247023634033324,0.024391498826288726,-0.03812316715542522,0.01378299120234604,-0.026281880586013887,0.040640704167178236,-0.08509977230693358,-0.046203450249653166,0.05900782559901256,0.19129173744315695,-0.07218809590364215
other_c,0.14348189295490052,-0.09396196359749802,0.056878013535879304,0.22314181049524973,0.018844827102734014,-0.03877141085733149,-0.016089714908820937,0.015116407342970125,-0.10114731043588364,-0.10861872977532178,-0.06111847418261751,-0.06154984384902563,0.24893581479388197,0.0676668821307551,-0.0262495695160133,0.09987173389203684,1.0,-0.0019009528950367832,-0.031354070711561634,-0.13645388365105554,-0.011954025562245521,-0.09463260342452083,-0.1267602776322006,-0.1267602776322006,-0.12008889868972485,-0.0690767755624897,-0.18302846650302754,-0.04503804716094505,-0.12700159186778529,0.2052406842752924,0.09264855489648248
characterization,0.35486197705661043,0.031200159745226844,0.12214575483905858,0.3037699102480319,-0.08183077274643534,0.17045407256015815,0.5805941495453664,0.054297749259523354,0.536152576126388,0.17128787020506225,-0.08752754939972757,0.1666566521456021,0.22880045673377106,0.01627396647130613,0.3234496072527535,0.10062127468743763,-0.0019009528950367832,1.0,0.19361659998419514,0.24104471570678104,-0.02783442349409279,0.36912543011306415,0.2718709441074036,0.3061208779913968,0.31921239852137884,0.005746392589311749,0.22461007843929365,0.14704679201617912,0.3722462528578508,0.2576146907365598,0.020453292554859455
componentOf,0.120033199945302,0.3199827243239395,0.08577826264844124,-0.10911839631429418,0.16303730169589709,0.09005417402323998,0.056014721278848635,0.17870644395590846,-0.01114837126236265,0.047086665574095264,-0.02584456007187958,-0.009189346533452119,-0.07093184983218873,0.21491792059773546,0.10971250750469802,-0.01156956579290303,-0.031354070711561634,0.19361659998419514,1.0,0.017951389207835153,0.03738443160704642,-0.0829567898329898,0.05904468059826374,0.09435180379384712,0.052592274464950746,0.2112809844558041,0.13763950673916964,0.31238049991356226,-0.0288085485875897,-0.1003645810566059,0.195421902055097
creation,0.11144281421676981,-0.06431685185902933,0.030879047032264594,0.5523333741473024,-0.03625229991341043,-0.03670651741928988,0.18748199773079444,0.027568333524217364,0.154063488238504,0.0034153770360853116,-0.09850557995513072,0.27598178250103,0.12367981899412284,-0.02399494896342928,0.36886167128426905,0.0930627365993256,-0.13645388365105554,0.24104471570678104,0.017951389207835153,1.0,-0.025743538134169925,0.3131861191670797,0.486426423240057,0.4372559624099656,0.5213832687251001,-0.04179864156622329,0.05732594911200149,0.0698257258706936,0.7489859364103303,0.24738534799764672,-0.10149128052384586
derivation,-0.046075070818856506,0.14673098526842773,0.059401519864403736,-0.09228611500701263,0.2837595470102821,-0.015073452695287922,-0.061842712782713166,0.15309642795418554,-0.07498173771788276,0.3415908701367049,0.18393152133084592,-0.07839765658723334,-0.014071370404500003,-0.03365163172218485,-0.1563963890626081,-0.061247023634033324,-0.011954025562245521,-0.02783442349409279,0.03738443160704642,-0.025743538134169925,1.0,-0.15603162995061884,-0.1330398923971055,-0.1330398923971055,-0.1872509944938639,0.5809839566230133,0.43506845489794765,0.19691747153683306,-0.08622270473392675,-0.0848826374183731,0.21350224073069593
externalDependence,0.20620502496100826,-0.06357471086124486,0.005592890520764771,0.3956712778301239,-0.24687083394668818,-0.09779719341985794,0.3601666522420253,-0.07330667569062325,0.25075658445342586,0.06519109834500246,-0.10244831120526503,0.2862247287386125,0.14486369977341135,-0.06689272084579069,0.44558616994437705,0.024391498826288726,-0.09463260342452083,0.36912543011306415,-0.0829567898329898,0.3131861191670797,-0.15603162995061884,1.0,0.3998084807613413,0.540589848986986,0.48101851940151996,-0.20943107382092713,0.0182368425057037,0.0374971531420777,0.42441434605649586,0.15995687902788744,-0.028588063586769748
historicalDependence,0.18426760175676124,-0.029704171581323657,0.14323673794599018,0.4413030577074719,-0.31277215050440227,0.07830478255093139,0.13659333710499258,-0.03833456046428782,0.27105853401467733,0.02019023109494774,-0.251966406718507,0.23142462542640516,0.25094840518378697,-0.01599786709323854,0.4578845298887049,-0.03812316715542522,-0.1267602776322006,0.2718709441074036,0.05904468059826374,0.486426423240057,-0.1330398923971055,0.3998084807613413,1.0,0.5847507331378299,0.6228194492360035,-0.027867911428922223,-0.01071626762383608,-0.008166191206915443,0.606495755854367,0.19129173744315695,-0.10901026586025502
instantiation,0.18426760175676124,-0.029704171581323657,0.05900782559901256,0.36951018894439974,-0.2109125909105123,0.030676100380777244,0.206167497299478,-0.03833456046428782,0.3082502863562261,-0.022353470140834997,-0.21263831678096226,0.23142462542640516,0.15090816257673675,0.023330222844306206,0.758849480834119,0.01378299120234604,-0.1267602776322006,0.3061208779913968,0.09435180379384712,0.4372559624099656,-0.1330398923971055,0.540589848986986,0.5847507331378299,1.0,0.7310030042063398,-0.16488514262112314,-0.04790801996538483,-0.008166191206915443,0.5222668435073894,0.19129173744315695,-0.035365925947029295
manifestation,0.1645048558652567,-0.11623891654979887,-0.05182228783795355,0.4486838163775091,-0.23358683123573393,0.14637879488626993,0.20849942146703673,-0.049779031572755726,0.2673630607083488,-0.041329325106894625,-0.16046310368216146,0.23566030890130285,0.22352474885528456,0.0034732273524277373,0.6293005421569211,-0.026281880586013887,-0.12008889868972485,0.31921239852137884,0.052592274464950746,0.5213832687251001,-0.1872509944938639,0.48101851940151996,0.6228194492360035,0.7310030042063398,1.0,-0.13673635189292038,-0.07357411007207633,-0.06539298540169447,0.6064943351752841,0.1775748531460925,0.025798558402040983
material,0.033668660795844206,0.18962518389674327,0.05040333482207121,-0.058620357751872805,0.3127436062509386,0.1172021403630939,-0.020233248600297227,0.11841069989101516,-0.03785579144847668,0.3002679135459801,0.18475510257514238,-0.08837806794588346,0.03972348896546112,0.10689402363276095,-0.09089164917233396,0.040640704167178236,-0.0690767755624897,0.005746392589311749,0.2112809844558041,-0.04179864156622329,0.5809839566230133,-0.20943107382092713,-0.027867911428922223,-0.16488514262112314,-0.13673635189292038,1.0,0.406013763227618,0.21145107615480052,-0.08855913034158307,-0.13744077105045027,0.13303202360372623
mediation,-0.028814637783747234,0.2875458527152743,-0.021481085791991532,-0.13078210067072576,0.254826598217864,0.07635161692331852,0.08153630534736858,0.19931872709772508,0.012646793134598013,0.7321176257413846,0.2330764628238328,0.12120864305257123,-0.16766003978893324,0.176717809927906,-0.0715342769669601,-0.08509977230693358,-0.18302846650302754,0.22461007843929365,0.13763950673916964,0.05732594911200149,0.43506845489794765,0.0182368425057037,-0.01071626762383608,-0.04790801996538483,-0.07357411007207633,0.406013763227618,1.0,0.27947330516057783,0.008694725201520382,-0.18337596499045128,0.13415484911385347
memberOf,-0.009236772127410493,0.6867856010028992,0.10949843225851237,-0.013524143328190043,0.13052073415446588,0.04791725150847014,0.213587675196805,0.25091491321726794,-0.19771004067558232,0.16116599906283907,0.07815578908929195,-0.03013017918978142,-0.10188890710057577,0.07815578908929195,0.0665742902615536,-0.046203450249653166,-0.04503804716094505,0.14704679201617912,0.31238049991356226,0.0698257258706936,0.19691747153683306,0.0374971531420777,-0.008166191206915443,-0.008166191206915443,-0.06539298540169447,0.21145107615480052,0.27947330516057783,1.0,0.047774793692408266,-0.12534880833190595,0.2747142737663134
participation,0.19528428245455087,-0.06295694477901324,0.11158301158301158,0.6710232631773918,-0.2558711940694771,0.013754606108107538,0.19023808436246042,0.01188754819246121,0.3232391957271107,0.018136657929542985,-0.2422931668577938,0.23399530812474095,0.40515418882623705,-0.050838298403197806,0.407574927701352,0.05900782559901256,-0.12700159186778529,0.3722462528578508,-0.0288085485875897,0.7489859364103303,-0.08622270473392675,0.42441434605649586,0.606495755854367,0.5222668435073894,0.6064943351752841,-0.08855913034158307,0.008694725201520382,0.047774793692408266,1.0,0.25108411790506485,-0.05097478050741266
none_r,0.31803179138297927,-0.26317155498729833,0.18857794509325546,0.39461396331733023,-0.12235306967790517,0.08207272182706146,0.22708844633726322,0.042895459487824666,0.21097591890483042,-0.0872233130265692,-0.09349198109218367,0.08586996570857539,0.204473864728093,-0.005935998799503725,0.23902859342758997,0.19129173744315695,0.2052406842752924,0.2576146907365598,-0.1003645810566059,0.24738534799764672,-0.0848826374183731,0.15995687902788744,0.19129173744315695,0.19129173744315695,0.1775748531460925,-0.13744077105045027,-0.18337596499045128,-0.12534880833190595,0.25108411790506485,1.0,-0.1042081294524574
other_r,-0.1285902503530719,0.28081806141671223,0.008777114524455159,-0.015681768355556507,0.08226101598219428,0.11682538256648842,-0.05172602569866782,0.061365585441774284,-0.18692242309863583,0.01176526152493853,-0.021279128997694068,-0.017917288805551403,-0.02104995947826558,-0.07707773392498074,0.05876104166236619,-0.07218809590364215,0.09264855489648248,0.020453292554859455,0.195421902055097,-0.10149128052384586,0.21350224073069593,-0.028588063586769748,-0.10901026586025502,-0.035365925947029295,0.025798558402040983,0.13303202360372623,0.13415484911385347,0.2747142737663134,-0.05097478050741266,-0.1042081294524574,1.0
