Stereotype,category,collective,datatype,event,kind,mixin,mode,phase,quality,relator,role,roleMixin,situation,subkind,type,none_c,other_c,characterization,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,none_r,other_r
category,1.0,-0.012407559081808758,0.10908648196962444,0.2233188117166198,-0.0895173272996333,0.13218175922576259,0.36123184934554103,0.10269803088124693,0.28255547796898406,-0.04132437338137639,-0.020919553301994357,0.25927542847709867,0.20302222251682178,0.22056485546667964,0.23615829943167507,0.11344161801963476,0.14348189295490052,0.35486197705661043,0.120033199945302,0.11144281421676981,-0.046075070818856506,0.20620502496100826,0.18426760175676124,0.18426760175676124,0.1645048558652567,0.033668660795844206,-0.028814637783747234,-0.009236772127410493,0.19528428245455087,0.31803179138297927,-0.1285902503530719
collective,-0.012407559081808758,1.0,0.11115835562544527,-0.17481948816266962,0.14691672177569906,0.04561260699376025,0.07231700921910296,0.26594442718097855,-0.15940986094638315,0.19973942747489828,0.16305483634978477,-0.08823163565837121,-0.2599604194528522,0.10885632736591265,0.016068315048598944,-0.1370029138240642,-0.09396196359749802,0.031200159745226844,0.3199827243239395,-0.06431685185902933,0.14673098526842773,-0.06357471086124486,-0.029704171581323657,-0.029704171581323657,-0.11623891654979887,0.18962518389674327,0.2875458527152743,0.6867856010028992,-0.06295694477901324,-0.26317155498729833,0.28081806141671223
datatype,0.10908648196962444,0.11115835562544527,1.0,0.08852636478406983,0.11602918198223551,0.12968628616215677,0.07733903681122657,0.0983572480581722,0.14218432976603917,-0.08541780831333148,-0.050838298403197806,-0.10341544167631117,0.12106474912295029,0.04488913582410019,0.09361609799716741,0.016893369425523757,0.056878013535879304,0.12214575483905858,0.08577826264844124,0.030879047032264594,0.059401519864403736,0.005592890520764771,0.14323673794599018,0.05900782559901256,-0.05182228783795355,0.05040333482207121,-0.021481085791991532,0.10949843225851237,0.11158301158301158,0.18857794509325546,0.008777114524455159
event,0.2233188117166198,-0.17481948816266962,0.08852636478406983,1.0,-0.2797797497170103,0.017864832824044944,0.2990197101581736,0.005690801039094839,0.23366401986503002,-0.09973456062385545,-0.1696411023803291,0.28109418838531336,0.5394025321725001,0.02074415654107285,0.37881187683800355,0.1541315826551832,0.22314181049524973,0.3037699102480319,-0.10911839631429418,0.5523333741473024,-0.09228611500701263,0.3956712778301239,0.4413030577074719,0.36951018894439974,0.4486838163775091,-0.058620357751872805,-0.13078210067072576,-0.013524143328190043,0.6710232631773918,0.39461396331733023,-0.015681768355556507
kind,-0.0895173272996333,0.14691672177569906,0.11602918198223551,-0.2797797497170103,1.0,-0.02297034206521828,-0.017548460165109674,0.25955263496616804,-0.03587364732193231,0.180416540117329,0.4303577689765589,-0.1446571752198215,-0.2886523614693332,0.3531811477923128,-0.22999841362214712,-0.007193471722732343,0.018844827102734014,-0.08183077274643534,0.16303730169589709,-0.03625229991341043,0.2837595470102821,-0.24687083394668818,-0.31277215050440227,-0.2109125909105123,-0.23358683123573393,0.3127436062509386,0.254826598217864,0.13052073415446588,-0.2558711940694771,-0.12235306967790517,0.08226101598219428
mixin,0.13218175922576259,0.04561260699376025,0.12968628616215677,0.017864832824044944,-0.02297034206521828,1.0,0.1552735706643859,0.133151203446469,0.1284095375528539,-0.019849711139180454,0.1755425558840364,0.1449824069661635,0.01555866760031122,-0.04098031792414787,0.18388582077365484,0.12593346472108552,-0.03877141085733149,0.17045407256015815,0.09005417402323998,-0.03670651741928988,-0.015073452695287922,-0.09779719341985794,0.07830478255093139,0.030676100380777244,0.14637879488626993,0.1172021403630939,0.07635161692331852,0.04791725150847014,0.013754606108107538,0.08207272182706146,0.11682538256648842
mode,0.36123184934554103,0.07231700921910296,0.07733903681122657,0.2990197101581736,-0.017548460165109674,0.1552735706643859,1.0,0.07599843662783198,0.2175709702274343,0.05267552178149266,0.04109961558831383,0.25705474129755745,0.03693219971477771,0.12017170210061325,0.30442850326618365,0.206167497299478,-0.016089714908820937,0.5805941495453664,0.056014721278848635,0.18748199773079444,-0.061842712782713166,0.3601666522420253,0.13659333710499258,0.206167497299478,0.20849942146703673,-0.020233248600297227,0.08153630534736858,0.213587675196805,0.19023808436246042,0.22708844633726322,-0.05172602569866782
phase,0.10269803088124693,0.26594442718097855,0.0983572480581722,0.005690801039094839,0.25955263496616804,0.133151203446469,0.07599843662783198,1.0,0.055222504477291795,0.1520006604057207,0.2563885688463864,-0.012863964289684697,-0.09631907802751578,0.2833048065010782,0.004322444881074615,-0.03833456046428782,0.015116407342970125,0.054297749259523354,0.17870644395590846,0.027568333524217364,0.15309642795418554,-0.07330667569062325,-0.03833456046428782,-0.03833456046428782,-0.049779031572755726,0.11841069989101516,0.19931872709772508,0.25091491321726794,0.01188754819246121,0.042895459487824666,0.061365585441774284
quality,0.28255547796898406,-0.15940986094638315,0.14218432976603917,0.23366401986503002,-0.03587364732193231,0.1284095375528539,0.2175709702274343,0.055222504477291795,1.0,0.09093345245623408,0.04871680165580112,0.07743885528358718,0.27518115226227086,0.1050754545517279,0.2255679390491005,0.19667502933157982,-0.10114731043588364,0.536152576126388,-0.01114837126236265,0.154063488238504,-0.07498173771788276,0.25075658445342586,0.27105853401467733,0.3082502863562261,0.2673630607083488,-0.03785579144847668,0.012646793134598013,-0.19771004067558232,0.3232391957271107,0.21097591890483042,-0.18692242309863583
relator,-0.04132437338137639,0.19973942747489828,-0.08541780831333148,-0.09973456062385545,0.180416540117329,-0.019849711139180454,0.05267552178149266,0.1520006604057207,0.09093345245623408,1.0,0.25295788214675663,0.120837978658088,-0.12785771383675532,0.15625476089410884,-0.031058866161377048,-0.19252827508396594,-0.10861872977532178,0.17128787020506225,0.047086665574095264,0.0034153770360853116,0.3415908701367049,0.06519109834500246,0.02019023109494774,-0.022353470140834997,-0.041329325106894625,0.3002679135459801,0.7321176257413846,0.16116599906283907,0.018136657929542985,-0.0872233130265692,0.01176526152493853
