Stereotype,category,event,kind,mode,phase,quality,relator,role,roleMixin,subkind,type,none_c,characterization,componentOf,derivation,material,mediation,memberOf,participation,none_r,other_r
category,1.0,0.2059487916913499,0.12338993434630247,0.37351793397609934,0.05101546482412341,0.26768169730416375,0.035398012026071964,0.03232475711296858,0.27786583599011294,0.25193517536134497,0.2855455282092373,0.14075830625050129,0.38153857194131746,0.15615841649654144,0.04422754450689658,0.0552647678253251,0.03361753896341937,0.01891715989055135,0.18453181013911601,0.3094816109960248,0.07351546283084895
event,0.2059487916913499,1.0,0.2276464004587024,0.25892119502324495,0.020886568358304707,0.20603592188808614,0.12145715981948851,0.1443519795098999,0.2848159493242402,0.0047445292136040216,0.3270881820236063,0.20460171441717612,0.27335714122707,0.09586515282827576,0.08303882124434572,0.05186393218340195,0.12117537092396001,0.005937658837094076,0.6506368513680341,0.3942288495562584,0.01362552084074827
kind,0.12338993434630247,0.2276464004587024,1.0,0.04924805169611345,0.25053355889901313,0.010217454392738131,0.2169841587250443,0.3783494506897878,0.1360301591366346,0.4508781828862933,0.14074098242014194,0.03729019843480226,0.06527237993559729,0.3229448172031232,0.18640351177641631,0.3091998617152613,0.24573763299682744,0.1721301765640639,0.18114388326986464,0.07939005458785653,0.09808292347774243
mode,0.37351793397609934,0.25892119502324495,0.04924805169611345,1.0,0.059308240812872066,0.22484154758528133,0.005393966315438838,0.03483679918587932,0.26615124937945056,0.11299997510426975,0.3144669127874574,0.22746450671526214,0.5915523930842799,0.12982239326416828,0.04314588259425228,0.01997650458402157,0.06496356657913716,0.23400878564002334,0.14526042941647707,0.24991880311540876,0.038247707205429256
phase,0.05101546482412341,0.020886568358304707,0.25053355889901313,0.059308240812872066,1.0,0.11257904992473158,0.19219581513786085,0.29064082068578095,0.016352779710994716,0.3241294217698944,0.0327380411112895,0.05465279900514774,0.08925717543234025,0.2153410166988521,0.18533567315363497,0.17224943923081198,0.2747393823024376,0.2621417501818959,0.010157843481025962,0.04480909845879964,0.0635623702749827
quality,0.26768169730416375,0.20603592188808614,0.010217454392738131,0.22484154758528133,0.11257904992473158,1.0,0.06898322650360902,0.02834018545552495,0.057255733884023274,0.17279076423281478,0.19161792894489696,0.20278369477494174,0.5618603320317545,0.005191927101843744,0.09086062569393459,0.04959581218868722,0.03811245483700646,0.15512193373172037,0.31628342046653746,0.17871688910707853,0.19264701903655765
relator,0.035398012026071964,0.12145715981948851,0.2169841587250443,0.005393966315438838,0.19219581513786085,0.06898322650360902,1.0,0.34444735335055626,0.1376420759120704,0.1784210698289016,0.07095809712116886,0.21158352513043607,0.15244261561663539,0.1434548692583472,0.3738702823675861,0.3623431713250365,0.7891492705999965,0.2220185932160034,0.003706640638701673,0.14379894358471312,0.08426377891504953
role,0.03232475711296858,0.1443519795098999,0.3783494506897878,0.03483679918587932,0.29064082068578095,0.02834018545552495,0.34444735335055626,1.0,0.06251476370669092,0.14891721751171924,0.030409692453356563,0.006978624553392703,0.01129762594356473,0.028682351033302713,0.2528351446282439,0.23974024322631055,0.34761298507282745,0.13499917248138782,0.23110192450158332,0.08206733987948783,0.010092781784089974
roleMixin,0.27786583599011294,0.2848159493242402,0.1360301591366346,0.26615124937945056,0.016352779710994716,0.057255733884023274,0.1376420759120704,0.06251476370669092,1.0,0.011179879171438204,0.29969227893710737,0.20566995617569006,0.17260431725108244,0.004556098079850895,0.015471246073664856,0.02607299907190982,0.1522565888377128,0.009402278751783224,0.20036895895968196,0.10165849996884657,0.018003359283239775
subkind,0.25193517536134497,0.0047445292136040216,0.4508781828862933,0.11299997510426975,0.3241294217698944,0.17279076423281478,0.1784210698289016,0.14891721751171924,0.011179879171438204,1.0,0.022158177963713204,0.05052338971902827,0.034243002487764976,0.3170489109164637,0.022163378088886524,0.16603242822073927,0.21231978393943163,0.13443732192026858,0.0543243352967466,0.03918475328438685,0.05243399418341928
type,0.2855455282092373,0.3270881820236063,0.14074098242014194,0.3144669127874574,0.0327380411112895,0.19161792894489696,0.07095809712116886,0.030409692453356563,0.29969227893710737,0.022158177963713204,1.0,0.1499426189036674,0.2975706427599459,0.12035723054410485,0.13909590067805055,0.04586697363715011,0.07749240420408514,0.1110116033865584,0.30922603747544286,0.1982020438055491,0.09780627329999261
none_c,0.14075830625050129,0.20460171441717612,0.03729019843480226,0.22746450671526214,0.05465279900514774,0.20278369477494174,0.21158352513043607,0.006978624553392703,0.20566995617569006,0.05052338971902827,0.1499426189036674,1.0,0.10878905530186597,0.04370451600235634,0.08175864049234736,0.015996921531017286,0.11494870409678429,0.062270817452630946,0.0871011549749611,0.27484984504124343,0.09105769675651833
characterization,0.38153857194131746,0.27335714122707,0.06527237993559729,0.5915523930842799,0.08925717543234025,0.5618603320317545,0.15244261561663539,0.01129762594356473,0.17260431725108244,0.034243002487764976,0.2975706427599459,0.10878905530186597,1.0,0.21775044923364473,0.01599216815865164,0.00477684156952244,0.21069014331353256,0.1559747884695393,0.34507453852732933,0.21745346256137218,0.04252440828328367
componentOf,0.15615841649654144,0.09586515282827576,0.3229448172031232,0.12982239326416828,0.2153410166988521,0.005191927101843744,0.1434548692583472,0.028682351033302713,0.004556098079850895,0.3170489109164637,0.12035723054410485,0.04370451600235634,0.21775044923364473,1.0,0.020249163713161225,0.2105957680947077,0.19566851294761656,0.3433826956646224,0.016297204920874123,0.11960006260221101,0.1706400786680636
derivation,0.04422754450689658,0.08303882124434572,0.18640351177641631,0.04314588259425228,0.18533567315363497,0.09086062569393459,0.3738702823675861,0.2528351446282439,0.015471246073664856,0.022163378088886524,0.13909590067805055,0.08175864049234736,0.01599216815865164,0.020249163713161225,1.0,0.5868892268068321,0.441021939724318,0.19267407870586503,0.06765576283978182,0.07655838008505093,0.20131485506370742
material,0.0552647678253251,0.05186393218340195,0.3091998617152613,0.01997650458402157,0.17224943923081198,0.04959581218868722,0.3623431713250365,0.23974024322631055,0.02607299907190982,0.16603242822073927,0.04586697363715011,0.015996921531017286,0.00477684156952244,0.2105957680947077,0.5868892268068321,1.0,0.4224890336807351,0.23256038864980227,0.07226079957601149,0.16374161077669017,0.09249834946978057
mediation,0.03361753896341937,0.12117537092396001,0.24573763299682744,0.06496356657913716,0.2747393823024376,0.03811245483700646,0.7891492705999965,0.34761298507282745,0.1522565888377128,0.21231978393943163,0.07749240420408514,0.11494870409678429,0.21069014331353256,0.19566851294761656,0.441021939724318,0.4224890336807351,1.0,0.3128084708005224,0.015357239804567782,0.23856259783988137,0.15901535697707506
memberOf,0.01891715989055135,0.005937658837094076,0.1721301765640639,0.23400878564002334,0.2621417501818959,0.15512193373172037,0.2220185932160034,0.13499917248138782,0.009402278751783224,0.13443732192026858,0.1110116033865584,0.062270817452630946,0.1559747884695393,0.3433826956646224,0.19267407870586503,0.23256038864980227,0.3128084708005224,1.0,0.08304265646359577,0.15768287242891146,0.25632821332179107
participation,0.18453181013911601,0.6506368513680341,0.18114388326986464,0.14526042941647707,0.010157843481025962,0.31628342046653746,0.003706640638701673,0.23110192450158332,0.20036895895968196,0.0543243352967466,0.30922603747544286,0.0871011549749611,0.34507453852732933,0.016297204920874123,0.06765576283978182,0.07226079957601149,0.015357239804567782,0.08304265646359577,1.0,0.19076033840831508,0.026842492165359576
none_r,0.3094816109960248,0.3942288495562584,0.07939005458785653,0.24991880311540876,0.04480909845879964,0.17871688910707853,0.14379894358471312,0.08206733987948783,0.10165849996884657,0.03918475328438685,0.1982020438055491,0.27484984504124343,0.21745346256137218,0.11960006260221101,0.07655838008505093,0.16374161077669017,0.23856259783988137,0.15768287242891146,0.19076033840831508,1.0,0.11761720384360162
other_r,0.07351546283084895,0.01362552084074827,0.09808292347774243,0.038247707205429256,0.0635623702749827,0.19264701903655765,0.08426377891504953,0.010092781784089974,0.018003359283239775,0.05243399418341928,0.09780627329999261,0.09105769675651833,0.04252440828328367,0.1706400786680636,0.20131485506370742,0.09249834946978057,0.15901535697707506,0.25632821332179107,0.026842492165359576,0.11761720384360162,1.0
