Stereotype,category,datatype,event,kind,mode,phase,quality,relator,role,roleMixin,subkind,type,characterization,componentOf,creation,derivation,externalDependence,instantiation,material,mediation,memberOf,participation
category,1.0,0.1719580638188347,0.1199896447705136,0.10283986797392575,0.32083505168199283,0.053351687022990486,0.2763420122464258,0.07488103277997057,0.026591471309100362,0.23933850630157866,0.1766152199393294,0.2709528013985199,0.3471818481027742,0.3057506790400713,0.044067152284159666,0.11023960444529737,0.11363531624170067,0.22980459164331968,0.0,0.09080968026245702,0.06404203465340012,0.14159016830328217
datatype,0.1719580638188347,1.0,0.14116277704093547,0.059864794892621975,0.03072690555290334,0.010543446232179695,0.09726275769349195,0.05987965746247086,0.03601842647008492,0.0,0.10372505434961075,0.0837619254532661,0.0132226675721892,0.12318281798799821,0.01664666893227077,0.005001408381064037,0.0,0.057763283705282185,0.03013887341486399,0.012957370726539576,0.12788965324829205,0.15486331979465046
event,0.1199896447705136,0.14116277704093547,1.0,0.16554336348541668,0.20002292948691508,0.1630331129030328,0.11795778381157292,0.09065458295308161,0.02590605330941514,0.273632034588517,0.05784042863064973,0.3371370345909599,0.2682878169853354,0.017911783357046136,0.6151358313761789,0.062460543889424916,0.33544893506409446,0.34221207389726027,0.04553188172221398,0.03465575191383628,0.23206766858831573,0.7596252144357225
kind,0.10283986797392575,0.059864794892621975,0.16554336348541668,1.0,0.10650580711906686,0.27726653526511624,0.1921810667193403,0.2912623503361605,0.3970122472044328,0.15531756955795137,0.5431504089553695,0.2992709395641005,0.053464022467226494,0.23031995011969816,0.08824483545536002,0.20182675340430495,0.3107319424571374,0.24183025155665075,0.2638809549249172,0.2849770070966823,0.24155388413510023,0.22113119494176106
mode,0.32083505168199283,0.03072690555290334,0.20002292948691508,0.10650580711906686,1.0,0.1015746930366366,0.31438538829228946,0.12439286587875409,0.21244631031450836,0.20862994912742316,0.181298085640068,0.2502116596922639,0.576230464585257,0.23611286594613293,0.1653008503256573,0.046630090131199606,0.33230095847694147,0.21337795985489758,0.17464055404419865,0.2019719055919251,0.29465934367841107,0.11150324422070183
phase,0.053351687022990486,0.010543446232179695,0.1630331129030328,0.27726653526511624,0.1015746930366366,1.0,0.08138049421095131,0.23797802034290255,0.32972100613373984,0.011828918623951107,0.327631327895776,0.002008655705336402,0.06840954920736575,0.22434571280609722,0.051386843816223174,0.10132074466478587,0.09385122818686574,0.028130006667846947,0.17740688041925234,0.31986349333875047,0.34122202540211916,0.045803342582316754
quality,0.2763420122464258,0.09726275769349195,0.11795778381157292,0.1921810667193403,0.31438538829228946,0.08138049421095131,1.0,0.20010145737798296,0.1541780671388059,0.038788776261881534,0.23967736708549647,0.13630334733580418,0.5593797137915619,0.12341067961320555,0.02076894096061197,0.06672281538917924,0.022076874608249118,0.15265208471765562,0.1284017708054545,0.11868536676866907,0.04044695979267128,0.1532727609783855
relator,0.07488103277997057,0.05987965746247086,0.09065458295308161,0.2912623503361605,0.12439286587875409,0.23797802034290255,0.20010145737798296,1.0,0.26280715989199255,0.09046098191026991,0.2069568975792839,0.047738543937625534,0.26919800467537297,0.2698135306756516,0.07628151736092505,0.318893074306892,0.030154603541908336,0.056280107377311706,0.3577512613067746,0.7831345015528516,0.33936679265218395,0.05285914062161639
role,0.026591471309100362,0.03601842647008492,0.02590605330941514,0.3970122472044328,0.21244631031450836,0.32972100613373984,0.1541780671388059,0.26280715989199255,1.0,0.09959289848673036,0.120401501213743,0.14055683028022897,0.09058292059945913,0.06795312060734642,0.033189574717374666,0.22285758618947107,0.016125623453663702,0.15325054860764897,0.0781331786928779,0.3224811100132498,0.2506641125477763,0.16906436380081027
roleMixin,0.23933850630157866,0.0,0.273632034588517,0.15531756955795137,0.20862994912742316,0.011828918623951107,0.038788776261881534,0.09046098191026991,0.09959289848673036,1.0,0.06965060771721762,0.3296283663990337,0.1679672251374794,0.0641385486460313,0.35824587161174376,0.03509151477485477,0.3919873564578367,0.34105781426760895,0.0,0.14324927833138135,0.13079046386733295,0.2436170572504963
