Stereotype,category,datatype,event,kind,mode,phase,quality,relator,role,roleMixin,subkind,type,characterization,componentOf,creation,derivation,externalDependence,instantiation,material,mediation,memberOf,participation
subkind,0.1766152199393294,0.10372505434961075,0.05784042863064973,0.5431504089553695,0.181298085640068,0.327631327895776,0.23967736708549647,0.2069568975792839,0.120401501213743,0.06965060771721762,1.0,0.0727844610660045,0.04578570485201777,0.24571346042762787,0.013708178408909862,0.06764788502385764,0.09671465536046028,0.038206051618848935,0.05988754788753581,0.09260209087499482,0.3069895506849723,0.053708782541517404
type,0.2709528013985199,0.0837619254532661,0.3371370345909599,0.2992709395641005,0.2502116596922639,0.002008655705336402,0.13630334733580418,0.047738543937625534,0.14055683028022897,0.3296283663990337,0.0727844610660045,1.0,0.27138757209816766,0.17994737122589077,0.3269995104542357,0.22561828572278317,0.5566247333795018,0.941603054736809,0.16369893768307012,0.056990625791777945,0.11260384218933486,0.3771359439945056
characterization,0.3471818481027742,0.0132226675721892,0.2682878169853354,0.053464022467226494,0.576230464585257,0.06840954920736575,0.5593797137915619,0.26919800467537297,0.09058292059945913,0.1679672251374794,0.04578570485201777,0.27138757209816766,1.0,0.2982226667441275,0.13051854129285398,0.010061264732020896,0.296179970079098,0.257748138438918,0.2673344715515709,0.2661752471888583,0.18686153529572133,0.27797070422642334
componentOf,0.3057506790400713,0.12318281798799821,0.017911783357046136,0.23031995011969816,0.23611286594613293,0.22434571280609722,0.12341067961320555,0.2698135306756516,0.06795312060734642,0.0641385486460313,0.24571346042762787,0.17994737122589077,0.2982226667441275,1.0,0.08447329957551991,0.006768112320557516,0.005681694337891375,0.22583957389988263,0.34270251011134567,0.2542061980343801,0.3715367827982368,0.06861096928259242
creation,0.044067152284159666,0.01664666893227077,0.6151358313761789,0.08824483545536002,0.1653008503256573,0.051386843816223174,0.02076894096061197,0.07628151736092505,0.033189574717374666,0.35824587161174376,0.013708178408909862,0.3269995104542357,0.13051854129285398,0.08447329957551991,1.0,0.029738803564145565,0.23677358391316655,0.3595131899719741,0.008071374967194976,0.1737205159080595,0.3021472098322202,0.7038856152075144
derivation,0.11023960444529737,0.005001408381064037,0.062460543889424916,0.20182675340430495,0.046630090131199606,0.10132074466478587,0.06672281538917924,0.318893074306892,0.22285758618947107,0.03509151477485477,0.06764788502385764,0.22561828572278317,0.010061264732020896,0.006768112320557516,0.029738803564145565,1.0,0.1718157735079732,0.19270314232106855,0.4714207897433056,0.41650078050916617,0.22947819419900567,0.042607771627142646
externalDependence,0.11363531624170067,0.0,0.33544893506409446,0.3107319424571374,0.33230095847694147,0.09385122818686574,0.022076874608249118,0.030154603541908336,0.016125623453663702,0.3919873564578367,0.09671465536046028,0.5566247333795018,0.296179970079098,0.005681694337891375,0.23677358391316655,0.1718157735079732,1.0,0.5390439435165439,0.2590460354161034,0.03254781023972881,0.15109538728232977,0.2601900462280601
instantiation,0.22980459164331968,0.057763283705282185,0.34221207389726027,0.24183025155665075,0.21337795985489758,0.028130006667846947,0.15265208471765562,0.056280107377311706,0.15325054860764897,0.34105781426760895,0.038206051618848935,0.941603054736809,0.257748138438918,0.22583957389988263,0.3595131899719741,0.19270314232106855,0.5390439435165439,1.0,0.11929625570352573,0.05274027826536615,0.1402345445295501,0.4205087028168138
material,0.0,0.03013887341486399,0.04553188172221398,0.2638809549249172,0.17464055404419865,0.17740688041925234,0.1284017708054545,0.3577512613067746,0.0781331786928779,0.0,0.05988754788753581,0.16369893768307012,0.2673344715515709,0.34270251011134567,0.008071374967194976,0.4714207897433056,0.2590460354161034,0.11929625570352573,1.0,0.430093421008781,0.3214571537623562,0.018085162306203
mediation,0.09080968026245702,0.012957370726539576,0.03465575191383628,0.2849770070966823,0.2019719055919251,0.31986349333875047,0.11868536676866907,0.7831345015528516,0.3224811100132498,0.14324927833138135,0.09260209087499482,0.056990625791777945,0.2661752471888583,0.2542061980343801,0.1737205159080595,0.41650078050916617,0.03254781023972881,0.05274027826536615,0.430093421008781,1.0,0.42281324976384904,0.06790681629640091
memberOf,0.06404203465340012,0.12788965324829205,0.23206766858831573,0.24155388413510023,0.29465934367841107,0.34122202540211916,0.04044695979267128,0.33936679265218395,0.2506641125477763,0.13079046386733295,0.3069895506849723,0.11260384218933486,0.18686153529572133,0.3715367827982368,0.3021472098322202,0.22947819419900567,0.15109538728232977,0.1402345445295501,0.3214571537623562,0.42281324976384904,1.0,0.26148848366870814
participation,0.14159016830328217,0.15486331979465046,0.7596252144357225,0.22113119494176106,0.11150324422070183,0.045803342582316754,0.1532727609783855,0.05285914062161639,0.16906436380081027,0.2436170572504963,0.053708782541517404,0.3771359439945056,0.27797070422642334,0.06861096928259242,0.7038856152075144,0.042607771627142646,0.2601900462280601,0.4205087028168138,0.018085162306203,0.06790681629640091,0.26148848366870814,1.0
