Stereotype,category,datatype,event,kind,mode,phase,quality,relator,role,roleMixin,subkind,type,characterization,componentOf,creation,derivation,externalDependence,instantiation,material,mediation,memberOf,participation
category,1.0,0.16195923633495882,0.14642488683463598,0.1516308712328833,0.3255094632718181,-0.12308839724497152,0.32680483367547497,-0.12687575272941992,-0.08587776737984547,0.2510011821733547,0.22056736510060732,0.33994568129783015,0.40372712763862995,0.2683258585789778,0.0719353228014552,-0.12790113256245153,0.12174479103597266,0.2818053736201459,0.081606499133175,-0.08525156434947925,0.09280368536508851,0.1793127575894875
datatype,0.16195923633495882,1.0,0.1443017933594982,0.08442858084538243,0.03434136655002732,-0.0026329742141232657,0.0859251170092521,-0.055547463915650186,-0.08629906878028706,0.0041440207434092265,0.08333797957353921,0.08541170783878031,0.006094334646684574,0.14994887128434034,0.016867425124147246,0.001730316726974259,-0.03164301386015223,0.06501371489681171,0.06515484537068683,0.011408110169940228,0.1266911985871404,0.1370722496139077
event,0.14642488683463598,0.1443017933594982,1.0,-0.14984656394747475,0.2090933854003827,0.1767033194490027,0.15253175748886852,0.13969232814195148,-0.0185798088015629,0.3286103792274003,0.06255308272105578,0.36784195752783766,0.31542702543833595,0.053570871729991136,0.636113790293856,0.04122925564982027,0.3366344279004706,0.37050013785706126,0.03662755242905264,0.1094380058891652,0.24264251217648514,0.7934434883390632
kind,0.1516308712328833,0.08442858084538243,-0.14984656394747475,1.0,0.15428810321779116,0.2599793711658092,0.28479455232676965,0.3752898885099588,0.3254386740110481,-0.18943769852215758,0.6083017526887028,-0.27267717428270616,0.06520117030283598,0.4723886871657563,-0.12007047935132516,0.1526004007088888,-0.3091142746705361,-0.21476275598812675,0.29490516538971623,0.2725383937235426,0.2839349798785629,-0.17101657248149651
mode,0.3255094632718181,0.03434136655002732,0.2090933854003827,0.15428810321779116,1.0,0.08465314368555993,0.3455411657346629,0.09226663492780544,0.24762606467248136,0.1809360784773042,0.2939892363514385,0.2444590145185256,0.6074733873184136,0.24738715131950476,0.19204970735867694,0.028946202685917553,0.32922054283329394,0.21951436157092327,0.18043642888990585,0.17781104181568058,0.3106314465951879,0.12308015793053188
phase,-0.12308839724497152,-0.0026329742141232657,0.1767033194490027,0.2599793711658092,0.08465314368555993,1.0,0.10553956073259137,0.34634545750140383,0.42293758172865936,0.019884870602575,0.32022319334981597,0.0001491495457718465,0.11708171813050533,0.21308210871890826,0.08459932759284569,0.1245906292373891,-0.08287095912261822,0.04057698982687031,0.19586299515991185,0.4254805920767234,0.33118560674759584,0.04057234841025281
quality,0.32680483367547497,0.0859251170092521,0.15253175748886852,0.28479455232676965,0.3455411657346629,0.10553956073259137,1.0,0.20303462658168153,0.11676796028723757,0.03644247489463007,0.4067049968261119,0.11044630081704174,0.6115240244620304,0.13868335596148731,-0.0072266304074331475,-0.10969238803483466,-0.005899494702422136,0.13521779480567675,0.14614176599586198,0.148609097899799,-0.019183291037133003,0.17422533410274998
relator,-0.12687575272941992,-0.055547463915650186,0.13969232814195148,0.3752898885099588,0.09226663492780544,0.34634545750140383,0.20303462658168153,1.0,0.370710951006236,0.09219885287862313,0.29161639118735116,0.023107614600878356,0.2557678790160075,0.4263074793186028,0.1662740341053189,0.2929502188452899,0.018186002295393414,0.047806471952980815,0.35644108906128136,0.8151416640197705,0.36854342385609734,0.07068547540779936
role,-0.08587776737984547,-0.08629906878028706,-0.0185798088015629,0.3254386740110481,0.24762606467248136,0.42293758172865936,0.11676796028723757,0.370710951006236,1.0,0.10996693766593515,0.2263508484068464,-0.13535277755680103,0.1409300631127778,0.13363471613451444,0.05126664132511091,0.24976487302393563,0.08932520725990423,-0.12324377564276992,0.0815928488743041,0.47052168826999674,0.348123735913978,-0.1411310172801108
roleMixin,0.2510011821733547,0.0041440207434092265,0.3286103792274003,-0.18943769852215758,0.1809360784773042,0.019884870602575,0.03644247489463007,0.09219885287862313,0.10996693766593515,1.0,-0.06012366246969673,0.3890400757084126,0.19668318382941766,0.05173882221277106,0.3810681343660163,0.04259074202426391,0.42318202484608847,0.4120923516033973,-0.018124695561692702,0.15492528840844216,0.12470930146188085,0.2907508590713622
subkind,0.22056736510060732,0.08333797957353921,0.06255308272105578,0.6083017526887028,0.2939892363514385,0.32022319334981597,0.4067049968261119,0.29161639118735116,0.2263508484068464,-0.06012366246969673,1.0,-0.05371481937450208,0.2515596922555301,0.3535520816322547,-0.0019053566257049219,-0.07107321275228137,-0.06368493318463053,-0.02203135335601999,0.18978071475486732,0.2507405897110706,0.3015762695352358,0.020850312027951644
type,0.33994568129783015,0.08541170783878031,0.36784195752783766,-0.27267717428270616,0.2444590145185256,0.0001491495457718465,0.11044630081704174,0.023107614600878356,-0.13535277755680103,0.3890400757084126,-0.05371481937450208,1.0,0.2591461997118252,0.15725591610554243,0.33432131544070276,-0.23894130115813367,0.5471211079726067,0.9516314367864459,-0.15918098171579775,0.05970330553518992,0.1285651312076721,0.41581045731340677
