Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,4,0.49583333333333335,4,0.2791666666666667
20.0,8,0.7115566037735849,8,0.495
30.0,12,0.8437893081761006,12,0.6483333333333333
40.0,16,0.9099056603773585,16,0.7625
50.0,20,0.9486635220125786,20,0.8441666666666666
60.0,24,0.9709119496855346,24,0.9075
70.0,28,0.985062893081761,28,0.9508333333333333
80.0,32,0.9937893081761007,32,0.98
90.0,36,0.9987421383647799,36,0.9933333333333333
100.0,40,1.0,40,1.0
