Stereotype,category,collective,datatype,event,kind,mixin,mode,phase,quality,relator,role,roleMixin,situation,subkind,type,characterization,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation
category,1.0,0.09239696149850864,0.09528121647838204,0.07339461896251281,-0.0036215485829451523,0.15572658906664155,0.33074008971422214,0.08018791932289179,0.1747270272709572,-0.00891752993778623,0.002969922937884881,0.269113602862547,0.15572658906664155,0.2701879129339911,0.25014279024707464,0.33213267956565046,0.2680505255264111,-0.025453748449154538,-0.02865761689291101,0.11815838142795708,0.13211031413252308,0.14559544112916395,0.10314316174610125,0.10090091909944686,0.0626240838822309,0.04106552132297904,0.07411457316509756
collective,0.09239696149850864,1.0,0.14171004798750433,-0.08636565851785125,0.12408733626018596,0.13912822550384488,0.17567853863825209,0.27444441268405684,-0.0819058131072352,0.19948922502402347,0.0709238369857675,-0.00508033285399125,-0.2293735609657983,0.20402454818026824,0.07721437444282124,0.14820617457136492,0.2904812781479543,-0.0010571362015205808,0.08300066032916878,0.019370971105651492,0.07620499280986875,-0.0010571362015205808,-0.013968605915391563,0.12804555422442268,0.2503722236183232,0.7180234596945275,0.014698794996150087
datatype,0.09528121647838204,0.14171004798750433,1.0,0.08632418718185444,0.12160296663155937,0.05152668077608448,0.02337992344382267,-0.01859241088828007,0.15985806826184146,-0.12687686162194622,-0.02873372591825102,-0.09189348958068376,0.22465632818372833,0.07688360943088367,0.1115789079704717,0.0653845316649278,0.14921636191802815,-0.00521497332655403,-0.04721141357036948,-0.017696149535032034,0.20884883995609943,0.05968247251500723,-0.10463917422401142,0.006380437452683624,-0.026627680211246365,0.13929048261553892,0.09905074220526602
event,0.07339461896251281,-0.08636565851785125,0.08632418718185444,1.0,-0.24671758189758447,-0.08223919396586149,0.1694107570138353,0.009634555216934666,0.10762440050012628,-0.13412463602715943,-0.12524921782015067,0.23809523809523808,0.528680532637681,0.0,0.28511240114923325,0.15585789645272846,-0.13780026750973973,0.4458943784798605,-0.03425082218250598,0.26802933589618394,0.3197278911564626,0.28735415502035455,0.33460076502852165,-0.036369648372665396,-0.1144207269335999,0.02664365648357341,0.5646071592695985
kind,-0.0036215485829451523,0.12408733626018596,0.12160296663155937,-0.24671758189758447,1.0,0.034782608695652174,0.05182779927418694,0.2709796148990201,0.030093209423844115,0.1732406248672225,0.47777984732195655,-0.1527299316508856,-0.20869565217391303,0.3759769881949877,-0.21102672654165872,-0.005015593478147123,0.18640145023414065,-0.0220019965680555,0.30783162955033794,-0.25384446470841004,-0.31720831958260864,-0.22735396453657353,-0.2153527608232662,0.3566780101135346,0.22641295493331598,0.14593077871192428,-0.25393652380258247
mixin,0.15572658906664155,0.13912822550384488,0.05152668077608448,-0.08223919396586149,0.034782608695652174,1.0,0.18223322970601213,0.2281933599149643,0.11860264890573857,0.04477004912299009,0.2709796148990201,0.1527299316508856,-0.034782608695652174,-0.014744195615489715,0.21102672654165872,0.19226441666230637,0.10902726334449736,-0.1148993154109565,-0.0036215485829451523,-0.10452419135052178,0.035245368842512066,0.0220019965680555,0.13997929453512303,0.16151457061744964,0.16073591457098005,0.13015447831063517,-0.08197950768429828
mode,0.33074008971422214,0.17567853863825209,0.02337992344382267,0.1694107570138353,0.05182779927418694,0.18223322970601213,1.0,0.10008633799403595,0.15826010648517555,0.18001294039540564,0.09186006363836176,0.27783364150268985,-0.05182779927418694,0.18142618682669215,0.26528454543757574,0.5120540019286403,0.17783943929800602,0.06157292618430964,0.05918506868570291,0.29570244510600824,0.033882151402767055,0.11421542796020795,0.14698658892387373,0.15009193939409643,0.2482272714860089,0.21915023124794336,0.026525858863408348
phase,0.08018791932289179,0.27444441268405684,-0.01859241088828007,0.009634555216934666,0.2709796148990201,0.2281933599149643,0.10008633799403595,1.0,0.08564903274083731,0.07502542388247753,0.22807017543859648,0.04817277608467333,-0.07131042497342635,0.350646854219839,-0.03328012765961966,0.015081502985402678,0.15286221626638483,-0.04611033571146546,0.12770668632904988,-0.13469836570128493,-0.028903665650804,-0.04611033571146546,-0.05298129428260175,0.0993399267798783,0.16583137580265161,0.16495527835298476,-0.04755216690118391
quality,0.1747270272709572,-0.0819058131072352,0.15985806826184146,0.10762440050012628,0.030093209423844115,0.11860264890573857,0.15826010648517555,0.08564903274083731,1.0,0.17395690875657502,0.11758596020352241,0.031091493477814258,0.21773322112546037,0.10805404053377955,0.1883590068967117,0.4897554693164895,-0.06228881895386963,0.058226793073262624,-0.09215560510071583,0.19758299278793973,0.1937239209002273,0.28118066740507164,0.24769447420673832,-0.07123956116565483,0.10027490600542695,-0.2063458437424171,0.2617277963274151
relator,-0.00891752993778623,0.19948922502402347,-0.12687686162194622,-0.13412463602715943,0.1732406248672225,0.04477004912299009,0.18001294039540564,0.07502542388247753,0.17395690875657502,1.0,0.14845456215043426,0.16042358426777892,-0.11873795636966936,0.1518226232564234,-0.06177327212695214,0.28105970527432356,0.09526126906727049,-0.023531283382052934,0.3267058695388955,0.0568231457729732,0.023669053416557544,-0.08482206800507452,-0.07472049102642601,0.23500799597021085,0.6983365267776659,0.2110088410034976,0.0013427658241846015
