stereotype,total_correlation,rank
category,3.311900626157117,14
event,3.550585542140348,11
kind,4.533936391776544,2
mode,3.696524808333789,9
phase,2.6500048279534756,18
quality,3.142753353603802,16
relator,3.9920506925036436,6
role,3.365666748449149,12
roleMixin,3.178741087695601,15
subkind,3.341949706431247,13
type,4.1928277707018395,4
characterization,4.5155650583788125,3
componentOf,3.776988007816905,7
derivation,2.953630608257609,17
material,3.639578653141375,10
mediation,4.674020649119598,1
memberOf,3.7078714270372313,8
participation,4.106125631200486,5
