stereotype,total_correlation,rank
category,3.230700826879051,10
event,2.573559519087407,16
kind,4.110386167390193,3
mode,3.1886473791659897,11
phase,2.3753585329729403,18
quality,2.459572200468401,17
relator,4.118040798035111,2
role,3.262077457139064,9
roleMixin,2.8608149972698618,14
subkind,3.3963314750686564,6
type,3.110959216988906,12
characterization,3.838552025062408,4
componentOf,3.7952603111698853,5
derivation,2.592795619956318,15
material,3.3195990062823713,7
mediation,4.688084320804844,1
memberOf,3.3013938504583535,8
participation,2.8834908463430016,13
