Percentage,Top k Stereotypes,Coverage
10.0,2,0.4221763085399449
20.0,4,0.6940426997245179
30.0,6,0.7966597796143251
40.0,9,0.9071969696969697
50.0,11,0.9524793388429752
60.0,13,0.9752066115702479
70.0,16,0.9948347107438017
80.0,18,0.9984504132231405
90.0,20,1.0
100.0,23,1.0
