Percentage,Top k Stereotypes,Coverage
10.0,2,0.22115384615384615
20.0,4,0.41346153846153844
30.0,6,0.5721153846153846
40.0,9,0.7307692307692307
50.0,11,0.8076923076923077
60.0,13,0.875
70.0,16,0.9567307692307693
80.0,18,0.9903846153846154
90.0,20,1.0
100.0,23,1.0
