stereotype,total_correlation_occurrence_wise,rank_total_correlation_occurrence_wise
category,2.7988743091151065,5
collective,2.246030863983329,12
datatype,1.1464851799403575,15
event,2.4224625667340542,9
kind,3.410514751952319,1
mode,2.508702450922137,8
phase,2.397096867126924,10
quality,2.6983884576275496,6
relator,2.8021285332289354,4
role,2.803913785200058,3
roleMixin,2.063742995464358,13
situation,2.5966811113221455,7
subkind,2.914598979490576,2
type,2.2974295449534714,11
none,1.7272485429222435,14
