Stereotype,category,collective,datatype,event,kind,mode,phase,quality,relator,role,roleMixin,situation,subkind,type,none
category,1.0,0.0293336769985394,0.15721952257737257,0.09804794046989096,0.10245149442133492,0.30700601676144595,0.014094841442132865,0.27352679566408955,0.11192795613917102,0.06697637219007241,0.22250072875852214,0.24197280397678947,0.20968007767171856,0.25768976439245034,0.14232741807785693
collective,0.0293336769985394,1.0,0.0961420799271483,0.0957221599055748,0.2090203768530159,0.09589217873625866,0.36311015516690726,0.019236855343882413,0.3083952250651235,0.13402817069148928,0.04586126126239861,0.29213623530458166,0.2035502774672793,0.08007589619811813,0.09549795623872195
datatype,0.15721952257737257,0.0961420799271483,1.0,0.1140908547212245,0.059669493169887254,0.0,0.018420468192270816,0.11030502729496965,0.07317242995048738,0.03626799216139112,0.02450217982090078,0.14498923066698502,0.06370010012594522,0.04643364988491197,0.09351842441373302
event,0.09804794046989096,0.0957221599055748,0.1140908547212245,1.0,0.15867563936679735,0.18150077893310848,0.13646865128700478,0.12619756049731135,0.06859304768321324,0.05939707885160229,0.2528641714838674,0.5116718394215443,0.04168101213533954,0.3111035178693964,0.04265434297627203
kind,0.10245149442133492,0.2090203768530159,0.059669493169887254,0.15867563936679735,1.0,0.10943212491400524,0.2891226882886593,0.1950104868801552,0.2935537574020229,0.4144260104109811,0.15465499314754153,0.20934111039595613,0.5385658531717386,0.2949568130778022,0.05664639256945991
mode,0.30700601676144595,0.09589217873625866,0.0,0.18150077893310848,0.10943212491400524,1.0,0.08202086794762356,0.32034650005693494,0.1084470282676094,0.19654583540668402,0.19318846057702477,0.04379580380979744,0.20427877201175493,0.23376875464890765,0.1824675450601541
phase,0.014094841442132865,0.36311015516690726,0.018420468192270816,0.13646865128700478,0.2891226882886593,0.08202086794762356,1.0,0.09005011256596121,0.22503378515070266,0.31169891139852396,0.018135054215793783,0.06774909879969387,0.33891454821631023,0.050290020136168394,0.05657413562130867
quality,0.27352679566408955,0.019236855343882413,0.11030502729496965,0.12619756049731135,0.1950104868801552,0.32034650005693494,0.09005011256596121,1.0,0.18766242561749216,0.1647635610397227,0.04277446308128789,0.1579371045168058,0.2746385712018576,0.15828741920037478,0.28865630823639743
relator,0.11192795613917102,0.3083952250651235,0.07317242995048738,0.06859304768321324,0.2935537574020229,0.1084470282676094,0.22503378515070266,0.18766242561749216,1.0,0.24552147591976942,0.07580784790582096,0.13709784455915522,0.25083349153017753,0.06239911573717296,0.16997969596567974
role,0.06697637219007241,0.13402817069148928,0.03626799216139112,0.05939707885160229,0.4144260104109811,0.19654583540668402,0.31169891139852396,0.1647635610397227,0.24552147591976942,1.0,0.07753747038623014,0.1987542685253892,0.10929803056483159,0.1806917329373032,0.0937755877536805
roleMixin,0.22250072875852214,0.04586126126239861,0.02450217982090078,0.2528641714838674,0.15465499314754153,0.19318846057702477,0.018135054215793783,0.04277446308128789,0.07580784790582096,0.07753747038623014,1.0,0.19525483997638157,0.06064284251160855,0.30747619375123675,0.22184793404122533
situation,0.24197280397678947,0.29213623530458166,0.14498923066698502,0.5116718394215443,0.20934111039595613,0.04379580380979744,0.06774909879969387,0.1579371045168058,0.13709784455915522,0.1987542685253892,0.19525483997638157,1.0,0.07429090761109787,0.07759923857548615,0.11636342936442347
subkind,0.20968007767171856,0.2035502774672793,0.06370010012594522,0.04168101213533954,0.5385658531717386,0.20427877201175493,0.33891454821631023,0.2746385712018576,0.25083349153017753,0.10929803056483159,0.06064284251160855,0.07429090761109787,1.0,0.07780366284219463,0.0470717417266643
type,0.25768976439245034,0.08007589619811813,0.04643364988491197,0.3111035178693964,0.2949568130778022,0.23376875464890765,0.050290020136168394,0.15828741920037478,0.06239911573717296,0.1806917329373032,0.30747619375123675,0.07759923857548615,0.07780366284219463,1.0,0.056044221504093085
none,0.14232741807785693,0.09549795623872195,0.09351842441373302,0.04265434297627203,0.05664639256945991,0.1824675450601541,0.05657413562130867,0.28865630823639743,0.16997969596567974,0.0937755877536805,0.22184793404122533,0.11636342936442347,0.0470717417266643,0.056044221504093085,1.0
