model,sortal,non_sortal,rigid,non_rigid,abstracts,temporal,other,none,undef,rigid_sortal,rigid_non_sortal,non_rigid_sortal,non_rigid_non_sortal
plato-ontology2019,69,2,64,7,2,0,0,0,0,62,2,7,0
porello2020coex,10,3,8,2,0,4,0,0,0,7,1,0,2
ppo-o2021,49,2,51,0,0,4,4,0,4,49,2,0,0
public-expense-ontology2020,40,2,34,8,0,0,0,0,0,33,1,7,1
ramos2021bias,34,9,34,8,0,6,0,0,0,31,3,2,6
repa2021public-administration,24,0,4,20,0,0,1,0,1,4,0,20,0
rocha2023ciencia-aberta,21,3,14,10,0,0,0,0,0,13,1,8,2
rodrigues2019ontocrime,34,12,10,36,0,0,0,60,60,6,4,28,8
rodrigues2019turbidite,41,5,12,34,0,29,11,0,11,11,1,30,4
romanenko2023what,52,1,35,18,0,2,0,0,0,35,0,17,1
sales2018competition,16,11,13,13,0,0,0,0,0,11,2,4,9
sales2018cover,19,25,29,13,0,19,0,0,0,17,12,0,13
santos2020valuenetworks,11,4,15,0,0,0,0,0,0,11,4,0,0
sariev2024maritime,78,1,56,23,0,4,0,0,0,55,1,23,0
schoonderbeek2024eamon,47,0,45,2,0,0,0,0,0,45,0,2,0
sikora2021online-education,52,12,64,0,0,0,0,1,1,52,12,0,0
silva2021sebim,41,1,38,4,0,0,0,0,0,37,1,4,0
silva2023onto4caal,176,12,180,8,4,0,0,1,1,170,10,6,2
silva2023onto4elev,186,7,180,13,0,0,0,4,4,174,6,12,1
silveira2021oap,23,9,21,11,0,0,0,0,0,14,7,9,2
spmo2017,10,1,10,1,0,6,0,17,17,10,0,0,1
tesolin2023hint,20,0,7,13,0,0,0,18,18,7,0,13,0
valaski2020medical-appointment,7,0,5,2,0,0,0,0,0,5,0,2,0
van-ee2021modular,53,12,62,3,4,26,0,5,5,50,12,3,0
van-wingerde2020smart-contracts,26,5,23,8,0,3,5,0,5,21,2,5,3
vieira2020weathering,13,7,16,4,0,19,0,2,2,10,6,3,1
weigand2021artifact,9,25,12,16,1,17,0,4,4,3,9,0,16
xhani2023xmlpo,94,4,87,11,0,21,0,0,0,83,4,11,0
zanetti2019orm-o,34,0,20,14,0,0,0,0,0,20,0,14,0
