Stereotype,category,collective,datatype,enumeration,event,kind,mode,phase,quality,relator,role,roleMixin,situation,subkind,type,none
category,1.0,0.04033468124679164,0.15681890928112918,-0.11132794181784703,0.13858954771161572,0.16760429443671923,0.3255723815166112,-0.13206891068748733,0.33490528967086025,-0.12316480838818675,-0.08202124717667958,0.24549710409126516,0.2643370574626699,0.23162632448533166,0.33565653304888066,0.24247927966234678
collective,0.04033468124679164,1.0,0.10870034165547955,0.026745392227813674,0.10894449419644726,0.29709145498935235,0.11847244782193818,0.3418258388065012,-0.02400242082024831,0.34709598087114,0.18057795141541289,-0.040657694407561874,-0.28452886418398315,0.17363085021987304,0.1057874170188559,-0.10350777472843689
datatype,0.15681890928112918,0.10870034165547955,1.0,0.24511665168217467,0.12050745311553206,0.10009298890018596,0.023350581425183117,-0.024077447008642446,0.10125007609135324,-0.04909100633382135,-0.13321917003654526,-0.013983790580102616,0.12558380909067263,0.05865401877984769,0.05476518826527219,0.0917529832244955
enumeration,-0.11132794181784703,0.026745392227813674,0.24511665168217467,1.0,-0.031553706477112094,0.09042595405730801,-0.14612103128191165,0.07313074696663985,-0.025543580842586674,0.009451152714349405,-0.043655881560921886,0.0073382983173964945,0.015594482094573188,-0.010750291784914968,0.09853488340787224,-0.11808588000231687
event,0.13858954771161572,0.10894449419644726,0.12050745311553206,-0.031553706477112094,1.0,-0.1266744792258378,0.19971177215237035,0.15154540771966507,0.17365597210345451,0.15197380721048376,-0.043150383956286696,0.3115320019995556,0.5041905696528515,0.06208356596171404,0.3380631965808805,0.041032540560282486
kind,0.16760429443671923,0.29709145498935235,0.10009298890018596,0.09042595405730801,-0.1266744792258378,1.0,0.16768512522728135,0.2888896172734549,0.278725615688376,0.3743131326011611,0.35593273957169314,-0.17321631251295275,-0.2049287567050693,0.6226647437486325,-0.24794378302791165,0.04737006501553129
mode,0.3255723815166112,0.11847244782193818,0.023350581425183117,-0.14612103128191165,0.19971177215237035,0.16768512522728135,1.0,0.07561073422814046,0.35661810728151694,0.09506588296627164,0.25008338334481306,0.1763110860817249,-0.05497350150620434,0.2997714888212023,0.2363813953808728,0.21462360600474892
phase,-0.13206891068748733,0.3418258388065012,-0.024077447008642446,0.07313074696663985,0.15154540771966507,0.2888896172734549,0.07561073422814046,1.0,0.12357143115039557,0.3599984229350452,0.4102698892218083,-0.0025061203129110813,-0.07817578964801512,0.3266777455635473,-0.036044008817553465,-0.05340144357533964
quality,0.33490528967086025,-0.02400242082024831,0.10125007609135324,-0.025543580842586674,0.17365597210345451,0.278725615688376,0.35661810728151694,0.12357143115039557,1.0,0.1984579267862259,0.14890999180872783,0.04887933428587751,0.1518733572702947,0.4180903755865233,0.1376136769037398,0.2857174956674086
relator,-0.12316480838818675,0.34709598087114,-0.04909100633382135,0.009451152714349405,0.15197380721048376,0.3743131326011611,0.09506588296627164,0.3599984229350452,0.1984579267862259,1.0,0.40007712311565197,0.1004743549769917,-0.1553612457129364,0.30603084854996365,0.03725801243634524,-0.1442891092954123
role,-0.08202124717667958,0.18057795141541289,-0.13321917003654526,-0.043655881560921886,-0.043150383956286696,0.35593273957169314,0.25008338334481306,0.4102698892218083,0.14890999180872783,0.40007712311565197,1.0,0.1002361343282804,-0.20923062638071344,0.22981842038189113,-0.1751958319989931,0.09740083121523128
roleMixin,0.24549710409126516,-0.040657694407561874,-0.013983790580102616,0.0073382983173964945,0.3115320019995556,-0.17321631251295275,0.1763110860817249,-0.0025061203129110813,0.04887933428587751,0.1004743549769917,0.1002361343282804,1.0,0.23294201855187932,-0.05786035370921716,0.3695987533794249,0.21825968373428042
situation,0.2643370574626699,-0.28452886418398315,0.12558380909067263,0.015594482094573188,0.5041905696528515,-0.2049287567050693,-0.05497350150620434,-0.07817578964801512,0.1518733572702947,-0.1553612457129364,-0.20923062638071344,0.23294201855187932,1.0,-0.06343499885564038,0.11364788395715088,0.1340976958343107
subkind,0.23162632448533166,0.17363085021987304,0.05865401877984769,-0.010750291784914968,0.06208356596171404,0.6226647437486325,0.2997714888212023,0.3266777455635473,0.4180903755865233,0.30603084854996365,0.22981842038189113,-0.05786035370921716,-0.06343499885564038,1.0,-0.06012376943320027,0.015716940184767117
type,0.33565653304888066,0.1057874170188559,0.05476518826527219,0.09853488340787224,0.3380631965808805,-0.24794378302791165,0.2363813953808728,-0.036044008817553465,0.1376136769037398,0.03725801243634524,-0.1751958319989931,0.3695987533794249,0.11364788395715088,-0.06012376943320027,1.0,0.06105737892959594
none,0.24247927966234678,-0.10350777472843689,0.0917529832244955,-0.11808588000231687,0.041032540560282486,0.04737006501553129,0.21462360600474892,-0.05340144357533964,0.2857174956674086,-0.1442891092954123,0.09740083121523128,0.21825968373428042,0.1340976958343107,0.015716940184767117,0.06105737892959594,1.0
