stereotype,total_correlation,rank
category,2.1153221939225246,11
collective,2.0423273056841156,13
datatype,1.1546491798000518,17
event,2.3196771784453665,7
kind,3.0674582520116482,1
mixin,1.5012059363281125,16
mode,2.4878257276045765,4
phase,2.234645156195846,9
quality,2.5319360005614073,3
relator,2.143099596822067,10
role,2.3085933369757887,8
roleMixin,2.0784531362012055,12
situation,2.623626803714747,2
subkind,2.4435367090784386,5
type,2.393878158834966,6
none,1.9187231870255528,14
other,1.6905481481756253,15
