Stereotype,category,collective,datatype,event,kind,mode,phase,quality,relator,role,situation,subkind,type,none,other
category,1.0,0.0500627614991969,0.1719580638188347,0.1199896447705136,0.10283986797392575,0.32083505168199283,0.053351687022990486,0.2763420122464258,0.07488103277997057,0.026591471309100362,0.24247418268112153,0.1766152199393294,0.2709528013985199,0.14588106681390367,0.2229021711641653
collective,0.0500627614991969,1.0,0.12678682888930423,0.12579017843351828,0.19990616320170887,0.11769742259681798,0.382458510180256,0.03085303821561733,0.31064371620568715,0.15732643590634351,0.29154429870345705,0.19909891268265856,0.11935619261133114,0.09898231659851785,0.02508212453605614
datatype,0.1719580638188347,0.12678682888930423,1.0,0.14116277704093547,0.059864794892621975,0.03072690555290334,0.010543446232179695,0.09726275769349195,0.05987965746247086,0.03601842647008492,0.13709184296489846,0.10372505434961075,0.0837619254532661,0.08669146402836553,0.07764650202085126
event,0.1199896447705136,0.12579017843351828,0.14116277704093547,1.0,0.16554336348541668,0.20002292948691508,0.1630331129030328,0.11795778381157292,0.09065458295308161,0.02590605330941514,0.4981218516683906,0.05784042863064973,0.3371370345909599,0.03985000308886881,0.33277599470650604
kind,0.10283986797392575,0.19990616320170887,0.059864794892621975,0.16554336348541668,1.0,0.10650580711906686,0.27726653526511624,0.1921810667193403,0.2912623503361605,0.3970122472044328,0.20535918770073575,0.5431504089553695,0.2992709395641005,0.06785871685207431,0.1648893958109681
mode,0.32083505168199283,0.11769742259681798,0.03072690555290334,0.20002292948691508,0.10650580711906686,1.0,0.1015746930366366,0.31438538829228946,0.12439286587875409,0.21244631031450836,0.042662712988808235,0.181298085640068,0.2502116596922639,0.18034667946836438,0.07862378852675968
phase,0.053351687022990486,0.382458510180256,0.010543446232179695,0.1630331129030328,0.27726653526511624,0.1015746930366366,1.0,0.08138049421095131,0.23797802034290255,0.32972100613373984,0.06975037981844776,0.327631327895776,0.002008655705336402,0.058751720553272095,0.023113970781894585
quality,0.2763420122464258,0.03085303821561733,0.09726275769349195,0.11795778381157292,0.1921810667193403,0.31438538829228946,0.08138049421095131,1.0,0.20010145737798296,0.1541780671388059,0.16669762121900875,0.23967736708549647,0.13630334733580418,0.29575742029517976,0.007222634891339719
relator,0.07488103277997057,0.31064371620568715,0.05987965746247086,0.09065458295308161,0.2912623503361605,0.12439286587875409,0.23797802034290255,0.20010145737798296,1.0,0.26280715989199255,0.12604779426303722,0.2069568975792839,0.047738543937625534,0.158053680496172,0.023951856000441345
role,0.026591471309100362,0.15732643590634351,0.03601842647008492,0.02590605330941514,0.3970122472044328,0.21244631031450836,0.32972100613373984,0.1541780671388059,0.26280715989199255,1.0,0.19509851752471255,0.120401501213743,0.14055683028022897,0.10538164034761538,0.05330893852122162
situation,0.24247418268112153,0.29154429870345705,0.13709184296489846,0.4981218516683906,0.20535918770073575,0.042662712988808235,0.06975037981844776,0.16669762121900875,0.12604779426303722,0.19509851752471255,1.0,0.08526986453534356,0.06755077072382566,0.1207796747281647,0.23623670226832993
subkind,0.1766152199393294,0.19909891268265856,0.10372505434961075,0.05784042863064973,0.5431504089553695,0.181298085640068,0.327631327895776,0.23967736708549647,0.2069568975792839,0.120401501213743,0.08526986453534356,1.0,0.0727844610660045,0.06149163170302497,0.03977468513775184
type,0.2709528013985199,0.11935619261133114,0.0837619254532661,0.3371370345909599,0.2992709395641005,0.2502116596922639,0.002008655705336402,0.13630334733580418,0.047738543937625534,0.14055683028022897,0.06755077072382566,0.0727844610660045,1.0,0.04586769720688661,0.29443841506691465
none,0.14588106681390367,0.09898231659851785,0.08669146402836553,0.03985000308886881,0.06785871685207431,0.18034667946836438,0.058751720553272095,0.29575742029517976,0.158053680496172,0.10538164034761538,0.1207796747281647,0.06149163170302497,0.04586769720688661,1.0,0.17963959267774068
other,0.2229021711641653,0.02508212453605614,0.07764650202085126,0.33277599470650604,0.1648893958109681,0.07862378852675968,0.023113970781894585,0.007222634891339719,0.023951856000441345,0.05330893852122162,0.23623670226832993,0.03977468513775184,0.29443841506691465,0.17963959267774068,1.0
