Stereotype,category,collective,datatype,event,kind,mode,phase,quality,relator,role,roleMixin,situation,subkind,type
category,1.0,0.05046322401884844,0.10199533375000104,0.10920459101666909,0.0495716914655427,0.2889729510652341,0.07066313135278894,0.2199220499979292,0.05688950606752826,0.03604691509565003,0.24980917387597845,0.17422327052641978,0.23697327543595967,0.28257953176396605
collective,0.05046322401884844,1.0,0.11992566002143105,0.06041285308430488,0.1392231729421129,0.13139598179644613,0.2611880834263865,0.045636061276405494,0.14108073605249227,0.04240634214984394,0.06828365659284316,0.2575260232357503,0.17357475986523332,0.019018756469143198
datatype,0.10199533375000104,0.11992566002143105,1.0,0.06019627009240844,0.10855789471967704,0.0120248135162387,0.012344548482653152,0.16669761108802883,0.1363239859975082,0.10156090768902513,0.08119186290459779,0.18259371282233963,0.06300712042943965,0.07004399961902989
event,0.10920459101666909,0.06041285308430488,0.06019627009240844,1.0,0.24299213335382863,0.17086958098883506,0.01949965333004103,0.12298059132637518,0.12405443982868267,0.12474961233240904,0.2728852486185675,0.500594462940229,0.00253059796582824,0.32532062470185
kind,0.0495716914655427,0.1392231729421129,0.10855789471967704,0.24299213335382863,1.0,0.023446115479553418,0.25177932727228236,0.07551425256952647,0.22352666511736233,0.40592671439545003,0.23081263608449387,0.23217405650735573,0.4521167541796545,0.22237296722124558
mode,0.2889729510652341,0.13139598179644613,0.0120248135162387,0.17086958098883506,0.023446115479553418,1.0,0.049740379639346875,0.17520069089673804,0.05953911898149345,0.08566555454910736,0.2351090797021693,0.07411658797653875,0.1435038553488453,0.2201971408036418
phase,0.07066313135278894,0.2611880834263865,0.012344548482653152,0.01949965333004103,0.25177932727228236,0.049740379639346875,1.0,0.11225464213428787,0.1103505821107691,0.2676197529386422,0.0025036474353233485,0.06424410880655573,0.3122990109251251,0.06682521228873012
quality,0.2199220499979292,0.045636061276405494,0.16669761108802883,0.12298059132637518,0.07551425256952647,0.17520069089673804,0.11225464213428787,1.0,0.1839891462541398,0.07015070306895352,0.06540705851600125,0.2201937100661717,0.19370892536670972,0.223888018688092
relator,0.05688950606752826,0.14108073605249227,0.1363239859975082,0.12405443982868267,0.22352666511736233,0.05953911898149345,0.1103505821107691,0.1839891462541398,1.0,0.22339926408812805,0.12720324743236874,0.14376777814604566,0.178747883171666,0.049627001158384206
role,0.03604691509565003,0.04240634214984394,0.10156090768902513,0.12474961233240904,0.40592671439545003,0.08566555454910736,0.2676197529386422,0.07015070306895352,0.22339926408812805,1.0,0.004527940939456862,0.20099496501885078,0.05099098802104717,0.13224499056530178
roleMixin,0.24980917387597845,0.06828365659284316,0.08119186290459779,0.2728852486185675,0.23081263608449387,0.2351090797021693,0.0025036474353233485,0.06540705851600125,0.12720324743236874,0.004527940939456862,1.0,0.1384216152297319,0.024301618322285872,0.3254623817198614
situation,0.17422327052641978,0.2575260232357503,0.18259371282233963,0.500594462940229,0.23217405650735573,0.07411658797653875,0.06424410880655573,0.2201937100661717,0.14376777814604566,0.20099496501885078,0.1384216152297319,1.0,0.11089294115468508,0.10954952603103246
subkind,0.23697327543595967,0.17357475986523332,0.06300712042943965,0.00253059796582824,0.4521167541796545,0.1435038553488453,0.3122990109251251,0.19370892536670972,0.178747883171666,0.05099098802104717,0.024301618322285872,0.11089294115468508,1.0,0.013935526446321702
type,0.28257953176396605,0.019018756469143198,0.07004399961902989,0.32532062470185,0.22237296722124558,0.2201971408036418,0.06682521228873012,0.223888018688092,0.049627001158384206,0.13224499056530178,0.3254623817198614,0.10954952603103246,0.013935526446321702,1.0
