Stereotype,category,collective,datatype,event,kind,mixin,mode,phase,quality,relator,role,roleMixin,situation,subkind,type
category,1.0,0.05249820470693736,0.11818642630580857,0.14123416092546398,0.11460002956368016,0.09601844702695682,0.2640601200645892,-0.07217729178324363,0.23432518185778609,-0.10564949382505191,-0.13353461812435893,0.24886833954230372,0.18615753257402295,0.2086800346006988,0.3501107771279238
collective,0.05249820470693736,1.0,0.1260074215411692,-0.07520527453996799,0.19875973257700671,0.08176918908429906,0.1222038129101584,0.22864000258676623,-0.0614983558595,0.11587110777861212,0.030330927816382098,-0.07506117872624954,-0.2554450984983756,0.14304771948036213,0.022501927307365263
datatype,0.11818642630580857,0.1260074215411692,1.0,0.045038112181443615,0.09927566925718974,-0.009517963165639796,-0.026745400467706352,-0.0064489921690898165,0.15249432027015344,-0.12904844330240092,-0.19224586644193956,-0.0799272586170727,0.166967927347565,0.06683815946566028,0.07815063704309247
event,0.14123416092546398,-0.07520527453996799,0.045038112181443615,1.0,-0.2370416635957669,-0.09704109885972367,0.16551568765790894,0.025198953703011815,0.146332503336983,-0.11659769207582679,-0.11071084730242513,0.29769312068809095,0.47860566204847027,0.0006022391139508847,0.3555895559435339
kind,0.11460002956368016,0.19875973257700671,0.09927566925718974,-0.2370416635957669,1.0,0.023647393363512875,0.016635201563331436,0.2329233332040491,0.11489844414217275,0.3107188581000649,0.3420293292371845,-0.2943875922321251,-0.25108424264457196,0.5392717852714264,-0.18985166711460627
mixin,0.09601844702695682,0.08176918908429906,-0.009517963165639796,-0.09704109885972367,0.023647393363512875,1.0,0.11421193545568467,0.2426781873847545,0.2237949057493997,0.06867973826878222,0.2809718643372948,0.10608829388489228,-0.06054560429865858,-0.0335495877481767,0.04811923531166504
mode,0.2640601200645892,0.1222038129101584,-0.026745400467706352,0.16551568765790894,0.016635201563331436,0.11421193545568467,1.0,0.0224632604370947,0.15549638264432633,0.0218302422386692,0.08284040508003726,0.20720701100027414,-0.08888896973598938,0.11052261675841239,0.2306623102301371
phase,-0.07217729178324363,0.22864000258676623,-0.0064489921690898165,0.025198953703011815,0.2329233332040491,0.2426781873847545,0.0224632604370947,1.0,0.11882195080377034,0.1852579338864852,0.3376374173011174,0.0005021540240552261,-0.08490821490577248,0.28461005680324064,-0.06992298586018515
quality,0.23432518185778609,-0.0614983558595,0.15249432027015344,0.146332503336983,0.11489844414217275,0.2237949057493997,0.15549638264432633,0.11882195080377034,1.0,0.1684350232398525,0.03634948657328214,0.06488548856990274,0.2151248899445464,0.30574894088203597,0.1974420741283277
relator,-0.10564949382505191,0.11587110777861212,-0.12904844330240092,-0.11659769207582679,0.3107188581000649,0.06867973826878222,0.0218302422386692,0.1852579338864852,0.1684350232398525,1.0,0.35137782308647847,0.11479820335470321,-0.16948040540194212,0.21626827841757615,-0.02335308967206558
role,-0.13353461812435893,0.030330927816382098,-0.19224586644193956,-0.11071084730242513,0.3420293292371845,0.2809718643372948,0.08284040508003726,0.3376374173011174,0.03634948657328214,0.35137782308647847,1.0,0.0009532325405220322,-0.20728739053733294,0.07715720916284166,-0.142348260129205
roleMixin,0.24886833954230372,-0.07506117872624954,-0.0799272586170727,0.29769312068809095,-0.2943875922321251,0.10608829388489228,0.20720701100027414,0.0005021540240552261,0.06488548856990274,0.11479820335470321,0.0009532325405220322,1.0,0.18164289574868486,-0.10623705354614035,0.3798840543012348
situation,0.18615753257402295,-0.2554450984983756,0.166967927347565,0.47860566204847027,-0.25108424264457196,-0.06054560429865858,-0.08888896973598938,-0.08490821490577248,0.2151248899445464,-0.16948040540194212,-0.20728739053733294,0.18164289574868486,1.0,-0.09307990807226581,0.13490573021100496
subkind,0.2086800346006988,0.14304771948036213,0.06683815946566028,0.0006022391139508847,0.5392717852714264,-0.0335495877481767,0.11052261675841239,0.28461005680324064,0.30574894088203597,0.21626827841757615,0.07715720916284166,-0.10623705354614035,-0.09307990807226581,1.0,-0.0242718276195745
type,0.3501107771279238,0.022501927307365263,0.07815063704309247,0.3555895559435339,-0.18985166711460627,0.04811923531166504,0.2306623102301371,-0.06992298586018515,0.1974420741283277,-0.02335308967206558,-0.142348260129205,0.3798840543012348,0.13490573021100496,-0.0242718276195745,1.0
