Stereotype Pair,Jaccard Similarity,Dice Coefficient
"('historicalRole', 'role')",0.056338028169014086,0.10666666666666667
"('historicalRole', 'roleMixin')",0.06666666666666667,0.125
"('historicalRole', 'situation')",0.09523809523809523,0.17391304347826086
"('historicalRole', 'subkind')",0.039473684210526314,0.0759493670886076
"('historicalRole', 'type')",0.043478260869565216,0.08333333333333333
"('historicalRoleMixin', 'kind')",0.011363636363636364,0.02247191011235955
"('historicalRoleMixin', 'mixin')",0.0,0.0
"('historicalRoleMixin', 'mode')",0.020833333333333332,0.04081632653061224
"('historicalRoleMixin', 'phase')",0.0,0.0
"('historicalRoleMixin', 'phaseMixin')",0.2222222222222222,0.36363636363636365
"('historicalRoleMixin', 'quality')",0.02564102564102564,0.05
"('historicalRoleMixin', 'quantity')",0.1,0.18181818181818182
"('historicalRoleMixin', 'relator')",0.012345679012345678,0.024390243902439025
"('historicalRoleMixin', 'role')",0.0136986301369863,0.02702702702702703
"('historicalRoleMixin', 'roleMixin')",0.044444444444444446,0.0851063829787234
"('historicalRoleMixin', 'situation')",0.047619047619047616,0.09090909090909091
"('historicalRoleMixin', 'subkind')",0.012987012987012988,0.02564102564102564
"('historicalRoleMixin', 'type')",0.15,0.2608695652173913
"('kind', 'mixin')",0.14606741573033707,0.2549019607843137
"('kind', 'mode')",0.40425531914893614,0.5757575757575758
"('kind', 'phase')",0.367816091954023,0.5378151260504201
"('kind', 'phaseMixin')",0.06818181818181818,0.1276595744680851
"('kind', 'quality')",0.33695652173913043,0.5040650406504065
"('kind', 'quantity')",0.09302325581395349,0.1702127659574468
"('kind', 'relator')",0.6836734693877551,0.8121212121212121
"('kind', 'role')",0.7444444444444445,0.8535031847133758
"('kind', 'roleMixin')",0.32653061224489793,0.49230769230769234
"('kind', 'situation')",0.12903225806451613,0.22857142857142856
"('kind', 'subkind')",0.7311827956989247,0.84472049689441
"('kind', 'type')",0.1276595744680851,0.22641509433962265
