stereotype,total_correlation_occurrence_wise,rank_total_correlation_occurrence_wise
category,2.349257580010325,3
collective,1.5142241457782548,14
datatype,1.5541693919580242,13
enumeration,1.0171468268722026,15
event,2.218506190056759,5
kind,3.0959660809070053,1
mode,1.563130781800031,12
phase,1.7212064653511452,11
quality,2.0386420410578716,10
relator,2.1107133612866065,7
role,2.070365808060995,8
roleMixin,2.0699009879293166,9
situation,2.599906257901671,2
subkind,2.1823991323137286,6
type,2.2610128284838416,4
