stereotype,geometric_mean_correlation,rank
category,2.1160272733292342,5
collective,1.5748174724779735,13
datatype,1.380257429422276,14
event,2.220757138818963,3
kind,2.7935100656078538,1
mode,1.7967698068894553,11
phase,1.793502959850383,12
quality,2.0552582794983376,7
relator,1.911453621459817,10
role,2.002101319968692,8
roleMixin,1.956925810344292,9
situation,2.497678745521488,2
subkind,2.080916591675054,6
type,2.1598261609019658,4
