Stereotype,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers,other,none
bringsAbout,1.0,0.28835200670736144,0.3452011622276258,0.06419604833698062,0.1423402244090836,-0.0031131082918637505,0.19160337250020154,0.3561137946921452,0.25244703210810177,0.3510675415815107,0.1732683273274546,-0.11978932845376986,-0.04926810235238766,0.4861071582043635,0.05524188156064229,-0.05755974361811058,-0.05755974361811058,0.3232273187296277,0.7093951171356242,-0.12664364050293153,-0.034041499328047065
characterization,0.28835200670736144,1.0,0.04074694798870678,0.2705654200028653,0.1637933919068352,0.02171343201520591,0.32801938718353,0.22262545520740082,0.3005333437576166,0.32130658908905857,0.2335069432942821,0.28728927762442835,0.1734006173249316,0.33017464281254205,0.08312805339193684,0.0981039664634411,0.16870361679246665,-0.0301948218624968,0.3252715130548171,-0.031741672870253104,0.01523956321232712
comparative,0.3452011622276258,0.04074694798870678,1.0,0.2963871242624652,0.24752930390637015,0.1574338229778191,-0.12508323875193256,0.12435989307077504,-0.11331458316566013,0.03701056558222474,0.39193788250556166,0.2545803603596206,0.1897643464123022,0.19717711906506927,-0.0510725195168349,-0.03571797311858985,-0.03571797311858985,0.519246855241376,0.06813049989504051,-0.129034253289841,-0.21244498034046586
componentOf,0.06419604833698062,0.2705654200028653,0.2963871242624652,1.0,0.10313859573940133,0.10011804643247768,0.001294837221467255,0.09706281256327276,0.18995265513316612,0.11568177495299405,0.3930084505191386,0.3565921219194813,0.3818017082992534,0.05814711752286285,-0.06212139604883671,0.20727284966298035,0.2138600626718402,0.18094744464872603,-0.10432339418175623,0.054954815940335376,-0.13192509658769896
creation,0.1423402244090836,0.1637933919068352,0.24752930390637015,0.10313859573940133,1.0,0.07229225800277186,0.19610288604259526,0.3495358048220224,0.31680545517294006,0.29638660348024803,0.04702227691838769,0.24343958446553848,0.2618912370267286,0.6820514752879131,0.32750213262935235,0.32479085420840625,0.14556323251627595,0.370143818320613,-0.0010510595519294572,-0.012575425201305546,0.012266998864924324
derivation,-0.0031131082918637505,0.02171343201520591,0.1574338229778191,0.10011804643247768,0.07229225800277186,1.0,-0.14357489093304396,-0.1201608571733162,-0.17893559419598115,-0.21032304095784016,0.4616563549007781,0.392828934366296,0.2022296045175271,-0.030205522444951637,-0.1451827952677887,0.09095820788741932,0.06610794724921841,0.1319748418865616,0.08302859363877475,0.21277865077125924,0.06626077121504907
externalDependence,0.19160337250020154,0.32801938718353,-0.12508323875193256,0.001294837221467255,0.19610288604259526,-0.14357489093304396,1.0,0.3838085649968981,0.5330165101296956,0.43613286132563356,-0.2514681048913384,0.07046865452333179,0.1007335278393927,0.2894367928636879,0.24043832076536037,0.11686621968862629,0.11267958833375964,0.024477804170565432,0.24535140967532304,0.07209449327431837,0.033789464282179736
historicalDependence,0.3561137946921452,0.22262545520740082,0.12435989307077504,0.09706281256327276,0.3495358048220224,-0.1201608571733162,0.3838085649968981,1.0,0.5522794837920597,0.5074245293272643,0.024139506261458894,0.12253447368701247,0.15832372128036828,0.5871495959725713,0.3277142210429532,0.35312886332305343,0.1548259611403313,0.05621747979252405,0.3210988178374843,-0.04036885968029909,-0.07315520074880656
instantiation,0.25244703210810177,0.3005333437576166,-0.11331458316566013,0.18995265513316612,0.31680545517294006,-0.17893559419598115,0.5330165101296956,0.5522794837920597,1.0,0.7322691239301115,-0.10186540882603043,0.10501639379137954,0.09532504985600296,0.4617527822371693,0.1561855280148781,0.12651432471562676,0.1222776497874939,0.043072896878715045,0.2260968976972474,0.12498596241128065,-0.07665337800018303
manifestation,0.3510675415815107,0.32130658908905857,0.03701056558222474,0.11568177495299405,0.29638660348024803,-0.21032304095784016,0.43613286132563356,0.5074245293272643,0.7322691239301115,1.0,-0.12811264578467776,-0.005783797807216874,-0.007153475832738983,0.5078575359069667,-0.08230276765805046,-0.05755909578392332,-0.05755909578392332,-0.07088576551738253,0.3218834056688861,0.24338265933267592,-0.054629330982095256
material,0.1732683273274546,0.2335069432942821,0.39193788250556166,0.3930084505191386,0.04702227691838769,0.4616563549007781,-0.2514681048913384,0.024139506261458894,-0.10186540882603043,-0.12811264578467776,1.0,0.4183746583605785,0.2858650185111499,0.02170027074945775,-0.09772838618165978,0.1548085021882473,0.13582271502287113,0.16339740190920862,-0.014131119753948164,0.06167638987301077,-0.28242172755297473
mediation,-0.11978932845376986,0.28728927762442835,0.2545803603596206,0.3565921219194813,0.24343958446553848,0.392828934366296,0.07046865452333179,0.12253447368701247,0.10501639379137954,-0.005783797807216874,0.4183746583605785,1.0,0.41852820591934453,0.11791826978867614,0.07461137831214007,0.23857311142648432,0.24703558697577455,0.108486648618666,-0.12345786777344905,0.02237391860805734,-0.2144000483745514
memberOf,-0.04926810235238766,0.1734006173249316,0.1897643464123022,0.3818017082992534,0.2618912370267286,0.2022296045175271,0.1007335278393927,0.15832372128036828,0.09532504985600296,-0.007153475832738983,0.2858650185111499,0.41852820591934453,1.0,0.21445456412757039,0.04040593408422111,0.30411317152999023,0.3033241839886412,0.18338841657066737,-0.10313138084740868,0.11534726512714634,-0.14761858444194728
participation,0.4861071582043635,0.33017464281254205,0.19717711906506927,0.05814711752286285,0.6820514752879131,-0.030205522444951637,0.2894367928636879,0.5871495959725713,0.4617527822371693,0.5078575359069667,0.02170027074945775,0.11791826978867614,0.21445456412757039,1.0,0.3254682106526025,0.2966106352733506,0.24397226940761133,0.20264387265492598,0.3665088570973254,0.08321823559747446,0.03809035131402775
participational,0.05524188156064229,0.08312805339193684,-0.0510725195168349,-0.06212139604883671,0.32750213262935235,-0.1451827952677887,0.24043832076536037,0.3277142210429532,0.1561855280148781,-0.08230276765805046,-0.09772838618165978,0.07461137831214007,0.04040593408422111,0.3254682106526025,1.0,0.3496142291905684,0.34141238901941046,0.24794840203997237,0.08378872170094998,-0.11477669688511087,0.009653412490172623
subCollectionOf,-0.05755974361811058,0.0981039664634411,-0.03571797311858985,0.20727284966298035,0.32479085420840625,0.09095820788741932,0.11686621968862629,0.35312886332305343,0.12651432471562676,-0.05755909578392332,0.1548085021882473,0.23857311142648432,0.30411317152999023,0.2966106352733506,0.3496142291905684,1.0,0.4887694722859558,-0.027364033241972827,-0.05196187451353233,-0.0802699967177376,0.2529710934493434
subQuantityOf,-0.05755974361811058,0.16870361679246665,-0.03571797311858985,0.2138600626718402,0.14556323251627595,0.06610794724921841,0.11267958833375964,0.1548259611403313,0.1222776497874939,-0.05755909578392332,0.13582271502287113,0.24703558697577455,0.3033241839886412,0.24397226940761133,0.34141238901941046,0.4887694722859558,1.0,-0.027364033241972827,-0.05196187451353233,0.07621910402623687,0.23728450288223335
termination,0.3232273187296277,-0.0301948218624968,0.519246855241376,0.18094744464872603,0.370143818320613,0.1319748418865616,0.024477804170565432,0.05621747979252405,0.043072896878715045,-0.07088576551738253,0.16339740190920862,0.108486648618666,0.18338841657066737,0.20264387265492598,0.24794840203997237,-0.027364033241972827,-0.027364033241972827,1.0,0.12360313360563453,-0.09885492619228865,-0.1467228625031716
triggers,0.7093951171356242,0.3252715130548171,0.06813049989504051,-0.10432339418175623,-0.0010510595519294572,0.08302859363877475,0.24535140967532304,0.3210988178374843,0.2260968976972474,0.3218834056688861,-0.014131119753948164,-0.12345786777344905,-0.10313138084740868,0.3665088570973254,0.08378872170094998,-0.05196187451353233,-0.05196187451353233,0.12360313360563453,1.0,0.054595258497843226,0.07291821007707887
other,-0.12664364050293153,-0.031741672870253104,-0.129034253289841,0.054954815940335376,-0.012575425201305546,0.21277865077125924,0.07209449327431837,-0.04036885968029909,0.12498596241128065,0.24338265933267592,0.06167638987301077,0.02237391860805734,0.11534726512714634,0.08321823559747446,-0.11477669688511087,-0.0802699967177376,0.07621910402623687,-0.09885492619228865,0.054595258497843226,1.0,-0.04689190953079845
none,-0.034041499328047065,0.01523956321232712,-0.21244498034046586,-0.13192509658769896,0.012266998864924324,0.06626077121504907,0.033789464282179736,-0.07315520074880656,-0.07665337800018303,-0.054629330982095256,-0.28242172755297473,-0.2144000483745514,-0.14761858444194728,0.03809035131402775,0.009653412490172623,0.2529710934493434,0.23728450288223335,-0.1467228625031716,0.07291821007707887,-0.04689190953079845,1.0
