stereotype,total_correlation_model_wise,rank_total_correlation_model_wise
characterization,1.7447824725518388,6
componentOf,1.1433751268462764,10
derivation,1.9269304503884443,4
externalDependence,1.9912275819026117,3
instantiation,2.209713483425409,1
material,2.084300808508503,2
mediation,1.7371641458111853,7
memberOf,1.2971487289612966,9
participation,1.8104296406912845,5
none,1.6225039769654606,8
other,1.0003738186926125,11
