stereotype1,stereotype2,geometric_mean_correlation
characterization,componentOf,0.1452886996292385
characterization,derivation,0.08862686096693209
characterization,externalDependence,0.3965260177642067
characterization,instantiation,0.3147975141854316
characterization,material,0.05859616493076754
characterization,mediation,0.11425176856221624
characterization,memberOf,0.009355638617965267
characterization,participation,0.326463557138402
characterization,none,0.170232548411643
characterization,other,0.031872933656823595
componentOf,derivation,0.07709525352653983
componentOf,externalDependence,0.04261788012658885
componentOf,instantiation,0.11026596873817894
componentOf,material,0.10593729766299066
componentOf,mediation,0.10673906536993454
componentOf,memberOf,0.2293856242513609
componentOf,participation,0.06390347059254677
componentOf,none,0.17705693707551784
componentOf,other,0.1026640901995518
derivation,externalDependence,0.13085928381230558
derivation,instantiation,0.1620008292837265
derivation,material,0.5591385823766516
derivation,mediation,0.4000743078209776
derivation,memberOf,0.11854536844256529
derivation,participation,0.10883680364465907
derivation,none,0.08761736708517533
derivation,other,0.17824539951732715
externalDependence,instantiation,0.5763389460583185
externalDependence,material,0.25877734496927274
externalDependence,mediation,0.00037501307207835484
externalDependence,memberOf,0.03862208946628597
externalDependence,participation,0.41536355720631557
externalDependence,none,0.12949623192577853
externalDependence,other,0.017109487252963417
instantiation,material,0.17227078244885405
instantiation,mediation,0.002779291483202578
instantiation,memberOf,0.04392118024240573
instantiation,participation,0.5323692428992887
instantiation,none,0.12142290763375144
instantiation,other,0.045817144434768545
material,mediation,0.3650621991643878
material,memberOf,0.12246636005468954
material,participation,0.11747458146736217
material,none,0.20899524156605745
material,other,0.05336874172355043
mediation,memberOf,0.22460045238675627
mediation,participation,0.055546031431834265
mediation,none,0.2859581336975725
mediation,other,0.14250358867612234
memberOf,participation,0.029818368510088178
memberOf,none,0.2379331903828698
memberOf,other,0.23695796437172947
participation,none,0.16423681152874217
participation,other,0.012496241548596104
none,other,0.1281571106132349
