stereotype,total_correlation_occurrence_wise,rank_total_correlation_occurrence_wise
characterization,1.6849955597162838,8
componentOf,1.2113894922914068,10
derivation,1.9117893910618093,4
externalDependence,2.02625443015533,2
instantiation,2.049922047702754,1
material,1.9868926898200554,3
mediation,1.7962342892152248,7
memberOf,1.3890693537097114,9
participation,1.8831403088012602,6
none,1.9093595604410587,5
other,0.9406403522551554,11
