Stereotype,characterization,componentOf,derivation,externalDependence,instantiation,material,mediation,memberOf,participation,none,other
characterization,1.0,0.16170485977476826,-0.06713378654909151,0.35984227893194837,0.283082197229101,-0.06650577463184454,0.1718742971605868,0.09180455341794966,0.30433622343652206,0.19623875271275013,0.04225974870727683
componentOf,0.16170485977476826,1.0,-0.10101214574898786,-0.044604302675238794,0.12661906911665244,0.09224632974536501,0.07967699110008628,0.21311229801901233,-0.057348552921311455,-0.14507137501478692,0.12197920273006682
derivation,-0.06713378654909151,-0.10101214574898786,1.0,-0.12760218233675907,-0.155396130279528,0.5765395609085313,0.4214215391341433,0.1156200538007712,-0.09584278707397256,-0.08370305234666123,0.18265921220999853
externalDependence,0.35984227893194837,-0.044604302675238794,-0.12760218233675907,1.0,0.5872679791311741,-0.2591835095543513,-0.0005894787945729424,0.03761299576517352,0.4152268510278213,0.1394373281474075,0.01986067553816485
instantiation,0.283082197229101,0.12661906911665244,-0.155396130279528,0.5872679791311741,1.0,-0.18641906049463525,-0.07410976373568898,-0.045045568039876215,0.5199295558440178,0.1790307502882702,0.05281340926646477
material,-0.06650577463184454,0.09224632974536501,0.5765395609085313,-0.2591835095543513,-0.18641906049463525,1.0,0.3852366617616672,0.12148214805202381,-0.1263507945427984,-0.17904987589975876,0.09128709291752768
mediation,0.1718742971605868,0.07967699110008628,0.4214215391341433,-0.0005894787945729424,-0.07410976373568898,0.3852366617616672,1.0,0.21626666991839877,-0.03280787630555277,-0.21683956502144902,0.13834130287903965
memberOf,0.09180455341794966,0.21311229801901233,0.1156200538007712,0.03761299576517352,-0.045045568039876215,0.12148214805202381,0.21626666991839877,1.0,0.033459745851629384,-0.17119665981712642,0.25154803627933503
participation,0.30433622343652206,-0.057348552921311455,-0.09584278707397256,0.4152268510278213,0.5199295558440178,-0.1263507945427984,-0.03280787630555277,0.033459745851629384,1.0,0.21871936662008526,0.006407887067573271
none,0.19623875271275013,-0.14507137501478692,-0.08370305234666123,0.1394373281474075,0.1790307502882702,-0.17904987589975876,-0.21683956502144902,-0.17119665981712642,0.21871936662008526,1.0,-0.09321725109716521
other,0.04225974870727683,0.12197920273006682,0.18265921220999853,0.01986067553816485,0.05281340926646477,0.09128709291752768,0.13834130287903965,0.25154803627933503,0.006407887067573271,-0.09321725109716521,1.0
