Stereotype,characterization,componentOf,derivation,externalDependence,instantiation,material,mediation,memberOf,participation,none,other
characterization,1.0,0.1452886996292385,0.08862686096693209,0.3965260177642067,0.3147975141854316,0.05859616493076754,0.11425176856221624,0.009355638617965267,0.326463557138402,0.170232548411643,0.031872933656823595
componentOf,0.1452886996292385,1.0,0.07709525352653983,0.04261788012658885,0.11026596873817894,0.10593729766299066,0.10673906536993454,0.2293856242513609,0.06390347059254677,0.17705693707551784,0.1026640901995518
derivation,0.08862686096693209,0.07709525352653983,1.0,0.13085928381230558,0.1620008292837265,0.5591385823766516,0.4000743078209776,0.11854536844256529,0.10883680364465907,0.08761736708517533,0.17824539951732715
externalDependence,0.3965260177642067,0.04261788012658885,0.13085928381230558,1.0,0.5763389460583185,0.25877734496927274,0.00037501307207835484,0.03862208946628597,0.41536355720631557,0.12949623192577853,0.017109487252963417
instantiation,0.3147975141854316,0.11026596873817894,0.1620008292837265,0.5763389460583185,1.0,0.17227078244885405,0.002779291483202578,0.04392118024240573,0.5323692428992887,0.12142290763375144,0.045817144434768545
material,0.05859616493076754,0.10593729766299066,0.5591385823766516,0.25877734496927274,0.17227078244885405,1.0,0.3650621991643878,0.12246636005468954,0.11747458146736217,0.20899524156605745,0.05336874172355043
mediation,0.11425176856221624,0.10673906536993454,0.4000743078209776,0.00037501307207835484,0.002779291483202578,0.3650621991643878,1.0,0.22460045238675627,0.055546031431834265,0.2859581336975725,0.14250358867612234
memberOf,0.009355638617965267,0.2293856242513609,0.11854536844256529,0.03862208946628597,0.04392118024240573,0.12246636005468954,0.22460045238675627,1.0,0.029818368510088178,0.2379331903828698,0.23695796437172947
participation,0.326463557138402,0.06390347059254677,0.10883680364465907,0.41536355720631557,0.5323692428992887,0.11747458146736217,0.055546031431834265,0.029818368510088178,1.0,0.16423681152874217,0.012496241548596104
none,0.170232548411643,0.17705693707551784,0.08761736708517533,0.12949623192577853,0.12142290763375144,0.20899524156605745,0.2859581336975725,0.2379331903828698,0.16423681152874217,1.0,0.1281571106132349
other,0.031872933656823595,0.1026640901995518,0.17824539951732715,0.017109487252963417,0.045817144434768545,0.05336874172355043,0.14250358867612234,0.23695796437172947,0.012496241548596104,0.1281571106132349,1.0
