model,Total classes,Total stereotyped classes,Total non-stereotyped classes,Total ontouml classes,Total non-ontouml classes,Total relations,Total stereotyped relations,Total non-stereotyped relations,Total ontouml relations,Total non-ontouml relations,Number of different class stereotypes,Number of different ontouml class stereotypes,Number of different relation stereotypes,Number of different ontouml relation stereotypes
abel2015petroleum-system,29,29,0,29,0,21,12,9,3,18,9,9,2,1
abrahao2018agriculture-operations,22,22,0,20,2,53,24,29,23,30,5,4,6,5
aguiar2018rdbs-o,43,43,0,43,0,31,2,29,2,29,6,6,1,1
aguiar2019ooco,56,56,0,56,0,31,17,14,17,14,6,6,2,2
aires2022valuenetworks-geo,22,22,0,20,2,53,24,29,23,30,5,4,6,5
albuquerque2011ontobio,147,147,0,147,0,43,38,5,38,5,11,11,6,6
alkhalaf2024,148,148,0,148,0,126,122,4,122,4,10,10,7,7
alpinebits2022,78,78,0,78,0,37,34,3,34,3,12,12,6,6
amaral2019rot,48,48,0,48,0,45,30,15,30,15,11,11,8,8
amaral2020game-theory,22,22,0,22,0,20,12,8,12,8,8,8,8,8
amaral2020rome,48,48,0,48,0,58,38,20,38,20,10,10,5,5
amaral2022ethical-requirements,24,24,0,24,0,17,3,14,3,14,5,5,2,2
andersson2018value-ascription,13,13,0,6,7,17,3,14,3,14,4,3,1,1
andrade2023integracao,44,43,1,43,1,28,28,0,28,0,9,9,4,4
aristotle-ontology2019,182,182,0,182,0,147,103,44,102,45,13,13,9,8
barcelos2013normative-acts,45,45,0,45,0,18,18,0,18,0,4,4,3,3
barcelos2015transport-networks,487,487,0,487,0,348,348,0,336,12,8,8,6,5
barcelos2024resiliont,56,56,0,56,0,80,67,13,57,23,6,6,9,8
barros2020programming,12,12,0,12,0,0,0,0,0,0,2,2,0,0
bernasconi2021ontovcm,76,76,0,76,0,67,62,5,61,6,12,12,10,9
bernasconi2023fair-principles,46,46,0,46,0,29,29,0,29,0,8,8,5,5
brazilian-governmental-organizational-structures,15,15,0,15,0,7,7,0,2,5,4,4,2,1
buchtela2020connection,19,19,0,19,0,13,0,13,0,13,3,3,0,0
buridan-ontology2021,54,54,0,54,0,53,35,18,35,18,7,7,4,4
carolla2014campus-management,17,17,0,17,0,23,13,10,13,10,3,3,3,3
castro2012cloudvulnerability,32,32,0,32,0,27,26,1,21,6,5,5,4,3
cgts2021sebim,29,29,0,29,0,11,3,8,3,8,7,7,2,2
cmpo2017,55,53,2,53,2,66,6,60,6,60,9,9,1,1
core-o2023,30,30,0,30,0,47,19,28,19,28,7,7,8,8
dcat-mlt-ufo2023,30,24,6,24,6,31,9,22,9,22,10,10,2,2
demori2023miscon,31,31,0,31,0,27,13,14,13,14,7,7,4,4
derave2019dpo,259,257,2,257,2,299,146,153,146,153,12,12,13,13
dpo2017,40,40,0,40,0,51,7,44,7,44,6,6,2,2
duarte2020jogabilidade,19,19,0,19,0,21,15,6,11,10,7,7,7,6
elghosh2020cargos,10,10,0,10,0,15,10,5,9,6,7,7,6,5
elghosh2024eucaim,38,38,0,38,0,30,30,0,30,0,9,9,4,4
elikan2018brand-identity,30,30,0,30,0,31,24,7,19,12,6,6,6,5
eu-rent-refactored2022,66,66,0,66,0,50,48,2,48,2,7,7,3,3
falduci2022non-consensual-pornography,27,27,0,27,0,38,31,7,31,7,7,7,5,5
fernandez-cejas2022curie-o,29,29,0,29,0,21,18,3,18,3,7,7,6,6
ferreira2015ontoemergeplan,147,147,0,135,12,121,107,14,36,85,14,13,6,5
fischer2018ontorea,18,18,0,18,0,23,19,4,9,14,6,6,5,4
fonseca2022incorporating,51,51,0,51,0,21,21,0,21,0,11,11,5,5
formula-one2023,26,26,0,26,0,13,10,3,10,3,10,10,6,6
fraller2019abc,39,39,0,39,0,46,34,12,18,28,4,4,3,2
franco2018rpg,23,23,0,20,3,24,12,12,12,12,8,7,4,4
fumagalli2022criminal-investigation,10,10,0,10,0,9,9,0,9,0,3,3,2,2
gailly2016value,12,12,0,4,8,15,0,15,0,15,4,3,0,0
garcia2022human-genome-events,15,15,0,15,0,8,7,1,7,1,6,6,7,7
gomes2022digital-technology,19,19,0,19,0,18,6,12,6,12,3,3,3,3
goncalves2011ecg,133,133,0,133,0,165,87,78,87,78,12,12,10,10
