Element Pair,Jaccard Similarity
"('abstract', 'RectangularShape')",0.0
"('abstract', 'redefinesProperty')",0.03333333333333333
"('abstract', 'Relation')",0.25
"('abstract', 'relationEnd')",0.25
"('abstract', 'RelationStereotype')",0.0
"('abstract', 'RelationView')",0.0
"('abstract', 'relator')",0.22
"('abstract', 'relatorNature')",0.0
"('abstract', 'restrictedTo')",0.25210084033613445
"('abstract', 'role')",0.2127659574468085
"('abstract', 'roleMixin')",0.18309859154929578
"('abstract', 'shape')",0.2621359223300971
"('abstract', 'Shape')",0.0
"('abstract', 'shared')",0.2727272727272727
"('abstract', 'situation')",0.20930232558139536
"('abstract', 'situationNature')",0.0
"('abstract', 'sourceEnd')",0.25
"('abstract', 'sourceView')",0.2727272727272727
"('abstract', 'specific')",0.2564102564102564
"('abstract', 'stereotype')",0.24793388429752067
"('abstract', 'Stereotype')",0.0
"('abstract', 'subCollectionOf')",0.09090909090909091
"('abstract', 'subkind')",0.26881720430107525
"('abstract', 'subQuantityOf')",0.0625
"('abstract', 'subsetsProperty')",0.03333333333333333
"('abstract', 'targetEnd')",0.25
"('abstract', 'targetView')",0.2727272727272727
"('abstract', 'termination')",0.06451612903225806
"('abstract', 'text')",0.0
"('abstract', 'Text')",0.22666666666666666
"('abstract', 'topLeftPosition')",0.2621359223300971
"('abstract', 'triggers')",0.08108108108108109
"('abstract', 'type')",0.21739130434782608
"('abstract', 'typeNature')",0.0
"('abstract', 'upperBound')",0.25663716814159293
"('abstract', 'width')",0.2621359223300971
"('abstract', 'xCoordinate')",0.2621359223300971
"('abstract', 'yCoordinate')",0.2621359223300971
"('abstractNature', 'aggregationKind')",0.0
"('abstractNature', 'AggregationKind')",0.0
"('abstractNature', 'attribute')",0.0
"('abstractNature', 'begin')",0.0
"('abstractNature', 'bringsAbout')",0.0
"('abstractNature', 'cardinality')",0.0
"('abstractNature', 'Cardinality')",0.0
"('abstractNature', 'cardinalityValue')",0.0
"('abstractNature', 'categorizer')",0.0
"('abstractNature', 'category')",0.0
"('abstractNature', 'characterization')",0.0
"('abstractNature', 'Class')",0.0
"('abstractNature', 'Classifier')",0.0
"('abstractNature', 'ClassStereotype')",0.0
"('abstractNature', 'ClassView')",0.0
"('abstractNature', 'collective')",0.0
"('abstractNature', 'collectiveNature')",0.0
"('abstractNature', 'comparative')",0.0
"('abstractNature', 'componentOf')",0.0
"('abstractNature', 'composite')",0.0
"('abstractNature', 'ConnectorView')",0.0
"('abstractNature', 'containsModelElement')",0.0
"('abstractNature', 'containsView')",0.0
"('abstractNature', 'creation')",0.0
"('abstractNature', 'datatype')",0.0
"('abstractNature', 'DecoratableElement')",0.0
"('abstractNature', 'derivation')",0.0
"('abstractNature', 'description')",0.0
"('abstractNature', 'diagram')",0.0
"('abstractNature', 'Diagram')",0.0
"('abstractNature', 'DiagramElement')",0.0
"('abstractNature', 'ElementView')",0.0
"('abstractNature', 'end')",0.0
"('abstractNature', 'enumeration')",0.0
"('abstractNature', 'event')",0.0
"('abstractNature', 'eventNature')",0.0
"('abstractNature', 'externalDependence')",0.0
"('abstractNature', 'extrinsicModeNature')",0.0
"('abstractNature', 'functionalComplexNature')",0.0
"('abstractNature', 'general')",0.0
"('abstractNature', 'generalization')",0.0
"('abstractNature', 'Generalization')",0.0
"('abstractNature', 'GeneralizationSet')",0.0
"('abstractNature', 'GeneralizationSetView')",0.0
"('abstractNature', 'GeneralizationView')",0.0
"('abstractNature', 'height')",0.0
"('abstractNature', 'historicalDependence')",0.0
"('abstractNature', 'historicalRole')",0.0
"('abstractNature', 'historicalRoleMixin')",0.0
"('abstractNature', 'instantiation')",0.0
"('abstractNature', 'intrinsicModeNature')",0.0
"('abstractNature', 'isAbstract')",0.0
"('abstractNature', 'isComplete')",0.0
"('abstractNature', 'isDerived')",0.0
"('abstractNature', 'isDisjoint')",0.0
"('abstractNature', 'isExtensional')",0.0
"('abstractNature', 'isOrdered')",0.0
"('abstractNature', 'isPowertype')",0.0
"('abstractNature', 'isReadOnly')",0.0
"('abstractNature', 'isViewOf')",0.0
"('abstractNature', 'kind')",0.0
"('abstractNature', 'literal')",0.0
"('abstractNature', 'Literal')",0.0
"('abstractNature', 'lowerBound')",0.0
"('abstractNature', 'manifestation')",0.0
"('abstractNature', 'material')",0.0
"('abstractNature', 'mediation')",0.0
"('abstractNature', 'memberOf')",0.0
"('abstractNature', 'mixin')",0.0
"('abstractNature', 'mode')",0.0
"('abstractNature', 'model.1')",0.0
"('abstractNature', 'ModelElement')",0.0
"('abstractNature', 'name')",0.0
"('abstractNature', 'NodeView')",0.0
"('abstractNature', 'none')",0.0
"('abstractNature', 'Note')",0.0
"('abstractNature', 'NoteView')",0.0
"('abstractNature', 'OntologicalNature')",0.0
"('abstractNature', 'OntoumlElement')",0.0
"('abstractNature', 'order')",0.0
