Element,Mean,Median,Mode,Standard Deviation,Variance,Skewness,Kurtosis,25th Percentile (Q1),75th Percentile (Q3),Interquartile Range (IQR)
abstract,1.2479338842975207,0.0,0.0,3.76448533829778,14.171349862258953,4.976435757771518,29.1697638418536,0.0,0.0,0.0
abstractNature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aggregationKind,159.88429752066116,68.0,26.0,627.6545120537072,393950.1865013773,10.528064646771385,113.84735088596474,44.0,130.0,86.0
AggregationKind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
attribute,14.561983471074381,0.0,0.0,75.98342939549204,5773.481542699723,9.459816263234082,96.3585388456628,0.0,4.0,4.0
begin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bringsAbout,0.24793388429752067,0.0,0.0,0.8091249567231792,0.6546831955922866,3.3546945008758997,10.507248068788073,0.0,0.0,0.0
cardinality,140.35537190082644,62.0,18.0,555.9767060393827,309110.0976584022,10.489394141305402,113.2220620465081,36.0,116.0,80.0
Cardinality,140.35537190082644,62.0,18.0,555.9767060393827,309110.0976584022,10.489394141305402,113.2220620465081,36.0,116.0,80.0
cardinalityValue,140.35537190082644,62.0,18.0,555.9767060393827,309110.0976584022,10.489394141305402,113.2220620465081,36.0,116.0,80.0
categorizer,0.024793388429752067,0.0,0.0,0.20260017758117307,0.04104683195592287,8.795052481713403,80.77203729561727,0.0,0.0,0.0
category,4.859504132231405,2.0,0.0,11.207367952321936,125.6050964187328,6.402253556039979,51.986159531373595,0.0,5.0,5.0
characterization,4.636363636363637,1.0,0.0,10.74399056837511,115.43333333333334,6.94486621920869,61.50989973314566,0.0,5.0,5.0
Class,100.6694214876033,39.0,18.0,474.6690494163583,225310.70647382917,10.701631591576273,116.47911847709811,24.0,63.0,39.0
Classifier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ClassStereotype,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ClassView,63.760330578512395,32.0,0.0,126.78637050786048,16074.783746556475,5.878321634876382,39.17633711310287,13.0,66.0,53.0
collective,4.1570247933884295,0.0,0.0,18.91604621499201,357.8168044077136,9.877717053385561,103.93699063727536,0.0,3.0,3.0
collectiveNature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
comparative,0.30578512396694213,0.0,0.0,1.7551969272544683,3.0807162534435273,6.742036485566152,48.51731051861543,0.0,0.0,0.0
componentOf,4.735537190082645,0.0,0.0,19.787946076269648,391.56280991735537,8.33185441819946,77.199610416587,0.0,3.0,3.0
composite,7.8264462809917354,2.0,0.0,30.43289823145079,926.1612947658406,9.293037558452953,94.28244626652892,0.0,6.0,6.0
ConnectorView,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
containsModelElement,254.35537190082644,102.0,58.0,1112.1134673786974,1236796.364325069,10.540903877414157,113.95410618776127,59.0,178.0,119.0
containsView,324.3801652892562,106.0,63.0,1368.2177900234449,1872019.9209366392,10.177377070773693,108.24028304254506,60.0,222.0,162.0
creation,0.5041322314049587,0.0,0.0,1.6079177370238231,2.5853994490358128,4.370659419600837,21.867516527772544,0.0,0.0,0.0
datatype,0.7272727272727273,0.0,0.0,1.932183566158592,3.7333333333333343,3.784753044760029,17.056867503357275,0.0,0.0,0.0
DecoratableElement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
derivation,1.884297520661157,0.0,0.0,7.739713692642455,59.903168044077105,7.440681771656893,62.67109068729354,0.0,1.0,1.0
description,16.140495867768596,0.0,0.0,143.32517258464657,20542.105096418727,10.783671052966023,117.64990618702026,0.0,0.0,0.0
diagram,10.264462809917354,2.0,1.0,54.80248908505301,3003.3128099173546,10.37956063993987,111.29825514886477,1.0,5.0,4.0
