Element,Mean,Median,Mode,Standard Deviation,Variance,Skewness,Kurtosis,25th Percentile (Q1),75th Percentile (Q3),Interquartile Range (IQR)
Diagram,10.264462809917354,2.0,1.0,54.80248908505301,3003.3128099173546,10.37956063993987,111.29825514886477,1.0,5.0,4.0
DiagramElement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ElementView,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
end,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
enumeration,0.5371900826446281,0.0,0.0,2.6709590110234736,7.134022038567492,5.99199647940719,37.34138123089208,0.0,0.0,0.0
event,7.859504132231405,0.0,0.0,17.984857420027907,323.45509641873286,5.73474734797444,45.04142154249396,0.0,8.0,8.0
eventNature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
externalDependence,0.6363636363636364,0.0,0.0,1.7416467303484175,3.033333333333333,3.510788615834831,13.876090430727926,0.0,0.0,0.0
extrinsicModeNature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
functionalComplexNature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
general,70.92561983471074,22.0,2.0,331.4188227728689,109838.4360881543,10.328552281409422,110.51761607498874,11.0,46.0,35.0
generalization,12.198347107438016,4.0,0.0,29.13349156174921,848.7603305785124,6.999012982688792,61.300438535499836,0.0,13.0,13.0
Generalization,70.92561983471074,22.0,2.0,331.4188227728689,109838.4360881543,10.328552281409422,110.51761607498874,11.0,46.0,35.0
GeneralizationSet,4.603305785123967,2.0,0.0,8.852004800084343,78.35798898071626,5.306105949108239,39.51652176201703,0.0,6.0,6.0
GeneralizationSetView,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GeneralizationView,37.231404958677686,17.0,0.0,75.92405858603918,5764.462672176309,5.462538243540936,35.86865950348723,2.0,37.0,35.0
height,68.49586776859505,35.0,0.0,135.83047792296975,18449.91873278237,5.861265753099177,39.01170213086602,13.0,74.0,61.0
historicalDependence,0.36363636363636365,0.0,0.0,1.1902380714238083,1.4166666666666667,4.084138708748823,17.74905476353934,0.0,0.0,0.0
historicalRole,0.19008264462809918,0.0,0.0,1.5775194113268298,2.4885674931129476,10.31259554199862,109.98088531455839,0.0,0.0,0.0
historicalRoleMixin,0.0743801652892562,0.0,0.0,0.5190582699498254,0.2694214876033058,7.376114620384364,54.33614742144363,0.0,0.0,0.0
instantiation,0.5702479338842975,0.0,0.0,1.7455965851297168,3.047107438016529,3.617822294708023,13.551104509999798,0.0,0.0,0.0
intrinsicModeNature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isAbstract,100.6694214876033,39.0,18.0,474.6690494163583,225310.70647382917,10.701631591576273,116.47911847709811,24.0,63.0,39.0
isComplete,4.603305785123967,2.0,0.0,8.852004800084343,78.35798898071626,5.306105949108239,39.51652176201703,0.0,6.0,6.0
isDerived,333.21487603305786,141.0,55.0,1378.850851292551,1901229.6701101926,10.607034057676973,115.0398755846271,87.0,249.0,162.0
isDisjoint,4.603305785123967,2.0,0.0,8.852004800084343,78.35798898071626,5.306105949108239,39.51652176201703,0.0,6.0,6.0
isExtensional,100.6694214876033,39.0,18.0,474.6690494163583,225310.70647382917,10.701631591576273,116.47911847709811,24.0,63.0,39.0
isOrdered,159.88429752066116,68.0,26.0,627.6545120537072,393950.1865013773,10.528064646771385,113.84735088596474,44.0,130.0,86.0
isPowertype,100.6694214876033,39.0,18.0,474.6690494163583,225310.70647382917,10.701631591576273,116.47911847709811,24.0,63.0,39.0
isReadOnly,159.88429752066116,68.0,26.0,627.6545120537072,393950.1865013773,10.528064646771385,113.84735088596474,44.0,130.0,86.0
isViewOf,101.13223140495867,47.0,0.0,201.58401648563148,40636.11570247934,5.713174207139757,37.559680848312794,20.0,105.0,85.0
kind,13.206611570247935,6.0,0.0,42.169482914261565,1778.265289256198,9.050961165983828,90.23195243270271,2.0,11.0,9.0
literal,1.7768595041322315,0.0,0.0,8.230520035520017,67.74146005509643,5.356398950197148,29.390403154900092,0.0,0.0,0.0
Literal,1.7768595041322315,0.0,0.0,8.230520035520017,67.74146005509643,5.356398950197148,29.390403154900092,0.0,0.0,0.0
lowerBound,106.89256198347107,50.0,0.0,349.58222212742487,122207.73002754824,9.806952748752884,102.64096460979306,24.0,96.0,72.0
manifestation,0.2809917355371901,0.0,0.0,1.1344832927803723,1.2870523415977957,6.146225198048582,46.38092244856252,0.0,0.0,0.0
material,5.256198347107438,0.0,0.0,18.275908060257834,334.0088154269973,6.956009608950503,55.53848860671931,0.0,3.0,3.0
mediation,16.702479338842974,2.0,0.0,100.71599050697783,10143.71074380165,10.642300933909397,115.49744946744191,0.0,11.0,11.0
memberOf,1.677685950413223,0.0,0.0,10.587110776814937,112.08691460055097,10.415847110998355,111.95501434814886,0.0,1.0,1.0
mixin,0.6942148760330579,0.0,0.0,3.6396954433180513,13.247382920110187,8.80804922419451,84.94993503843111,0.0,0.0,0.0
mode,4.5041322314049586,0.0,0.0,16.8201882505033,282.9187327823692,8.72365685016638,85.6060635266339,0.0,3.0,3.0
model.1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
ModelElement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
name,197.82644628099175,87.0,37.0,747.9102628623074,559369.7612947657,10.233754239851088,109.16850968332007,44.0,150.0,106.0
NodeView,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
none,149.17355371900825,63.0,28.0,597.2792852829397,356742.54462809925,10.557050052156514,114.29706373010349,38.0,120.0,82.0
Note,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NoteView,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OntologicalNature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OntoumlElement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
order,100.6694214876033,39.0,18.0,474.6690494163583,225310.70647382917,10.701631591576273,116.47911847709811,24.0,63.0,39.0
owner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Package,6.4958677685950414,2.0,1.0,29.586349320517773,875.3520661157024,10.066668354912743,106.13693798900866,1.0,4.0,3.0
PackageView,0.14049586776859505,0.0,0.0,0.9857804448250377,0.9717630853994491,8.894155816291855,85.8361954487782,0.0,0.0,0.0
participation,1.8925619834710743,0.0,0.0,5.92143233361175,35.06336088154269,5.945068566596833,43.189448968483646,0.0,1.0,1.0
participational,0.14049586776859505,0.0,0.0,0.9687258394747792,0.9384297520661156,7.542414815774503,56.91789979866908,0.0,0.0,0.0
Path,81.63636363636364,44.0,0.0,148.62637720135683,22089.8,5.5941533191740405,36.8687336447419,17.0,91.0,74.0
phase,2.743801652892562,0.0,0.0,10.407152128560304,108.30881542699726,9.092830727229257,92.22701615235398,0.0,2.0,2.0
phaseMixin,0.1652892561983471,0.0,0.0,0.7783219924728724,0.6057851239669421,6.602775489631771,51.66504653257497,0.0,0.0,0.0
point,231.4297520661157,124.0,0.0,405.3739595823072,164328.047107438,5.3056116267776945,33.48085695149335,50.0,259.0,209.0
Point,299.92561983471074,159.0,0.0,540.3962306383663,292028.08608815435,5.461905543855598,35.02351756374976,65.0,339.0,274.0
project,528.4132231404959,248.0,71.0,1827.0881508994098,3338251.1111570247,9.959500857949317,104.68555614439386,140.0,437.0,297.0
Project,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
property,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Property,159.88429752066116,68.0,26.0,627.6545120537072,393950.1865013773,10.528064646771385,113.84735088596474,44.0,130.0,86.0
PropertyStereotype,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
propertyType,148.94214876033058,62.0,62.0,558.4799503640911,311899.85495867766,10.454796659317193,112.72115015838997,42.0,122.0,80.0
quality,4.578512396694215,0.0,0.0,9.871467356406294,97.44586776859505,3.2833569084073266,11.962157719362962,0.0,4.0,4.0
qualityNature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
quantity,1.5950413223140496,0.0,0.0,5.237013322490682,27.4263085399449,5.86677573884403,44.028469420768516,0.0,0.0,0.0
quantityNature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rectangle,63.900826446280995,32.0,0.0,126.82477445664138,16084.523415977956,5.870624501024651,39.0998712595114,13.0,66.0,53.0
RectangularShape,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
redefinesProperty,0.01652892561983471,0.0,0.0,0.1818181818181818,0.033057851239669415,11.000000000000004,121.0,0.0,0.0,0.0
Relation,72.66115702479338,31.0,22.0,277.84886640399213,77199.99256198348,10.478631775926157,113.06794116721443,21.0,60.0,39.0
relationEnd,145.32231404958677,62.0,44.0,555.6977328079843,308799.97024793393,10.478631775926157,113.06794116721443,42.0,120.0,78.0
RelationStereotype,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RelationView,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
relator,22.198347107438018,6.0,0.0,140.85534067704063,19840.22699724518,10.854446113477023,118.81816903283104,2.0,12.0,10.0
relatorNature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
restrictedTo,78.21487603305785,35.0,35.0,280.3436642947239,78592.57011019284,10.24309734786905,109.38693402412791,20.0,61.0,41.0
role,15.363636363636363,3.0,0.0,98.71187027573397,9744.033333333331,10.30795358181438,109.56464706295729,0.0,7.0,7.0
roleMixin,4.768595041322314,0.0,0.0,20.926363090042873,437.91267217630866,9.333459403013547,95.16046618260167,0.0,2.0,2.0
shape,101.13223140495867,47.0,0.0,201.58401648563148,40636.11570247934,5.713174207139757,37.559680848312794,20.0,105.0,85.0
Shape,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shared,2.884297520661157,1.0,0.0,3.8344710253276313,14.703168044077136,1.5336896495152599,2.1919313105109586,0.0,5.0,5.0
situation,1.396694214876033,0.0,0.0,3.738269071025107,13.974655647382917,3.6048062314301097,15.21122470187681,0.0,0.0,0.0
situationNature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sourceEnd,72.66115702479338,31.0,22.0,277.84886640399213,77199.99256198348,10.478631775926157,113.06794116721443,21.0,60.0,39.0
sourceView,37.231404958677686,17.0,0.0,75.92405858603918,5764.462672176309,5.462538243540936,35.86865950348723,2.0,37.0,35.0
specific,70.92561983471074,22.0,2.0,331.4188227728689,109838.4360881543,10.328552281409422,110.51761607498874,11.0,46.0,35.0
stereotype,151.7520661157025,55.0,34.0,751.6036220530044,564908.0046831955,10.709941222401513,116.58379524607093,31.0,99.0,68.0
Stereotype,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
subCollectionOf,0.23140495867768596,0.0,0.0,1.2958930677240335,1.6793388429752063,7.29113513672492,59.938805547220554,0.0,0.0,0.0
subkind,16.793388429752067,3.0,0.0,72.72848105056825,5289.431955922865,10.156714173968036,108.28042841160541,0.0,14.0,14.0
subQuantityOf,0.11570247933884298,0.0,0.0,0.9326492967583273,0.8698347107438025,10.168908787277635,107.60487438848676,0.0,0.0,0.0
subsetsProperty,0.049586776859504134,0.0,0.0,0.5454545454545457,0.2975206611570251,10.999999999999975,120.99999999999969,0.0,0.0,0.0
targetEnd,72.66115702479338,31.0,22.0,277.84886640399213,77199.99256198348,10.478631775926157,113.06794116721443,21.0,60.0,39.0
targetView,37.231404958677686,17.0,0.0,75.92405858603918,5764.462672176309,5.462538243540936,35.86865950348723,2.0,37.0,35.0
termination,0.04132231404958678,0.0,0.0,0.2706995325348763,0.07327823691460054,6.792494048480784,46.32710306124824,0.0,0.0,0.0
text,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Text,4.595041322314049,1.0,0.0,10.008811544831131,100.17630853994493,4.90613753797568,30.255620547864368,0.0,5.0,5.0
topLeftPosition,68.49586776859505,35.0,0.0,135.83047792296975,18449.91873278237,5.861265753099177,39.01170213086602,13.0,74.0,61.0
triggers,0.1322314049586777,0.0,0.0,0.48204682968100687,0.23236914600550965,3.983452000058317,16.261002866490124,0.0,0.0,0.0
type,3.5371900826446283,0.0,0.0,13.201036147662835,174.26735537190083,6.595002052711256,52.40165123906729,0.0,0.0,0.0
typeNature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
upperBound,106.89256198347107,50.0,0.0,349.58222212742487,122207.73002754824,9.806952748752884,102.64096460979306,24.0,96.0,72.0
width,68.49586776859505,35.0,0.0,135.83047792296975,18449.91873278237,5.861265753099177,39.01170213086602,13.0,74.0,61.0
xCoordinate,299.92561983471074,159.0,0.0,540.3962306383663,292028.08608815435,5.461905543855598,35.02351756374976,65.0,339.0,274.0
yCoordinate,299.92561983471074,159.0,0.0,540.3962306383663,292028.08608815435,5.461905543855598,35.02351756374976,65.0,339.0,274.0
