Construct,Total Frequency,Group Frequency,Global Relative Frequency (Occurrence-wise),Global Relative Frequency (Group-wise)
subQuantityOf,14,4,1.743446819268076e-05,0.03305785123966942
subsetsProperty,6,1,7.471914939720327e-06,0.008264462809917356
targetEnd,8792,120,0.010948846025003518,0.9917355371900827
targetView,4505,96,0.005610162800573345,0.7933884297520661
termination,5,3,6.226595783100272e-06,0.024793388429752067
text,0,0,0.0,0.0
Text,556,62,0.0006923974510807502,0.512396694214876
topLeftPosition,8288,100,0.01032120517006701,0.8264462809917356
triggers,16,10,1.992510650592087e-05,0.08264462809917356
type,428,26,0.0005329965990333832,0.21487603305785125
typeNature,0,0,0.0,0.0
upperBound,12934,112,0.016106957971723783,0.9256198347107438
width,8288,100,0.01032120517006701,0.8264462809917356
xCoordinate,36291,100,0.04519387751289839,0.8264462809917356
yCoordinate,36291,100,0.04519387751289839,0.8264462809917356
