Element,Total Frequency
abstract,151
abstractNature,0
aggregationKind,19346
AggregationKind,0
attribute,1762
begin,0
bringsAbout,30
cardinality,16983
Cardinality,16983
cardinalityValue,16983
categorizer,3
category,588
characterization,561
Class,12181
Classifier,0
ClassStereotype,0
ClassView,7715
collective,503
collectiveNature,0
comparative,37
componentOf,573
composite,947
ConnectorView,0
containsModelElement,30777
containsView,39250
creation,61
datatype,88
DecoratableElement,0
derivation,228
description,1953
diagram,1242
Diagram,1242
DiagramElement,0
ElementView,0
end,0
enumeration,65
event,951
eventNature,0
externalDependence,77
extrinsicModeNature,0
functionalComplexNature,0
general,8582
generalization,1476
Generalization,8582
GeneralizationSet,557
GeneralizationSetView,0
GeneralizationView,4505
height,8288
historicalDependence,44
historicalRole,23
historicalRoleMixin,9
instantiation,69
intrinsicModeNature,0
isAbstract,12181
isComplete,557
isDerived,40319
isDisjoint,557
isExtensional,12181
isOrdered,19346
isPowertype,12181
isReadOnly,19346
isViewOf,12237
kind,1598
literal,215
Literal,215
lowerBound,12934
manifestation,34
material,636
mediation,2021
memberOf,203
mixin,84
mode,545
model.1,121
ModelElement,0
name,23937
NodeView,0
none,18050
Note,0
NoteView,0
OntologicalNature,0
OntoumlElement,0
order,12181
owner,0
Package,786
PackageView,17
participation,229
participational,17
Path,9878
phase,332
phaseMixin,20
point,28003
Point,36291
project,63938
Project,121
property,0
Property,19346
PropertyStereotype,0
propertyType,18022
quality,554
qualityNature,0
quantity,193
quantityNature,0
Rectangle,7732
RectangularShape,0
redefinesProperty,2
Relation,8792
relationEnd,17584
RelationStereotype,0
RelationView,0
relator,2686
relatorNature,0
restrictedTo,9464
role,1859
roleMixin,577
shape,12237
Shape,0
shared,349
situation,169
situationNature,0
sourceEnd,8792
sourceView,4505
specific,8582
stereotype,18362
Stereotype,0
subCollectionOf,28
subkind,2032
subQuantityOf,14
subsetsProperty,6
targetEnd,8792
targetView,4505
termination,5
text,0
Text,556
topLeftPosition,8288
triggers,16
type,428
typeNature,0
upperBound,12934
width,8288
xCoordinate,36291
yCoordinate,36291
