Element,Global Relative Frequency (Occurrence-wise)
abstract,0.0001880431926496282
abstractNature,0.0
aggregationKind,0.024091944403971572
AggregationKind,0.0
attribute,0.002194252353964536
begin,0.0
bringsAbout,3.7359574698601634e-05
cardinality,0.021149255236878384
Cardinality,0.021149255236878384
cardinalityValue,0.021149255236878384
categorizer,3.7359574698601633e-06
category,0.000732247664092592
characterization,0.0006986240468638505
Class,0.015169232646788882
Classifier,0.0
ClassStereotype,0.0
ClassView,0.00960763729332372
collective,0.0006263955357798873
collectiveNature,0.0
comparative,4.6076808794942014e-05
componentOf,0.0007135678767432912
composite,0.0011793172413191914
ConnectorView,0.0
containsModelElement,0.03832718768329541
containsView,0.048878776897337134
creation,7.596446855382331e-05
datatype,0.00010958808578256479
DecoratableElement,0.0
derivation,0.0002839327677093724
description,0.0024321083128789663
diagram,0.0015466863925221075
Diagram,0.0015466863925221075
DiagramElement,0.0
ElementView,0.0
end,0.0
enumeration,8.094574518030354e-05
event,0.0011842985179456717
eventNature,0.0
externalDependence,9.588957505974418e-05
extrinsicModeNature,0.0
functionalComplexNature,0.0
general,0.010687329002113307
generalization,0.0018380910751712002
Generalization,0.010687329002113307
GeneralizationSet,0.0006936427702373703
GeneralizationSetView,0.0
GeneralizationView,0.005610162800573345
height,0.01032120517006701
historicalDependence,5.4794042891282395e-05
historicalRole,2.864234060226125e-05
historicalRoleMixin,1.120787240958049e-05
instantiation,8.592702180678375e-05
intrinsicModeNature,0.0
isAbstract,0.015169232646788882
isComplete,0.0006936427702373703
isDerived,0.05021002307576397
isDisjoint,0.0006936427702373703
isExtensional,0.015169232646788882
isOrdered,0.024091944403971572
isPowertype,0.015169232646788882
isReadOnly,0.024091944403971572
isViewOf,0.015238970519559605
kind,0.0019900200122788467
literal,0.00026774361867331167
Literal,0.00026774361867331167
lowerBound,0.016106957971723783
manifestation,4.2340851325081846e-05
material,0.0007920229836103546
mediation,0.0025167900155291297
memberOf,0.00025279978879387104
mixin,0.00010460680915608456
mode,0.0006786989403579296
model.1,0.0001506836179510266
ModelElement,0.0
name,0.02980920465201424
NodeView,0.0
none,0.02247801077699198
Note,0.0
NoteView,0.0
OntologicalNature,0.0
OntoumlElement,0.0
order,0.015169232646788882
owner,0.0
Package,0.0009788208571033627
PackageView,2.1170425662540923e-05
participation,0.00028517808686599245
participational,2.1170425662540923e-05
Path,0.012301262629092898
phase,0.00041344595999785803
phaseMixin,2.4906383132401088e-05
point,0.03487267234283138
Point,0.04519387751289839
project,0.07962321623597303
Project,0.0001506836179510266
property,0.0
Property,0.024091944403971572
PropertyStereotype,0.0
propertyType,0.02244314184060662
quality,0.0006899068127675101
qualityNature,0.0
quantity,0.00024034659722767048
quantityNature,0.0
Rectangle,0.00962880771898626
RectangularShape,0.0
redefinesProperty,2.4906383132401087e-06
Relation,0.010948846025003518
relationEnd,0.021897692050007037
RelationStereotype,0.0
RelationView,0.0
relator,0.003344927254681466
relatorNature,0.0
restrictedTo,0.011785700498252194
role,0.0023150483121566813
roleMixin,0.0007185491533697714
shape,0.015238970519559605
Shape,0.0
shared,0.000434616385660399
situation,0.00021045893746878918
situationNature,0.0
sourceEnd,0.010948846025003518
sourceView,0.005610162800573345
specific,0.010687329002113307
stereotype,0.02286655035385744
Stereotype,0.0
subCollectionOf,3.486893638536152e-05
subkind,0.0025304885262519504
subQuantityOf,1.743446819268076e-05
subsetsProperty,7.471914939720327e-06
targetEnd,0.010948846025003518
targetView,0.005610162800573345
termination,6.226595783100272e-06
text,0.0
Text,0.0006923974510807502
topLeftPosition,0.01032120517006701
triggers,1.992510650592087e-05
type,0.0005329965990333832
typeNature,0.0
upperBound,0.016106957971723783
width,0.01032120517006701
xCoordinate,0.04519387751289839
yCoordinate,0.04519387751289839
