Element,Shannon Entropy
abstract,4.178140674292819
abstractNature,0.0
aggregationKind,5.0352428815531285
AggregationKind,0.0
attribute,3.3272228849742205
begin,0.0
bringsAbout,3.472905578007716
cardinality,4.997825535949328
Cardinality,4.997825535949328
cardinalityValue,4.997825535949328
categorizer,0.9182958311690995
category,5.313321975444724
characterization,5.226125921300989
Class,4.6003492687732725
Classifier,0.0
ClassStereotype,0.0
ClassView,5.689649855507432
collective,3.92095825826238
collectiveNature,0.0
comparative,2.0773568313167785
componentOf,3.9131877911956865
composite,4.432525169300131
ConnectorView,0.0
containsModelElement,4.75785063527771
containsView,4.696950829457421
creation,3.7753778721259796
datatype,4.271825395561975
DecoratableElement,0.0
derivation,3.7784139995382717
description,1.2263454383546588
diagram,3.957990301488263
Diagram,3.957990301488263
DiagramElement,0.0
ElementView,0.0
end,0.0
enumeration,2.5252984448060145
event,5.022360887268054
eventNature,0.0
externalDependence,4.114806141465289
extrinsicModeNature,0.0
functionalComplexNature,0.0
general,4.4034004974199075
generalization,5.214377980716347
Generalization,4.4034004974199075
GeneralizationSet,5.445233522575025
GeneralizationSetView,0.0
GeneralizationView,5.535313004316341
height,5.68986634877926
historicalDependence,3.6488066663403877
historicalRole,1.2087030023114833
historicalRoleMixin,1.3921472193364495
instantiation,3.774818007300209
intrinsicModeNature,0.0
isAbstract,4.6003492687732725
isComplete,5.445233522575025
isDerived,4.939147586965551
isDisjoint,5.445233522575025
isExtensional,4.6003492687732725
isOrdered,5.0352428815531285
isPowertype,4.6003492687732725
isReadOnly,5.0352428815531285
isViewOf,5.656314735603528
kind,5.108035209913783
literal,2.6489796074763645
Literal,2.6489796074763645
lowerBound,5.223449713406591
manifestation,3.198085442834249
material,4.269423946444757
mediation,3.4488518000514885
memberOf,2.8654206202479684
mixin,3.048799642657264
mode,4.340065057033415
model.1,6.918863062708507
ModelElement,0.0
name,5.036077123205946
NodeView,0.0
none,4.991154693925636
Note,0.0
NoteView,0.0
OntologicalNature,0.0
OntoumlElement,0.0
order,4.6003492687732725
owner,0.0
Package,4.45708513580102
PackageView,1.5739889558795266
participation,4.17754248977165
participational,1.5197284558087811
Path,5.7879007808946925
phase,4.210859664762059
phaseMixin,2.7016094855174675
point,5.817250342063964
Point,5.793443171364049
project,5.213540378559874
Project,6.918863062708507
property,0.0
Property,5.0352428815531285
PropertyStereotype,0.0
propertyType,5.1260182096337426
quality,4.8802957686454675
qualityNature,0.0
quantity,3.9135740900671
quantityNature,0.0
Rectangle,5.69152020494105
RectangularShape,0.0
redefinesProperty,0.0
Relation,5.0904247676595675
relationEnd,5.0904247676595675
RelationStereotype,0.0
RelationView,0.0
relator,3.453636624709996
relatorNature,0.0
restrictedTo,5.166210154472156
role,3.146774495972499
roleMixin,3.9377923015513043
shape,5.656314735603528
Shape,0.0
shared,5.70958389240424
situation,4.174395288874286
situationNature,0.0
sourceEnd,5.0904247676595675
sourceView,5.535313004316341
specific,4.4034004974199075
stereotype,4.439961844718404
Stereotype,0.0
subCollectionOf,2.2004363969838994
subkind,4.35355499367387
subQuantityOf,1.2916919913672793
subsetsProperty,0.0
targetEnd,5.0904247676595675
targetView,5.535313004316341
termination,1.5219280905592771
text,0.0
Text,5.161937079911793
topLeftPosition,5.68986634877926
triggers,3.202819516687833
type,3.7194369279376875
typeNature,0.0
upperBound,5.223449713406591
width,5.68986634877926
xCoordinate,5.793443171364049
yCoordinate,5.793443171364049
