Element,Frequency,Rank
project,63938,1
isDerived,40319,2
containsView,39250,3
Point,36291,4
xCoordinate,36291,5
yCoordinate,36291,6
containsModelElement,30777,7
point,28003,8
name,23937,9
isReadOnly,19346,10
Property,19346,11
isOrdered,19346,12
aggregationKind,19346,13
stereotype,18362,14
none,18050,15
propertyType,18022,16
relationEnd,17584,17
cardinalityValue,16983,18
Cardinality,16983,19
cardinality,16983,20
upperBound,12934,21
lowerBound,12934,22
isViewOf,12237,23
shape,12237,24
isExtensional,12181,25
order,12181,26
isAbstract,12181,27
Class,12181,28
isPowertype,12181,29
Path,9878,30
restrictedTo,9464,31
targetEnd,8792,32
Relation,8792,33
sourceEnd,8792,34
specific,8582,35
Generalization,8582,36
general,8582,37
width,8288,38
topLeftPosition,8288,39
height,8288,40
Rectangle,7732,41
ClassView,7715,42
sourceView,4505,43
targetView,4505,44
GeneralizationView,4505,45
relator,2686,46
subkind,2032,47
mediation,2021,48
description,1953,49
role,1859,50
attribute,1762,51
kind,1598,52
generalization,1476,53
diagram,1242,54
Diagram,1242,55
event,951,56
composite,947,57
Package,786,58
material,636,59
category,588,60
roleMixin,577,61
componentOf,573,62
characterization,561,63
isDisjoint,557,64
GeneralizationSet,557,65
isComplete,557,66
Text,556,67
quality,554,68
mode,545,69
collective,503,70
type,428,71
shared,349,72
phase,332,73
participation,229,74
derivation,228,75
Literal,215,76
literal,215,77
memberOf,203,78
quantity,193,79
situation,169,80
abstract,151,81
model.1,121,82
Project,121,83
datatype,88,84
mixin,84,85
externalDependence,77,86
instantiation,69,87
enumeration,65,88
creation,61,89
historicalDependence,44,90
comparative,37,91
manifestation,34,92
bringsAbout,30,93
subCollectionOf,28,94
historicalRole,23,95
phaseMixin,20,96
PackageView,17,97
participational,17,98
triggers,16,99
subQuantityOf,14,100
historicalRoleMixin,9,101
subsetsProperty,6,102
termination,5,103
categorizer,3,104
redefinesProperty,2,105
begin,0,106
AggregationKind,0,107
abstractNature,0,108
extrinsicModeNature,0,109
NodeView,0,110
ModelElement,0,111
intrinsicModeNature,0,112
GeneralizationSetView,0,113
ElementView,0,114
Classifier,0,115
ClassStereotype,0,116
collectiveNature,0,117
DecoratableElement,0,118
ConnectorView,0,119
DiagramElement,0,120
end,0,121
eventNature,0,122
functionalComplexNature,0,123
OntologicalNature,0,124
owner,0,125
RelationView,0,126
RelationStereotype,0,127
quantityNature,0,128
RectangularShape,0,129
PropertyStereotype,0,130
property,0,131
qualityNature,0,132
OntoumlElement,0,133
Note,0,134
NoteView,0,135
relatorNature,0,136
Shape,0,137
Stereotype,0,138
situationNature,0,139
text,0,140
typeNature,0,141
