Element,Gini Coefficient
abstract,0.881725138197143
abstractNature,0.0
aggregationKind,0.6395248596032409
AggregationKind,0.0
attribute,0.91854673033086
begin,0.0
bringsAbout,0.9217630853994491
cardinality,0.6467225611610639
Cardinality,0.6467225611610639
cardinalityValue,0.6467225611610639
categorizer,0.9862258953168044
category,0.7209759937032665
characterization,0.7403249804805468
Class,0.6830513039885311
Classifier,0.0
ClassStereotype,0.0
ClassView,0.6286433533472949
collective,0.8692637563051443
collectiveNature,0.0
comparative,0.9725262452535179
componentOf,0.8817734700647599
composite,0.8171433059596639
ConnectorView,0.0
containsModelElement,0.673536667528639
containsView,0.7116538400800126
creation,0.9109876710472836
datatype,0.8749060856498873
DecoratableElement,0.0
derivation,0.8966942148760331
description,0.982425850461041
diagram,0.7894757855232164
Diagram,0.7894757855232164
DiagramElement,0.0
ElementView,0.0
end,0.0
enumeration,0.9630006357279085
event,0.7842114868211799
eventNature,0.0
externalDependence,0.8876247719222926
extrinsicModeNature,0.0
functionalComplexNature,0.0
general,0.7518677377790532
generalization,0.7394566507648548
Generalization,0.7518677377790532
GeneralizationSet,0.7104173776280843
GeneralizationSetView,0.0
GeneralizationView,0.678280331312316
height,0.6297145728963911
historicalDependence,0.9184823441021788
historicalRole,0.9845490477901545
historicalRoleMixin,0.9807162534435262
instantiation,0.9110073062642232
intrinsicModeNature,0.0
isAbstract,0.6830513039885311
isComplete,0.7104173776280843
isDerived,0.6433027186698477
isDisjoint,0.7104173776280843
isExtensional,0.6830513039885311
isOrdered,0.6395248596032409
isPowertype,0.6830513039885311
isReadOnly,0.6395248596032409
isViewOf,0.6413809358827077
kind,0.6918565562324807
literal,0.9587545646742264
Literal,0.9587545646742264
lowerBound,0.6558254430950777
manifestation,0.9382596013612057
material,0.8606736316856386
mediation,0.8597658470358753
memberOf,0.9294467288197695
mixin,0.935064935064935
mode,0.8413981348093108
model.1,0.0
ModelElement,0.0
name,0.6573978456533801
NodeView,0.0
none,0.6463881321398319
Note,0.0
NoteView,0.0
OntologicalNature,0.0
OntoumlElement,0.0
order,0.6830513039885311
owner,0.0
Package,0.7292494690135217
PackageView,0.980068060281964
participation,0.8799307084340828
participational,0.980068060281964
Path,0.6121960647168179
phase,0.8573633376481131
phaseMixin,0.9553719008264463
point,0.6093674142941592
Point,0.6122019643328458
project,0.6276064441559993
Project,0.0
property,0.0
Property,0.6395248596032409
PropertyStereotype,0.0
propertyType,0.629159402053138
quality,0.8112599576334397
qualityNature,0.0
quantity,0.901211835738449
quantityNature,0.0
Rectangle,0.6284668630527634
RectangularShape,0.0
redefinesProperty,0.9917355371900827
Relation,0.6306672482121237
relationEnd,0.6306672482121237
RelationStereotype,0.0
RelationView,0.0
relator,0.8320215626788429
relatorNature,0.0
restrictedTo,0.6353925794485235
role,0.8619047830745225
roleMixin,0.8755460704412965
shape,0.6413809358827077
Shape,0.0
shared,0.6612043856117834
situation,0.8794562081275368
situationNature,0.0
sourceEnd,0.6306672482121237
sourceView,0.678280331312316
specific,0.7518677377790532
stereotype,0.7066273232268222
Stereotype,0.0
subCollectionOf,0.9698937426210154
subkind,0.8099336239994794
subQuantityOf,0.9834710743801653
subsetsProperty,0.9917355371900827
targetEnd,0.6306672482121237
targetView,0.678280331312316
termination,0.9785123966942149
text,0.0
Text,0.7602116653784411
topLeftPosition,0.6297145728963911
triggers,0.9349173553719008
type,0.9146906619294045
typeNature,0.0
upperBound,0.6558254430950777
width,0.6297145728963911
xCoordinate,0.6122019643328458
yCoordinate,0.6122019643328458
