Element,Simpson Index
abstract,0.08284724354194992
abstractNature,0.0
aggregationKind,0.1345751766631135
AggregationKind,0.0
attribute,0.23141976986733423
begin,0.0
bringsAbout,0.09555555555555556
cardinality,0.1368717623623048
Cardinality,0.1368717623623048
cardinalityValue,0.1368717623623048
categorizer,0.5555555555555556
category,0.05185917904576797
characterization,0.05227804944697049
Class,0.19048494393269577
Classifier,0.0
ClassStereotype,0.0
ClassView,0.040672634005768545
collective,0.17797390606658264
collectiveNature,0.0
comparative,0.2783053323593865
componentOf,0.1513756019114973
composite,0.13219202751087467
ConnectorView,0.0
containsModelElement,0.16494926617278613
containsView,0.15408288336240825
creation,0.0916420317119054
datatype,0.06611570247933884
DecoratableElement,0.0
derivation,0.14654509079716835
description,0.6545459359987877
diagram,0.24189984986036242
Diagram,0.24189984986036242
DiagramElement,0.0
ElementView,0.0
end,0.0
enumeration,0.2108875739644971
event,0.05118194252328337
eventNature,0.0
externalDependence,0.06965761511216056
extrinsicModeNature,0.0
functionalComplexNature,0.0
general,0.18722553222966284
generalization,0.05501575340956662
Generalization,0.18722553222966284
GeneralizationSet,0.038572243584991416
GeneralizationSetView,0.0
GeneralizationView,0.04234845731897349
height,0.040495643792579125
historicalDependence,0.09607438016528924
historicalRole,0.5727788279773156
historicalRoleMixin,0.4074074074074074
instantiation,0.08506616257088848
intrinsicModeNature,0.0
isAbstract,0.19048494393269577
isComplete,0.038572243584991416
isDerived,0.1486092624962099
isDisjoint,0.038572243584991416
isExtensional,0.19048494393269577
isOrdered,0.1345751766631135
isPowertype,0.19048494393269577
isReadOnly,0.1345751766631135
isViewOf,0.040828895314114044
kind,0.09182943009174482
literal,0.1841211465657112
Literal,0.1841211465657112
lowerBound,0.09592703511295193
manifestation,0.14186851211072665
material,0.10735334836438432
mediation,0.3062845074760536
memberOf,0.33465990438981774
mixin,0.23356009070294784
mode,0.1225654406194765
model.1,0.008264462809917356
ModelElement,0.0
name,0.12541405788655066
NodeView,0.0
none,0.13966034023679988
Note,0.0
NoteView,0.0
OntologicalNature,0.0
OntoumlElement,0.0
order,0.19048494393269577
owner,0.0
Package,0.17829186333352756
PackageView,0.4117647058823529
participation,0.08849945653210273
participational,0.39792387543252594
Path,0.03543104391494844
phase,0.1261794164610248
phaseMixin,0.19
point,0.0334113260159788
Point,0.03487220338094745
project,0.10625455216882644
Project,0.008264462809917356
property,0.0
Property,0.1345751766631135
PropertyStereotype,0.0
propertyType,0.12350106599141623
quality,0.04636447757692658
qualityNature,0.0
quantity,0.09662004349110044
quantityNature,0.0
Rectangle,0.040549831673530955
RectangularShape,0.0
redefinesProperty,1.0
Relation,0.12811035303001075
relationEnd,0.12811035303001075
RelationStereotype,0.0
RelationView,0.0
relator,0.3382659264635193
relatorNature,0.0
restrictedTo,0.11356080237143697
role,0.34661060377947034
roleMixin,0.1661044847399896
shape,0.040828895314114044
Shape,0.0
shared,0.02275022372558518
situation,0.0669794474983369
situationNature,0.0
sourceEnd,0.12811035303001075
sourceView,0.04234845731897349
specific,0.18722553222966284
stereotype,0.20932137509115617
Stereotype,0.0
subCollectionOf,0.26530612244897955
subkind,0.1619888864777729
subQuantityOf,0.5408163265306122
subsetsProperty,1.0
targetEnd,0.12811035303001075
targetView,0.04234845731897349
termination,0.3600000000000001
text,0.0
Text,0.04715076859375809
topLeftPosition,0.040495643792579125
triggers,0.1171875
type,0.12242335575159399
typeNature,0.0
upperBound,0.09592703511295193
width,0.040495643792579125
xCoordinate,0.03487220338094745
yCoordinate,0.03487220338094745
