year,num_models,ratio
2005,1,0.030303030303030304
2007,1,0.030303030303030304
2011,1,0.030303030303030304
2012,2,0.06060606060606061
2013,2,0.06060606060606061
2014,2,0.06060606060606061
2015,3,0.09090909090909091
2016,3,0.09090909090909091
2017,8,0.24242424242424243
2018,10,0.30303030303030304
