Stereotype,category,event,kind,mode,phase,quality,relator,role,subkind,none_c,other_c,characterization,derivation,material,mediation,participation,none_r,other_r
category,1.0,0.14642488683463598,0.1516308712328833,0.3255094632718181,-0.12308839724497152,0.32680483367547497,-0.12687575272941992,-0.08587776737984547,0.22056736510060732,0.24056116962625038,0.20598469511685472,0.40372712763862995,-0.12790113256245153,0.081606499133175,-0.08525156434947925,0.1793127575894875,0.17451635484885786,0.2483249310843001
event,0.14642488683463598,1.0,-0.14984656394747475,0.2090933854003827,0.1767033194490027,0.15253175748886852,0.13969232814195148,-0.0185798088015629,0.06255308272105578,0.03236336507311181,0.379368325486059,0.31542702543833595,0.04122925564982027,0.03662755242905264,0.1094380058891652,0.7934434883390632,0.14465957998051343,0.43371685088752904
kind,0.1516308712328833,-0.14984656394747475,1.0,0.15428810321779116,0.2599793711658092,0.28479455232676965,0.3752898885099588,0.3254386740110481,0.6083017526887028,0.06105951997770338,-0.209650514099224,0.06520117030283598,0.1526004007088888,0.29490516538971623,0.2725383937235426,-0.17101657248149651,0.1341605051456072,0.18208089005967898
mode,0.3255094632718181,0.2090933854003827,0.15428810321779116,1.0,0.08465314368555993,0.3455411657346629,0.09226663492780544,0.24762606467248136,0.2939892363514385,0.20927457643875033,0.06483421785003406,0.6074733873184136,0.028946202685917553,0.18043642888990585,0.17781104181568058,0.12308015793053188,0.16637902514748745,0.31442345934051874
phase,-0.12308839724497152,0.1767033194490027,0.2599793711658092,0.08465314368555993,1.0,0.10553956073259137,0.34634545750140383,0.42293758172865936,0.32022319334981597,-0.06074242813162669,0.03831212756661148,0.11708171813050533,0.1245906292373891,0.19586299515991185,0.4254805920767234,0.04057234841025281,-0.05957652833293054,0.16772994391029783
quality,0.32680483367547497,0.15253175748886852,0.28479455232676965,0.3455411657346629,0.10553956073259137,1.0,0.20303462658168153,0.11676796028723757,0.4067049968261119,0.28935943298057715,-0.022953240100383087,0.6115240244620304,-0.10969238803483466,0.14614176599586198,0.148609097899799,0.17422533410274998,-0.023947071418320785,0.10245813094259222
relator,-0.12687575272941992,0.13969232814195148,0.3752898885099588,0.09226663492780544,0.34634545750140383,0.20303462658168153,1.0,0.370710951006236,0.29161639118735116,-0.14094647509905456,0.021526809690788594,0.2557678790160075,0.2929502188452899,0.35644108906128136,0.8151416640197705,0.07068547540779936,-0.11547765779642989,0.38086218367823965
role,-0.08587776737984547,-0.0185798088015629,0.3254386740110481,0.24762606467248136,0.42293758172865936,0.11676796028723757,0.370710951006236,1.0,0.2263508484068464,0.11155549881113933,0.0497696500134936,0.1409300631127778,0.24976487302393563,0.0815928488743041,0.47052168826999674,-0.1411310172801108,0.1081811856750283,0.09323227512455108
subkind,0.22056736510060732,0.06255308272105578,0.6083017526887028,0.2939892363514385,0.32022319334981597,0.4067049968261119,0.29161639118735116,0.2263508484068464,1.0,0.036268195525950224,-0.05396623783702629,0.2515596922555301,-0.07107321275228137,0.18978071475486732,0.2507405897110706,0.020850312027951644,0.012519284933209468,0.27200505763749944
none_c,0.24056116962625038,0.03236336507311181,0.06105951997770338,0.20927457643875033,-0.06074242813162669,0.28935943298057715,-0.14094647509905456,0.11155549881113933,0.036268195525950224,1.0,0.16497825482869974,0.10410298133451011,-0.025667665018084027,0.06790102025461883,-0.00959609056326563,0.08209675650055188,0.18661214901608814,-0.040600728053893365
