Stereotype,category,collective,datatype,event,kind,mixin,mode,phase,quality,relator,role,roleMixin,situation,subkind,type,none_c,other_c,bringsAbout,characterization,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,triggers,none_r,other_r
category,1.0,0.03862981158903793,0.17293985107659682,0.09082548133377133,-0.07278445978966995,0.12861763895738262,0.3112347414931206,0.013814258892670963,0.24285293686163303,-0.04866272865791685,-0.013259830519145194,0.22173785320687622,0.23048786045327593,0.17896543270491386,0.2066603112208727,0.09236156140907446,0.05148743575656637,0.24929278500463511,0.29457241857000777,0.3559166983691022,0.01320761387501818,-0.08998648600275415,0.09449814230868167,0.1614247109311752,0.17694059129444062,0.09254050352444788,0.006483562959265387,-0.1025141315219006,0.031245353505289907,0.1025141315219006,0.05148743575656637,0.09048878784661668,-0.15851301290488537
collective,0.03862981158903793,1.0,0.09176151063064683,0.09461253549153403,0.14645910014975716,0.029447857340711744,0.08822319701592099,0.3944773629544408,-0.004543539137445073,0.28590156617978396,0.11310881132078437,-0.038092002968223196,-0.2907899990188998,0.236490787196021,0.06610690305098399,-0.08091547798786777,-0.042766843652056415,-0.2420016834958278,0.1856498439320667,0.3367206699850819,0.06610690305098399,0.11087973577286533,-0.016983075884954155,0.19891721672017496,0.10688245396714732,-0.003826113573056566,0.17995187609126131,0.3149894135514558,0.6878145733406433,0.0872278375988647,-0.21592040575550434,0.06376450618764937,0.11116195124697266
datatype,0.17293985107659682,0.09176151063064683,1.0,0.11813567108254702,0.03545130400175842,-0.010272749935809641,0.006788880339430965,0.016736548175114458,0.13313939383673967,-0.07777777777777778,0.0014796558720615843,-0.024743582965269677,0.17465452092823786,0.06870556374879508,0.04529856935151174,0.1014407571047846,0.07532284297296986,0.11211666202433622,0.013423623607644417,0.11888726048261829,-0.023061089851678703,0.0007118997633689718,-0.03877833671647407,0.2478682847516911,0.010325202569555013,-0.1371427026547684,0.032304122204657636,-0.02970453023506853,0.09533007776133208,0.14997165265022405,0.07532284297296986,0.20853708236328483,-0.03877833671647407
event,0.09082548133377133,0.09461253549153403,0.11813567108254702,1.0,-0.18929591733616202,-0.11972526152479987,0.18049373333767066,0.13620278946169254,0.10520309188377937,0.05189775145822875,-0.04519543489093957,0.2158531772917461,0.5236839056800987,-0.03560332835420208,0.2926694173112402,-0.04326084438226902,0.07701883762468527,0.43582099529501783,0.22066237337457922,0.0036751544366797413,0.5867561199363363,0.10535442718481926,0.3190554152492578,0.39769618344401697,0.29909158521664425,0.3643325711655979,0.06859991387902069,0.0018701032340439816,0.20366718228329525,0.7224832160856581,0.3888512045929232,0.2574783330591398,0.20366718228329525
kind,-0.07278445978966995,0.14645910014975716,0.03545130400175842,-0.18929591733616202,1.0,0.057665456142773616,0.06956913428821138,0.29317603772275797,0.1347569875121088,0.2241773635405312,0.48307099010728327,-0.1336428241086924,-0.21091616786862433,0.46568144156334845,-0.3440905607754336,0.07764496289669137,0.12907554420784328,-0.2919637637660338,-0.04733803036286265,0.11597499867820672,-0.07466115941353749,0.27123185174741893,-0.32690570441922745,-0.4032902550455015,-0.2882579924487626,-0.2919637637660338,0.24109887862851945,0.29602136942465557,0.20166260986900394,-0.29602136942465557,-0.2280334614338565,-0.023287671232876714,0.11356789082096538
mixin,0.12861763895738262,0.029447857340711744,-0.010272749935809641,-0.11972526152479987,0.057665456142773616,1.0,0.10464874536306558,0.13539516967587084,0.11510059600903713,0.010272749935809641,0.2106738678393102,0.10190493307301361,-0.1162511454070301,-0.054203311900181246,0.014537095115739508,0.1422000617925279,-0.15028929631504895,-0.07067534927402196,0.11721949723857104,0.031832226885077995,-0.1463400908317777,-0.03769605815338183,-0.07700120742971056,0.05604965939267523,0.04151124586042951,0.22262735021316915,0.10190493307301361,0.1577157758301132,0.0019012643809805077,-0.01619783643660622,-0.0436738126043732,-0.14600402725510767,0.08080373619167158
mode,0.3112347414931206,0.08822319701592099,0.006788880339430965,0.18049373333767066,0.06956913428821138,0.10464874536306558,1.0,0.10856622503888293,0.3009878486029254,0.16225424011240006,0.17593174942506867,0.22988230493451758,-0.02565442337370387,0.1315661482741467,0.24023975404261572,0.16222650074548037,-0.1895581012174151,0.11131769062142272,0.5427017236798055,0.23627581679347298,0.12329019635618108,0.08464520240797099,0.3220346148660952,0.09959952603908562,0.18915557991066642,0.18238975463356183,0.1810837593857581,0.22310537412658007,0.26467651822685506,0.08552372674852236,0.042954052492616225,-0.004459559890269959,-0.07947206160858573
phase,0.013814258892670963,0.3944773629544408,0.016736548175114458,0.13620278946169254,0.29317603772275797,0.13539516967587084,0.10856622503888293,1.0,0.07818924057401548,0.15690513914169807,0.25027452810569045,-0.02476105464765665,-0.050379423507584474,0.34712424448199464,-0.05644709478621483,-0.050379423507584474,0.12181661552197628,-0.017591680455031213,0.029176904814792532,0.25020963839502497,0.0036184035119368485,0.09445413849412193,-0.1370031158310643,0.013951224971331085,-0.010584505326169351,-0.09059715434341074,0.17574309518214845,0.23299420132800372,0.33434439148409995,0.031193212746098858,-0.19663311954334756,-0.010994101414603424,-0.019166239002273246
quality,0.24285293686163303,-0.004543539137445073,0.13313939383673967,0.10520309188377937,0.1347569875121088,0.11510059600903713,0.3009878486029254,0.07818924057401548,1.0,0.20514335172803763,0.21276052476471188,0.055297944626863875,0.17364549743062668,0.17307328965180538,0.19455926984139424,0.29897224775012243,-0.103710240350162,0.19192042826895517,0.5248762713155757,0.10236445520486037,-0.0394757938808626,-0.04935429090234339,0.10579384947288434,0.0483187471111309,0.20104858966024478,0.12080705529429767,0.10412485318037133,0.10355625878052789,-0.06638045457122155,0.15378414477587377,0.1289370555704717,-0.08745817732573948,-0.12377188925259018
relator,-0.04866272865791685,0.28590156617978396,-0.07777777777777778,0.05189775145822875,0.2241773635405312,0.010272749935809641,0.16225424011240006,0.15690513914169807,0.20514335172803763,1.0,0.18273750019960563,0.08179128813519698,-0.1014407571047846,0.19050179039438633,-0.11365822855470217,-0.17465452092823786,-0.07532284297296986,-0.11211666202433622,0.27977657624353625,0.176551141315505,0.023061089851678703,0.35381418239437895,0.03877833671647407,0.04498677054212187,-0.08174118700897719,-0.11211666202433622,0.36702981398483353,0.7513072647260016,0.30699516567208635,0.030429030972509225,0.015282895675675043,-0.12199419318252162,0.03877833671647407
