Stereotype,Total Frequency,Total Frequency per Group,Group Frequency,Ubiquity Index (Group Frequency per Group),Global Relative Frequency (Occurrence-wise),Global Relative Frequency (Group-wise)
bringsAbout,27,0.32926829268292684,11,0.13414634146341464,0.006875477463712758,0.024229074889867842
characterization,382,4.658536585365853,53,0.6463414634146342,0.09727527374586198,0.11674008810572688
comparative,22,0.2682926829268293,5,0.06097560975609756,0.0056022408963585435,0.011013215859030838
componentOf,223,2.7195121951219514,29,0.35365853658536583,0.056786350903997966,0.06387665198237885
creation,60,0.7317073170731707,18,0.21951219512195122,0.015278838808250574,0.039647577092511016
derivation,100,1.2195121951219512,29,0.35365853658536583,0.02546473134708429,0.06387665198237885
externalDependence,67,0.8170731707317073,19,0.23170731707317074,0.017061370002546473,0.04185022026431718
historicalDependence,39,0.47560975609756095,15,0.18292682926829268,0.009931245225362872,0.03303964757709251
instantiation,67,0.8170731707317073,16,0.1951219512195122,0.017061370002546473,0.03524229074889868
manifestation,31,0.3780487804878049,11,0.13414634146341464,0.00789406671759613,0.024229074889867842
material,311,3.792682926829268,35,0.4268292682926829,0.07919531448943214,0.07709251101321586
mediation,625,7.621951219512195,56,0.6829268292682927,0.1591545709192768,0.12334801762114538
memberOf,69,0.8414634146341463,19,0.23170731707317074,0.01757066462948816,0.04185022026431718
participation,196,2.3902439024390243,27,0.32926829268292684,0.049910873440285206,0.05947136563876652
participational,17,0.2073170731707317,4,0.04878048780487805,0.004329004329004329,0.00881057268722467
subCollectionOf,8,0.0975609756097561,2,0.024390243902439025,0.002037178507766743,0.004405286343612335
subQuantityOf,11,0.13414634146341464,2,0.024390243902439025,0.0028011204481792717,0.004405286343612335
termination,5,0.06097560975609756,3,0.036585365853658534,0.0012732365673542145,0.006607929515418502
triggers,14,0.17073170731707318,9,0.10975609756097561,0.0035650623885918,0.019823788546255508
other,161,1.9634146341463414,19,0.23170731707317074,0.040998217468805706,0.04185022026431718
none,1492,18.195121951219512,72,0.8780487804878049,0.37993379169849756,0.15859030837004406
