stereotype,total_correlation,rank
category,2.7119827174199527,4
collective,1.893439351616954,12
datatype,1.812321158927694,14
enumeration,1.7173537879562497,15
event,2.4347448498333963,9
kind,3.332612018858881,1
mode,1.8212198967324258,13
phase,2.4809248611505623,8
quality,2.372043092465109,10
relator,2.7025817059745854,5
role,2.5132260685263765,7
roleMixin,2.242514603424547,11
situation,3.05487104491014,2
subkind,2.6104479117658332,6
type,2.9343227477189915,3
none,1.551647104429176,16
other,1.4887474885620868,17
