Stereotype,category,collective,datatype,event,kind,mixin,mode,phase,phaseMixin,quality,relator,role,roleMixin,situation,subkind,type,none,other
category,1.0,0.034815531191139566,0.1557955106152167,0.04719399037242694,-0.09202830114233172,0.11406922030385278,0.26506933174788,-0.06626003483608482,0.23452078799117146,0.2292279532375023,-0.06446583712203043,-0.06646200199454705,0.19366593274629773,0.24971098385738608,0.12715279064115018,0.20951397064659888,0.030263262529593594,0.06837634587578277
collective,0.034815531191139566,1.0,0.05664411840370207,0.06454972243679027,0.13912166872805048,0.02228835993459966,0.032124628310161774,0.3672793098117978,0.10206207261596575,-0.06454972243679027,0.23145502494313788,0.05159393703675823,-0.03253000243161777,-0.2836543144655877,0.28644594961577313,0.0,-0.06686507980379898,-0.024246432248443597
datatype,0.1557955106152167,0.05664411840370207,1.0,0.095065415136527,0.034148505195793336,-0.14518801740337614,-0.06732783623800176,-0.00945646032373157,0.11562432251572007,0.16087993330796876,-0.09614414947874673,-0.03994073873845154,-0.07186269906696167,0.22264754452972005,0.05273280443046439,0.09614414947874673,0.12751295441513905,0.08652532008633532
event,0.04719399037242694,0.06454972243679027,0.095065415136527,1.0,-0.20654609733079113,-0.14674815962966786,0.16174359558286783,0.025863030005593587,-0.04941058844013092,0.1,-0.05976143046671969,-0.10657197808460729,0.207880460155075,0.5492942180025514,-0.06933752452815364,0.3286878675669583,-0.06905795747278488,0.08451542547285165
kind,-0.09202830114233172,0.13912166872805048,0.034148505195793336,-0.20654609733079113,1.0,0.0589150827189456,0.05810001467111502,0.3019339255063415,-0.11359236684941296,0.11674344631740369,0.2683367442131824,0.5000558116373295,-0.14934573132646875,-0.2085872968719227,0.46824735250351485,-0.36493797212992807,0.0589150827189456,0.15179418517972906
mixin,0.11406922030385278,0.02228835993459966,-0.14518801740337614,-0.14674815962966786,0.0589150827189456,1.0,0.06229245923316406,0.16297688239473226,-0.027297554521630702,0.0863224468409811,0.041270023236835186,0.20813990728041945,0.11093118163900274,-0.11108990047296713,-0.08140123294226802,0.05158752904604398,0.14157973174366617,-0.16050272309770905
mode,0.26506933174788,0.032124628310161774,-0.06732783623800176,0.16174359558286783,0.05810001467111502,0.06229245923316406,1.0,0.04183179465772305,0.19672236884115843,0.2737199309863917,0.1710143528768031,0.11104821537437108,0.15988717826779011,-0.04295793584082354,0.0897192042079909,0.23049760605134334,0.06229245923316406,-0.18927455259039128
phase,-0.06626003483608482,0.3672793098117978,-0.00945646032373157,0.025863030005593587,0.3019339255063415,0.16297688239473226,0.04183179465772305,1.0,0.19424194477601353,0.025863030005593587,0.05409640842682881,0.204997898604976,-0.04887653253243005,-0.07712052685710914,0.3371363537484211,-0.12364893354703727,-0.07813960114815931,0.15300774894579094
phaseMixin,0.23452078799117146,0.10206207261596575,0.11562432251572007,-0.04941058844013092,-0.11359236684941296,-0.027297554521630702,0.19672236884115843,0.19424194477601353,1.0,0.1284675299443404,-0.0236227795630767,-0.13691038785811876,0.3286878675669583,-0.06203645837318314,0.02192645048267573,0.3425303036646122,-0.027297554521630702,0.0
quality,0.2292279532375023,-0.06454972243679027,0.16087993330796876,0.1,0.11674344631740369,0.0863224468409811,0.2737199309863917,0.025863030005593587,0.1284675299443404,1.0,0.2091650066335189,0.1332149726057591,0.03779644730092273,0.19617650642948264,0.18027756377319948,0.19422464901683897,0.24170285115474707,-0.08451542547285165
