year,category,period,predicted,slope,intercept
2019,none (occurrence),2019-2024,48.67360198294409,-4.330331306261357,8791.612509324623
2020,none (occurrence),2019-2024,44.34327067668164,-4.330331306261357,8791.612509324623
2021,none (occurrence),2019-2024,40.01293937042101,-4.330331306261357,8791.612509324623
2022,none (occurrence),2019-2024,35.68260806415856,-4.330331306261357,8791.612509324623
2023,none (occurrence),2019-2024,31.352276757897926,-4.330331306261357,8791.612509324623
2024,none (occurrence),2019-2024,27.021945451637293,-4.330331306261357,8791.612509324623
2019,none (model-wise),2019-2024,21.922786898539925,-2.180176488692615,4423.69911756893
2020,none (model-wise),2019-2024,19.742610409847657,-2.180176488692615,4423.69911756893
2021,none (model-wise),2019-2024,17.56243392115448,-2.180176488692615,4423.69911756893
2022,none (model-wise),2019-2024,15.382257432462211,-2.180176488692615,4423.69911756893
2023,none (model-wise),2019-2024,13.202080943769943,-2.180176488692615,4423.69911756893
2024,none (model-wise),2019-2024,11.021904455076765,-2.180176488692615,4423.69911756893
2019,other (occurrence),2019-2024,14.6097339386788,-3.4100564257808474,6899.51365759021
2020,other (occurrence),2019-2024,11.199677512898234,-3.4100564257808474,6899.51365759021
2021,other (occurrence),2019-2024,7.789621087116757,-3.4100564257808474,6899.51365759021
2022,other (occurrence),2019-2024,4.37956466133619,-3.4100564257808474,6899.51365759021
2023,other (occurrence),2019-2024,0.9695082355556224,-3.4100564257808474,6899.51365759021
2024,other (occurrence),2019-2024,-2.4405481902258543,-3.4100564257808474,6899.51365759021
2019,other (model-wise),2019-2024,10.885010950217293,-2.23545996745064,4524.27868523306
2020,other (model-wise),2019-2024,8.649550982767323,-2.23545996745064,4524.27868523306
2021,other (model-wise),2019-2024,6.414091015316444,-2.23545996745064,4524.27868523306
2022,other (model-wise),2019-2024,4.178631047865565,-2.23545996745064,4524.27868523306
2023,other (model-wise),2019-2024,1.943171080414686,-2.23545996745064,4524.27868523306
2024,other (model-wise),2019-2024,-0.29228888703528355,-2.23545996745064,4524.27868523306
