Stereotype,x_value,y_value,distance_from_origin,rank,quadrant
bringsAbout,0.015055008685581933,0.10679611650485436,0.10785204581759854,13,Q3
characterization,0.17718587145338738,0.5339805825242718,0.5626100741682973,2,Q1
comparative,0.007527504342790967,0.038834951456310676,0.03955776505624077,15,Q3
componentOf,0.09148812970469021,0.3106796116504854,0.32387018845852217,4,Q1
creation,0.019687319050376375,0.13592233009708737,0.13734070900651743,11,Q2
derivation,0.04226983207874928,0.2815533980582524,0.28470871897803623,5,Q1
externalDependence,0.04111175448755067,0.1941747572815534,0.1984792501053821,7,Q1
historicalDependence,0.02026635784597568,0.13592233009708737,0.13742490705604543,10,Q1
instantiation,0.03647944412275622,0.14563106796116504,0.15013046925596005,9,Q1
manifestation,0.019687319050376375,0.11650485436893204,0.11815655556471412,12,Q3
material,0.15865662999420962,0.39805825242718446,0.4285117251213829,3,Q1
mediation,0.2611464968152866,0.6116504854368932,0.665066770432927,1,Q1
memberOf,0.026635784597568036,0.1941747572815534,0.1959931156609288,8,Q1
participation,0.0671685002895194,0.23300970873786409,0.24249769441635405,6,Q1
participational,0.0011580775911986102,0.019417475728155338,0.019451979522936425,18,Q3
subCollectionOf,0.004053271569195136,0.019417475728155338,0.01983601205048906,16,Q3
subQuantityOf,0.0,0.0,0.0,19,Q3
termination,0.0017371163867979154,0.019417475728155338,0.019495023390465157,17,Q3
triggers,0.008685581933989578,0.08737864077669903,0.08780926031755111,14,Q3
