Stereotype,bringsAbout,characterization,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation
bringsAbout,1.0,0.28348877195084576,0.04001634230434167,0.13783930787650997,0.013933836537435613,0.23040289838928346,0.42754462475732063,0.3121692048722586,0.37624740453733624,0.11686844726939932,0.11586352095376543,0.09235246149699855,0.5529993756431848
characterization,0.28348877195084576,1.0,0.21988761119280684,0.09727794703232633,0.039978798399024386,0.39408989839290987,0.2326962284915529,0.30306437313298346,0.3279351825773916,0.10568497536840596,0.33419056488053844,0.07897649996446582,0.3008383497611826
componentOf,0.04001634230434167,0.21988761119280684,1.0,0.03908271311722141,0.035202573941303925,0.011523902080893256,0.08280900226208526,0.18913122262303922,0.18966948973107442,0.2033493684374423,0.14270078004068829,0.2587343464582182,0.02688048453969497
creation,0.13783930787650997,0.09727794703232633,0.03908271311722141,1.0,0.06377601774030688,0.22649096676451289,0.335718158062669,0.3918986076560911,0.3916771513397739,0.024557333805221897,0.10721988157945234,0.16090247227750168,0.6411937061201336
derivation,0.013933836537435613,0.039978798399024386,0.035202573941303925,0.06377601774030688,1.0,0.09017514595382967,0.12083414148072211,0.14343201412335002,0.16500835980319703,0.46730239343688124,0.3583869353826979,0.16643283796723696,0.051687896241518635
externalDependence,0.23040289838928346,0.39408989839290987,0.011523902080893256,0.22649096676451289,0.09017514595382967,1.0,0.37348223820193227,0.5454684846983339,0.4387080393269569,0.2516712615848538,0.1083961031379845,0.13488173542127216,0.367984341349749
historicalDependence,0.42754462475732063,0.2326962284915529,0.08280900226208526,0.335718158062669,0.12083414148072211,0.37348223820193227,1.0,0.5696071120898948,0.5668134113463178,0.019240782386253298,0.09250149663234083,0.08662480270138942,0.5477408710695085
instantiation,0.3121692048722586,0.30306437313298346,0.18913122262303922,0.3918986076560911,0.14343201412335002,0.5454684846983339,0.5696071120898948,1.0,0.7938442363185434,0.15362909409111417,0.030303973485456943,0.008623119428013155,0.506940311023073
manifestation,0.37624740453733624,0.3279351825773916,0.18966948973107442,0.3916771513397739,0.16500835980319703,0.4387080393269569,0.5668134113463178,0.7938442363185434,1.0,0.1059014398080787,0.03659563724732043,0.04275509224617421,0.549180988507518
material,0.11686844726939932,0.10568497536840596,0.2033493684374423,0.024557333805221897,0.46730239343688124,0.2516712615848538,0.019240782386253298,0.15362909409111417,0.1059014398080787,1.0,0.30421828893027647,0.13829084862265958,0.06932503477359732
mediation,0.11586352095376543,0.33419056488053844,0.14270078004068829,0.10721988157945234,0.3583869353826979,0.1083961031379845,0.09250149663234083,0.030303973485456943,0.03659563724732043,0.30421828893027647,1.0,0.2926480212245535,0.04136913173123656
memberOf,0.09235246149699855,0.07897649996446582,0.2587343464582182,0.16090247227750168,0.16643283796723696,0.13488173542127216,0.08662480270138942,0.008623119428013155,0.04275509224617421,0.13829084862265958,0.2926480212245535,1.0,0.13556185681955804
participation,0.5529993756431848,0.3008383497611826,0.02688048453969497,0.6411937061201336,0.051687896241518635,0.367984341349749,0.5477408710695085,0.506940311023073,0.549180988507518,0.06932503477359732,0.04136913173123656,0.13556185681955804,1.0
