Stereotype,DistanceFromOrigin,Rank
subkind,1009.3611841159734,1
kind,915.244776002573,2
role,413.67257583746107,3
relator,349.2921413373052,4
event,348.4207226902556,5
category,304.2449670906653,6
mode,268.96282270975667,7
roleMixin,268.00186566514793,8
quality,245.6175889467202,9
phase,199.7448372299019,10
datatype,80.52328855678958,11
type,79.55501241279521,12
collective,71.8679344353238,13
situation,70.09279563550022,14
enumeration,40.311288741492746,15
historicalRole,23.345235059857504,16
mixin,22.02271554554524,17
phaseMixin,21.540659228538015,18
quantity,13.038404810405298,19
historicalRoleMixin,9.486832980505138,20
abstract,1.4142135623730951,21
