Stereotype,DistanceFromOrigin,Rank
kind,0.8447636116449627,1
relator,0.778937875672628,2
subkind,0.7569959636818497,3
category,0.7240830956956823,4
role,0.6801992717141258,5
mode,0.5046639757878998,6
quality,0.4607801518063432,7
event,0.4498091958109541,8
roleMixin,0.43883823981556497,9
phase,0.36204154784784115,10
collective,0.2852448558801172,11
datatype,0.2194191199077824,12
type,0.2194191199077824,12
situation,0.18650625192161505,13
mixin,0.1535933839354477,14
phaseMixin,0.08776764796311297,15
quantity,0.07679669196772383,16
enumeration,0.05485477997694559,17
historicalRole,0.04388382398155648,18
historicalRoleMixin,0.03291286798616736,19
abstract,0.010970955995389118,20
