model,total_classes,stereotyped_classes,non_stereotyped_classes,ontouml_classes,non_ontouml_classes,total_relations,stereotyped_relations,non_stereotyped_relations,ontouml_relations,non_ontouml_relations,ratio_classes_relations,ratio_stereotyped_classes_relations,ratio_stereotyped_classes_total,ratio_non_stereotyped_classes_total,ratio_stereotyped_relations_total,ratio_non_stereotyped_relations_total,ratio_ontouml_classes_total,ratio_non_ontouml_classes_total,ratio_ontouml_relations_total,ratio_non_ontouml_relations_total,unique_class_stereotypes,unique_relation_stereotypes
abel2015petroleum-system,29,29,0,29,0,21,12,9,3,18,1.380952380952381,2.4166666666666665,1.0,0.0,0.5714285714285714,0.4285714285714285,1.0,0.0,0.1428571428571428,0.8571428571428571,9,1
abrahao2018agriculture-operations,22,22,0,20,2,53,24,29,23,30,0.4150943396226415,0.9166666666666666,1.0,0.0,0.4528301886792453,0.5471698113207547,0.9090909090909092,0.0909090909090909,0.4339622641509434,0.5660377358490566,4,5
aguiar2018rdbs-o,43,43,0,43,0,31,2,29,2,29,1.3870967741935485,21.5,1.0,0.0,0.064516129032258,0.935483870967742,1.0,0.0,0.064516129032258,0.935483870967742,6,1
aguiar2019ooco,56,56,0,56,0,31,17,14,17,14,1.806451612903225,3.294117647058824,1.0,0.0,0.5483870967741935,0.4516129032258064,1.0,0.0,0.5483870967741935,0.4516129032258064,6,2
aires2022valuenetworks-geo,22,22,0,20,2,53,24,29,23,30,0.4150943396226415,0.9166666666666666,1.0,0.0,0.4528301886792453,0.5471698113207547,0.9090909090909092,0.0909090909090909,0.4339622641509434,0.5660377358490566,4,5
alpinebits2022,78,78,0,78,0,37,34,3,34,3,2.108108108108108,2.294117647058824,1.0,0.0,0.918918918918919,0.081081081081081,1.0,0.0,0.918918918918919,0.081081081081081,12,6
amaral2019rot,48,48,0,48,0,45,30,15,30,15,1.0666666666666669,1.6,1.0,0.0,0.6666666666666666,0.3333333333333333,1.0,0.0,0.6666666666666666,0.3333333333333333,11,8
amaral2020game-theory,22,22,0,22,0,20,12,8,12,8,1.1,1.8333333333333333,1.0,0.0,0.6,0.4,1.0,0.0,0.6,0.4,8,8
amaral2020rome,48,48,0,48,0,58,38,20,38,20,0.8275862068965517,1.263157894736842,1.0,0.0,0.6551724137931034,0.3448275862068966,1.0,0.0,0.6551724137931034,0.3448275862068966,10,5
amaral2022ethical-requirements,24,24,0,24,0,17,3,14,3,14,1.411764705882353,8.0,1.0,0.0,0.1764705882352941,0.8235294117647058,1.0,0.0,0.1764705882352941,0.8235294117647058,5,2
andersson2018value-ascription,13,13,0,6,7,17,3,14,3,14,0.7647058823529411,4.333333333333333,1.0,0.0,0.1764705882352941,0.8235294117647058,0.4615384615384615,0.5384615384615384,0.1764705882352941,0.8235294117647058,3,1
andrade2023integracao,44,43,1,43,1,28,28,0,28,0,1.5714285714285714,1.5357142857142858,0.9772727272727272,0.0227272727272727,1.0,0.0,0.9772727272727272,0.0227272727272727,1.0,0.0,9,4
barcelos2013normative-acts,45,45,0,45,0,18,18,0,18,0,2.5,2.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4,3
barcelos2024resiliont,56,56,0,56,0,80,67,13,57,23,0.7,0.835820895522388,1.0,0.0,0.8375,0.1625,1.0,0.0,0.7125,0.2875,6,8
barros2020programming,12,12,0,12,0,0,0,0,0,0,,,1.0,0.0,,,1.0,0.0,,,2,0
bernasconi2021ontovcm,76,76,0,76,0,67,62,5,61,6,1.1343283582089552,1.2258064516129032,1.0,0.0,0.9253731343283582,0.0746268656716417,1.0,0.0,0.9104477611940298,0.0895522388059701,12,9
bernasconi2023fair-principles,46,46,0,46,0,29,29,0,29,0,1.5862068965517242,1.5862068965517242,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,8,5
brazilian-governmental-organizational-structures,15,15,0,15,0,7,7,0,2,5,2.142857142857143,2.142857142857143,1.0,0.0,1.0,0.0,1.0,0.0,0.2857142857142857,0.7142857142857143,4,1
buchtela2020connection,19,19,0,19,0,13,0,13,0,13,1.4615384615384617,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3,0
buridan-ontology2021,54,54,0,54,0,53,35,18,35,18,1.018867924528302,1.542857142857143,1.0,0.0,0.660377358490566,0.3396226415094339,1.0,0.0,0.660377358490566,0.3396226415094339,7,4
carolla2014campus-management,17,17,0,17,0,23,13,10,13,10,0.7391304347826086,1.3076923076923077,1.0,0.0,0.5652173913043478,0.4347826086956521,1.0,0.0,0.5652173913043478,0.4347826086956521,3,3
castro2012cloudvulnerability,32,32,0,32,0,27,26,1,21,6,1.1851851851851851,1.2307692307692308,1.0,0.0,0.9629629629629628,0.037037037037037,1.0,0.0,0.7777777777777778,0.2222222222222222,5,3
cgts2021sebim,29,29,0,29,0,11,3,8,3,8,2.636363636363636,9.666666666666666,1.0,0.0,0.2727272727272727,0.7272727272727273,1.0,0.0,0.2727272727272727,0.7272727272727273,7,2
cmpo2017,55,53,2,53,2,66,6,60,6,60,0.8333333333333334,8.833333333333334,0.9636363636363636,0.0363636363636363,0.0909090909090909,0.9090909090909092,0.9636363636363636,0.0363636363636363,0.0909090909090909,0.9090909090909092,9,1
core-o2023,30,30,0,30,0,47,19,28,19,28,0.6382978723404256,1.5789473684210529,1.0,0.0,0.4042553191489361,0.5957446808510638,1.0,0.0,0.4042553191489361,0.5957446808510638,7,8
dcat-mlt-ufo2023,30,24,6,24,6,31,9,22,9,22,0.967741935483871,2.6666666666666665,0.8,0.2,0.2903225806451613,0.7096774193548387,0.8,0.2,0.2903225806451613,0.7096774193548387,10,2
demori2023miscon,31,31,0,31,0,27,13,14,13,14,1.148148148148148,2.3846153846153846,1.0,0.0,0.4814814814814814,0.5185185185185185,1.0,0.0,0.4814814814814814,0.5185185185185185,7,4
dpo2017,40,40,0,40,0,51,7,44,7,44,0.7843137254901961,5.714285714285714,1.0,0.0,0.1372549019607843,0.8627450980392157,1.0,0.0,0.1372549019607843,0.8627450980392157,6,2
duarte2020jogabilidade,19,19,0,19,0,21,15,6,11,10,0.9047619047619048,1.2666666666666666,1.0,0.0,0.7142857142857143,0.2857142857142857,1.0,0.0,0.5238095238095238,0.4761904761904761,7,6
elghosh2020cargos,10,10,0,10,0,15,10,5,9,6,0.6666666666666666,1.0,1.0,0.0,0.6666666666666666,0.3333333333333333,1.0,0.0,0.6,0.4,7,5
elghosh2024eucaim,38,38,0,38,0,30,30,0,30,0,1.2666666666666666,1.2666666666666666,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,9,4
elikan2018brand-identity,30,30,0,30,0,31,24,7,19,12,0.967741935483871,1.25,1.0,0.0,0.7741935483870968,0.2258064516129032,1.0,0.0,0.6129032258064516,0.3870967741935484,6,5
eu-rent-refactored2022,66,66,0,66,0,50,48,2,48,2,1.32,1.375,1.0,0.0,0.96,0.04,1.0,0.0,0.96,0.04,7,3
falduci2022non-consensual-pornography,27,27,0,27,0,38,31,7,31,7,0.7105263157894737,0.8709677419354839,1.0,0.0,0.8157894736842105,0.1842105263157894,1.0,0.0,0.8157894736842105,0.1842105263157894,7,5
fernandez-cejas2022curie-o,29,29,0,29,0,21,18,3,18,3,1.380952380952381,1.6111111111111112,1.0,0.0,0.8571428571428571,0.1428571428571428,1.0,0.0,0.8571428571428571,0.1428571428571428,7,6
fischer2018ontorea,18,18,0,18,0,23,19,4,9,14,0.782608695652174,0.9473684210526316,1.0,0.0,0.8260869565217391,0.1739130434782608,1.0,0.0,0.391304347826087,0.6086956521739131,6,4
fonseca2022incorporating,51,51,0,51,0,21,21,0,21,0,2.4285714285714284,2.4285714285714284,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,11,5
formula-one2023,26,26,0,26,0,13,10,3,10,3,2.0,2.6,1.0,0.0,0.7692307692307693,0.2307692307692307,1.0,0.0,0.7692307692307693,0.2307692307692307,10,6
fraller2019abc,39,39,0,39,0,46,34,12,18,28,0.8478260869565217,1.1470588235294117,1.0,0.0,0.7391304347826086,0.2608695652173913,1.0,0.0,0.391304347826087,0.6086956521739131,4,2
franco2018rpg,23,23,0,20,3,24,12,12,12,12,0.9583333333333334,1.9166666666666667,1.0,0.0,0.5,0.5,0.8695652173913043,0.1304347826086956,0.5,0.5,7,4
fumagalli2022criminal-investigation,10,10,0,10,0,9,9,0,9,0,1.1111111111111112,1.1111111111111112,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3,2
gailly2016value,12,12,0,4,8,15,0,15,0,15,0.8,,1.0,0.0,0.0,1.0,0.3333333333333333,0.6666666666666666,0.0,1.0,3,0
garcia2022human-genome-events,15,15,0,15,0,8,7,1,7,1,1.875,2.142857142857143,1.0,0.0,0.875,0.125,1.0,0.0,0.875,0.125,6,7
gomes2022digital-technology,19,19,0,19,0,18,6,12,6,12,1.0555555555555556,3.1666666666666665,1.0,0.0,0.3333333333333333,0.6666666666666666,1.0,0.0,0.3333333333333333,0.6666666666666666,3,3
grueau2013towards,13,6,7,0,13,3,0,3,0,3,4.333333333333333,,0.4615384615384615,0.5384615384615384,0.0,1.0,0.0,1.0,0.0,1.0,0,0
guarino2016value,18,18,0,18,0,37,25,12,16,21,0.4864864864864865,0.72,1.0,0.0,0.6756756756756757,0.3243243243243243,1.0,0.0,0.4324324324324324,0.5675675675675675,6,2
guarino2018rea,11,11,0,11,0,12,4,8,4,8,0.9166666666666666,2.75,1.0,0.0,0.3333333333333333,0.6666666666666666,1.0,0.0,0.3333333333333333,0.6666666666666666,6,2
guizzardi2005ontological,43,43,0,43,0,25,21,4,16,9,1.72,2.0476190476190474,1.0,0.0,0.84,0.16,1.0,0.0,0.64,0.36,11,6
guizzardi2020decision-making,54,30,24,30,24,61,28,33,27,34,0.8852459016393442,1.0714285714285714,0.5555555555555556,0.4444444444444444,0.4590163934426229,0.5409836065573771,0.5555555555555556,0.4444444444444444,0.4426229508196721,0.5573770491803278,9,7
guizzardi2022ufo,62,62,0,62,0,40,37,3,32,8,1.55,1.6756756756756757,1.0,0.0,0.925,0.075,1.0,0.0,0.8,0.2,12,9
haridy2021egyptian-e-government,32,32,0,32,0,16,16,0,16,0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,5,2
heirbrant2023boekbazaar,42,42,0,42,0,59,19,40,6,53,0.711864406779661,2.210526315789474,1.0,0.0,0.3220338983050847,0.6779661016949152,1.0,0.0,0.1016949152542373,0.8983050847457628,5,4
jacobs2022sdpontology,34,34,0,34,0,22,0,22,0,22,1.5454545454545454,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,8,0
junior2018o4c,11,11,0,11,0,5,5,0,5,0,2.2,2.2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4,3
khantong2020ontology,30,30,0,30,0,22,0,22,0,22,1.3636363636363635,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,4,0
kostov2017towards,58,52,6,42,16,35,3,32,2,33,1.6571428571428573,17.333333333333332,0.896551724137931,0.1034482758620689,0.0857142857142857,0.9142857142857144,0.7241379310344828,0.2758620689655172,0.0571428571428571,0.9428571428571428,6,1
laurier2018rea,23,23,0,23,0,18,1,17,0,18,1.2777777777777777,23.0,1.0,0.0,0.0555555555555555,0.9444444444444444,1.0,0.0,0.0,1.0,4,0
lindeberg2022simple-ontorights,61,61,0,61,0,68,61,7,61,7,0.8970588235294118,1.0,1.0,0.0,0.8970588235294118,0.1029411764705882,1.0,0.0,0.8970588235294118,0.1029411764705882,11,10
machacova2023gym,41,41,0,41,0,21,21,0,21,0,1.9523809523809523,1.9523809523809523,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,11,4
maddalena2021ontocovid,74,74,0,68,6,72,14,58,14,58,1.0277777777777777,5.285714285714286,1.0,0.0,0.1944444444444444,0.8055555555555556,0.918918918918919,0.081081081081081,0.1944444444444444,0.8055555555555556,9,2
martinez2013human-genome,10,10,0,10,0,15,15,0,12,3,0.6666666666666666,0.6666666666666666,1.0,0.0,1.0,0.0,1.0,0.0,0.8,0.2,4,5
moreira2018saref4health,19,18,1,16,3,10,8,2,3,7,1.9,2.25,0.9473684210526316,0.0526315789473684,0.8,0.2,0.8421052631578947,0.1578947368421052,0.3,0.7,9,2
nardi2015ufo-s,27,27,0,27,0,48,48,0,23,25,0.5625,0.5625,1.0,0.0,1.0,0.0,1.0,0.0,0.4791666666666667,0.5208333333333334,6,5
nascimento2023spacecon,18,16,2,9,9,15,0,15,0,15,1.2,,0.8888888888888888,0.1111111111111111,0.0,1.0,0.5,0.5,0.0,1.0,3,0
neves2020nwpontology,35,35,0,33,2,22,0,22,0,22,1.5909090909090908,,1.0,0.0,0.0,1.0,0.9428571428571428,0.0571428571428571,0.0,1.0,7,0
neves2021grain-production,18,18,0,18,0,16,0,16,0,16,1.125,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,4,0
