Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,4,0.4374475230898405,4,0.3346613545816733
20.0,8,0.6876574307304786,8,0.5776892430278885
30.0,12,0.8471872376154492,12,0.749003984063745
40.0,16,0.9109991603694374,16,0.848605577689243
50.0,20,0.9513014273719563,20,0.9203187250996016
60.0,24,0.9781696053736356,24,0.9641434262948207
70.0,28,0.9941225860621327,28,0.9880478087649402
80.0,32,1.0,32,1.0
90.0,36,1.0,36,1.0
100.0,40,1.0,40,1.0
