Stereotype,category,collective,event,kind,mode,phase,quality,relator,role,roleMixin,situation,subkind,characterization,componentOf,derivation,material,mediation,participation
category,1.0,0.13792621754620035,0.07688905660876631,0.2723563872636615,0.3041150358351907,0.4107981475226449,0.14992741837125875,-0.014543917754698401,-0.0011699395401689719,0.2647186950258505,-0.03058565502148561,0.5716697747086742,0.3520687019053423,0.045066302673059215,0.018504019774061665,0.2616411501364417,0.3584001135156788,0.3147237937104992
collective,0.13792621754620035,1.0,-0.29144899230578075,0.1353136397957936,0.3670509295360217,0.09995386886508824,0.013456243499616728,-0.09905331639419108,-0.10717158701431787,-0.05869201093291453,-0.22483295725209348,0.09756111643298218,0.07730512061704706,0.2344160142773788,0.09537591900994895,-0.02982659897631923,0.05103519349387431,0.1268700153012355
event,0.07688905660876631,-0.29144899230578075,1.0,-0.3928644582117605,0.1351496344457591,-0.008171992558862995,0.07658271467078105,-0.4473158784668012,-0.016450423484138974,0.3565544523474991,0.44458820129491755,0.07023722575263718,0.12469981243217727,-0.2991194366732607,-0.19810042090684757,0.06918396239828496,-0.12616225522121322,0.33965715026498217
kind,0.2723563872636615,0.1353136397957936,-0.3928644582117605,1.0,-0.019055590930184253,0.02477976589073647,-0.3462435712118665,0.1569782911135296,0.4181363897286609,-0.44324405556508784,-0.34904604660395355,0.46609229270702757,-0.14912800311820187,0.4123710822212352,0.2516930549463375,0.4933899261045578,0.01846429502098608,-0.3128280285160948
mode,0.3041150358351907,0.3670509295360217,0.1351496344457591,-0.019055590930184253,1.0,0.24286163099512437,-0.11772921539039854,-0.005210178118524003,0.03031905345570988,0.4377658168096019,-0.11519177042968581,0.1517515556397332,0.3917199364847449,0.0740586939963128,-0.0019087992282052686,-0.05430915611921601,0.31565528537102333,0.12226390804734412
phase,0.4107981475226449,0.09995386886508824,-0.008171992558862995,0.02477976589073647,0.24286163099512437,1.0,0.017091075731200795,-0.010195974450841975,0.3007799371681503,0.28069242096290903,-0.008948366775453085,0.2025401635560019,-0.05207750776118024,0.016870162440744737,0.13760383899595394,0.13081383516148337,0.10306073534060219,-0.12311003712908127
quality,0.14992741837125875,0.013456243499616728,0.07658271467078105,-0.3462435712118665,-0.11772921539039854,0.017091075731200795,1.0,0.04000661275149336,-0.10393490659510501,0.32008556047133585,0.3878415923257102,-0.07745266783249591,0.459593046830753,-0.24846240723368163,-0.17994973444196802,-0.282478890451635,0.11016990685334407,0.31650160637941727
relator,-0.014543917754698401,-0.09905331639419108,-0.4473158784668012,0.1569782911135296,-0.005210178118524003,-0.010195974450841975,0.04000661275149336,1.0,0.3250604914176292,0.17758985200845667,-0.07340752721510656,-0.17318976901956046,0.2029689755804436,-0.010623904249503565,0.4658006772739009,0.2239266350716472,0.5210330901397486,0.048522272378556025
role,-0.0011699395401689719,-0.10717158701431787,-0.016450423484138974,0.4181363897286609,0.03031905345570988,0.3007799371681503,-0.10393490659510501,0.3250604914176292,1.0,-0.03582042930098548,-0.097122314746032,-0.034616532972262276,-0.0597224475359995,-0.06455494818636022,0.24416974430442995,0.35466770594411556,0.08757512996570702,-0.28779509592304725
roleMixin,0.2647186950258505,-0.05869201093291453,0.3565544523474991,-0.44324405556508784,0.4377658168096019,0.28069242096290903,0.32008556047133585,0.17758985200845667,-0.03582042930098548,1.0,0.11017073011595141,0.08293106985145417,0.3912492565859603,-0.3063568431862222,-0.19339415330865778,-0.2028651932229558,0.3181844834024101,0.4651206395144442
situation,-0.03058565502148561,-0.22483295725209348,0.44458820129491755,-0.34904604660395355,-0.11519177042968581,-0.008948366775453085,0.3878415923257102,-0.07340752721510656,-0.097122314746032,0.11017073011595141,1.0,-0.1912260068268795,0.3239209449745701,-0.2826302543775577,0.03454243526824034,-0.13355053193230543,0.034418639407036086,0.27730214775058887
