model,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,formal,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers,none,other
aguiar2019ooco,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11
aires2022valuenetworks-geo,0,1,0,0,0,6,0,0,0,0,0,11,2,0,0,0,0,0,0,0,29,4
alkhalaf2024,0,28,0,0,0,1,0,0,0,2,0,16,50,0,0,0,0,0,0,0,4,25
alpinebits2022,0,2,0,0,0,0,0,0,0,10,0,12,6,0,0,0,0,0,0,0,3,4
amaral2019rot,0,10,0,0,0,1,0,0,0,0,0,1,5,0,0,0,0,0,0,1,15,12
amaral2020game-theory,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,8,4
amaral2020rome,0,12,0,0,0,0,0,0,0,3,0,0,12,0,0,0,0,0,0,0,20,11
amaral2022ethical-requirements,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2
andrade2023integracao,0,4,0,0,0,0,0,0,0,0,0,8,9,0,0,0,0,0,0,0,0,7
aristotle-ontology2019,0,23,0,0,0,2,0,0,0,0,0,7,32,0,2,0,0,0,0,0,44,37
barcelos2024resiliont,0,21,0,0,0,0,0,10,0,4,10,0,0,0,10,0,0,0,0,2,13,10
barros2020programming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bernasconi2021ontovcm,0,0,0,0,6,0,0,1,0,9,2,0,19,0,14,0,0,0,0,0,5,11
bernasconi2023fair-principles,0,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,19
blums2024ccf,0,4,0,0,15,0,0,0,0,3,6,0,5,0,3,0,0,0,15,0,43,15
buchtela2020connection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
buridan-ontology2021,0,6,0,0,0,0,0,0,0,0,0,5,17,0,0,0,0,0,0,0,18,7
cgts2021sebim,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,0
core-o2023,0,4,0,0,1,0,0,0,0,5,2,0,0,0,1,0,0,0,0,2,28,4
dcat-mlt-ufo2023,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,22,0
demori2023miscon,0,9,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,14,0
derave2019dpo,0,4,0,0,11,0,0,0,0,4,0,1,38,0,51,8,0,0,0,0,153,29
duarte2020jogabilidade,0,4,0,0,0,1,0,0,0,0,0,1,2,0,2,0,0,0,0,1,6,4
elghosh2020cargos,0,4,0,0,0,1,0,1,0,0,0,1,2,0,0,0,0,0,0,1,5,0
elghosh2024eucaim,0,9,0,0,0,0,0,0,0,0,0,14,0,0,4,0,0,0,0,0,0,3
elikan2018brand-identity,0,8,0,0,0,1,0,5,0,0,0,3,2,0,0,0,0,0,0,0,7,5
eu-rent-refactored2022,0,0,0,0,0,11,0,0,0,0,0,11,26,0,0,0,0,0,0,0,2,0
