Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,22,1,22,12.154696132596685
relator,21,2,43,23.756906077348066
subkind,21,3,64,35.35911602209944
role,20,4,84,46.408839779005525
category,20,5,104,57.4585635359116
roleMixin,13,6,117,64.64088397790056
event,13,7,130,71.8232044198895
mode,11,8,141,77.90055248618785
collective,7,9,148,81.76795580110497
phase,6,10,154,85.0828729281768
situation,5,11,159,87.84530386740332
mixin,5,12,164,90.60773480662984
datatype,4,13,168,92.81767955801105
quality,4,14,172,95.02762430939227
enumeration,3,15,175,96.68508287292818
type,3,16,178,98.34254143646409
quantity,3,17,181,100.0
abstract,0,18,181,100.0
phaseMixin,0,19,181,100.0
historicalRole,0,20,181,100.0
historicalRoleMixin,0,21,181,100.0
