Stereotype,category,collective,enumeration,event,kind,mode,phase,quality,quantity,relator,role,roleMixin,situation,subkind
category,1.0,0.13792621754620035,-0.263558489291393,0.07688905660876631,0.2723563872636615,0.3041150358351907,0.4107981475226449,0.14992741837125875,0.04230413251410144,-0.014543917754698401,-0.0011699395401689719,0.2647186950258505,-0.03058565502148561,0.5716697747086742
collective,0.13792621754620035,1.0,-0.1684216662253651,-0.29144899230578075,0.1353136397957936,0.3670509295360217,0.09995386886508824,0.013456243499616728,0.04210541655634128,-0.09905331639419108,-0.10717158701431787,-0.05869201093291453,-0.22483295725209348,0.09756111643298218
enumeration,-0.263558489291393,-0.1684216662253651,1.0,-0.06724368514595974,0.0844281874277628,0.061635568240572036,-0.15321585393755746,0.21121497423695024,0.3108882521489971,0.02857071460997167,0.03320568215855978,-0.05877404148337029,0.19392979823687098,-0.04455577126010093
event,0.07688905660876631,-0.29144899230578075,-0.06724368514595974,1.0,-0.3928644582117605,0.1351496344457591,-0.008171992558862995,0.07658271467078105,0.1674979066362997,-0.4473158784668012,-0.016450423484138974,0.3565544523474991,0.44458820129491755,0.07023722575263718
kind,0.2723563872636615,0.1353136397957936,0.0844281874277628,-0.3928644582117605,1.0,-0.019055590930184253,0.02477976589073647,-0.3462435712118665,0.046085255146158736,0.1569782911135296,0.4181363897286609,-0.44324405556508784,-0.34904604660395355,0.46609229270702757
mode,0.3041150358351907,0.3670509295360217,0.061635568240572036,0.1351496344457591,-0.019055590930184253,1.0,0.24286163099512437,-0.11772921539039854,0.22428498443097047,-0.005210178118524003,0.03031905345570988,0.4377658168096019,-0.11519177042968581,0.1517515556397332
phase,0.4107981475226449,0.09995386886508824,-0.15321585393755746,-0.008171992558862995,0.02477976589073647,0.24286163099512437,1.0,0.017091075731200795,0.33994767592395564,-0.010195974450841975,0.3007799371681503,0.28069242096290903,-0.008948366775453085,0.2025401635560019
quality,0.14992741837125875,0.013456243499616728,0.21121497423695024,0.07658271467078105,-0.3462435712118665,-0.11772921539039854,0.017091075731200795,1.0,0.21121497423695024,0.04000661275149336,-0.10393490659510501,0.32008556047133585,0.3878415923257102,-0.07745266783249591
quantity,0.04230413251410144,0.04210541655634128,0.3108882521489971,0.1674979066362997,0.046085255146158736,0.22428498443097047,0.33994767592395564,0.21121497423695024,1.0,0.05491513976981568,0.34511523591761567,-0.01306089810741562,0.5060534971743201,-0.10136437961672962
relator,-0.014543917754698401,-0.09905331639419108,0.02857071460997167,-0.4473158784668012,0.1569782911135296,-0.005210178118524003,-0.010195974450841975,0.04000661275149336,0.05491513976981568,1.0,0.3250604914176292,0.17758985200845667,-0.07340752721510656,-0.17318976901956046
role,-0.0011699395401689719,-0.10717158701431787,0.03320568215855978,-0.016450423484138974,0.4181363897286609,0.03031905345570988,0.3007799371681503,-0.10393490659510501,0.34511523591761567,0.3250604914176292,1.0,-0.03582042930098548,-0.097122314746032,-0.034616532972262276
roleMixin,0.2647186950258505,-0.05869201093291453,-0.05877404148337029,0.3565544523474991,-0.44324405556508784,0.4377658168096019,0.28069242096290903,0.32008556047133585,-0.01306089810741562,0.17758985200845667,-0.03582042930098548,1.0,0.11017073011595141,0.08293106985145417
situation,-0.03058565502148561,-0.22483295725209348,0.19392979823687098,0.44458820129491755,-0.34904604660395355,-0.11519177042968581,-0.008948366775453085,0.3878415923257102,0.5060534971743201,-0.07340752721510656,-0.097122314746032,0.11017073011595141,1.0,-0.1912260068268795
subkind,0.5716697747086742,0.09756111643298218,-0.04455577126010093,0.07023722575263718,0.46609229270702757,0.1517515556397332,0.2025401635560019,-0.07745266783249591,-0.10136437961672962,-0.17318976901956046,-0.034616532972262276,0.08293106985145417,-0.1912260068268795,1.0
