Stereotype,category,collective,event,kind,mode,phase,quality,relator,role,roleMixin,situation,subkind
category,1.0,0.11601819071372048,0.09403385334378886,0.0973767543918162,0.359387643415108,0.39097278369872407,0.12096039786868125,0.015718637383884834,0.008831532672452621,0.3162708542006183,0.02607069662858437,0.5486907674459186
collective,0.11601819071372048,1.0,0.2875898368102759,0.06432521270161276,0.38925993264469094,0.1153640470660684,0.019607756118155115,0.0800283161892456,0.10226864601884728,0.08730470043016039,0.22626691433532414,0.07942323085739872
event,0.09403385334378886,0.2875898368102759,1.0,0.3980204520594794,0.16650536992736256,0.024141964734487605,0.07433224634515036,0.38946858570415216,0.06778224499252501,0.35438398028511725,0.4809313508596863,0.06641284284924708
kind,0.0973767543918162,0.06432521270161276,0.3980204520594794,1.0,0.039006662975072486,0.06119850251452909,0.351459022554583,0.09873591408137011,0.4350279608757728,0.34335027231913157,0.3052327751196507,0.3215231867976728
mode,0.359387643415108,0.38925993264469094,0.16650536992736256,0.039006662975072486,1.0,0.2816379366039363,0.0937184823653052,0.023745991045845002,0.02269509524159334,0.45507493074433697,0.12248649505389896,0.2417996062351666
phase,0.39097278369872407,0.1153640470660684,0.024141964734487605,0.06119850251452909,0.2816379366039363,1.0,0.03216207330917941,0.010364425222735337,0.24935637040325212,0.2673898745092207,0.011105095417070764,0.26536485324971737
quality,0.12096039786868125,0.019607756118155115,0.07433224634515036,0.351459022554583,0.0937184823653052,0.03216207330917941,1.0,0.05463224075779257,0.10071250316026406,0.29099172278624186,0.37253371304596916,0.09813539795243599
relator,0.015718637383884834,0.0800283161892456,0.38946858570415216,0.09873591408137011,0.023745991045845002,0.010364425222735337,0.05463224075779257,1.0,0.1966098645785865,0.1869307585636985,0.061165300682298716,0.13690683509461252
role,0.008831532672452621,0.10226864601884728,0.06778224499252501,0.4350279608757728,0.02269509524159334,0.24935637040325212,0.10071250316026406,0.1966098645785865,1.0,0.024258745603606417,0.1393716719753566,0.024250236292059392
roleMixin,0.3162708542006183,0.08730470043016039,0.35438398028511725,0.34335027231913157,0.45507493074433697,0.2673898745092207,0.29099172278624186,0.1869307585636985,0.024258745603606417,1.0,0.024562662072454125,0.12774100531053548
situation,0.02607069662858437,0.22626691433532414,0.4809313508596863,0.3052327751196507,0.12248649505389896,0.011105095417070764,0.37253371304596916,0.061165300682298716,0.1393716719753566,0.024562662072454125,1.0,0.21070700272271725
subkind,0.5486907674459186,0.07942323085739872,0.06641284284924708,0.3215231867976728,0.2417996062351666,0.26536485324971737,0.09813539795243599,0.13690683509461252,0.024250236292059392,0.12774100531053548,0.21070700272271725,1.0
