year,num_class,ontouml_class,none_class,other_class,num_relation,ontouml_relation,none_relation,other_relation,ratio_class,cumulative_class,cumulative_ratio_class,ratio_ontouml_class,cumulative_ontouml_class,cumulative_ratio_ontouml_class,ratio_none_class,cumulative_none_class,cumulative_ratio_none_class,ratio_other_class,cumulative_other_class,cumulative_ratio_other_class,ratio_relation,cumulative_relation,cumulative_ratio_relation,ratio_ontouml_relation,cumulative_ontouml_relation,cumulative_ratio_ontouml_relation,ratio_none_relation,cumulative_none_relation,cumulative_ratio_none_relation,ratio_other_relation,cumulative_other_relation,cumulative_ratio_other_relation,ratio_ontouml_to_total_class,ratio_none_to_total_class,ratio_other_to_total_class,ratio_ontouml_to_total_relation,ratio_none_to_total_relation,ratio_other_to_total_relation,cumulative_ratio_ontouml_to_total_class,cumulative_ratio_none_to_total_class,cumulative_ratio_other_to_total_class,cumulative_ratio_ontouml_to_total_relation,cumulative_ratio_none_to_total_relation,cumulative_ratio_other_to_total_relation
2005,43,43,0,0,25,16,4,5,0.0035266136307717543,43,0.0035266136307717543,0.0036742715543023156,43,0.0036742715543023156,0.0,0,0.0,0.0,0,0.0,0.002918855808523059,25,0.002918855808523059,0.0028268551236749115,16,0.0028268551236749115,0.0017429193899782135,4,0.0017429193899782135,0.00819672131147541,5,0.00819672131147541,0.0035266136307717543,0.0,0.0,0.0018680677174547577,0.0004670169293636894,0.0005837711617046118,0.0035266136307717543,0.0,0.0,0.0018680677174547577,0.0004670169293636894,0.0005837711617046118
2007,20,16,0,4,20,0,20,0,0.001640285409661281,63,0.005166899040433035,0.0013671708109031873,59,0.005041442365205503,0.0,0,0.0,0.03636363636363636,4,0.03636363636363636,0.002335084646818447,45,0.005253940455341506,0.0,16,0.0028268551236749115,0.008714596949891068,24,0.01045751633986928,0.0,5,0.00819672131147541,0.0013122283277290248,0.0,0.0003280570819322562,0.0,0.002335084646818447,0.0,0.004838841958500779,0.0,0.0003280570819322562,0.0018680677174547577,0.0028021015761821367,0.0005837711617046118
2011,15,15,0,0,7,2,0,5,0.0012302140572459609,78,0.006397113097678996,0.001281722635221738,74,0.006323165000427241,0.0,0,0.0,0.0,4,0.03636363636363636,0.0008172796263864566,52,0.0060712200817279625,0.00035335689045936394,18,0.0031802120141342758,0.0,24,0.01045751633986928,0.00819672131147541,10,0.01639344262295082,0.0012302140572459609,0.0,0.0,0.0002335084646818447,0.0,0.0005837711617046118,0.00606905601574674,0.0,0.0003280570819322562,0.0021015761821366026,0.0028021015761821367,0.0011675423234092236
2012,116,116,0,0,60,27,28,5,0.00951365537603543,194,0.015910768473714428,0.009911988379048107,190,0.01623515337947535,0.0,0,0.0,0.0,4,0.03636363636363636,0.0070052539404553416,112,0.013076474022183305,0.004770318021201414,45,0.007950530035335688,0.012200435729847494,52,0.022657952069716776,0.00819672131147541,15,0.02459016393442623,0.00951365537603543,0.0,0.0,0.0031523642732049035,0.0032691185055458262,0.0005837711617046118,0.01558271139178217,0.0,0.0003280570819322562,0.005253940455341506,0.0060712200817279625,0.0017513134851138354
2013,1240,1240,0,0,875,746,48,81,0.10169769539899942,1434,0.11760846387271386,0.10595573784499701,1430,0.12219089122447235,0.0,0,0.0,0.0,4,0.03636363636363636,0.10215995329830706,987,0.11523642732049037,0.13180212014134277,791,0.13975265017667846,0.02091503267973856,100,0.04357298474945534,0.13278688524590163,96,0.15737704918032788,0.10169769539899942,0.0,0.0,0.08709865732632809,0.005604203152364273,0.009457092819614711,0.1172804067907816,0.0,0.0003280570819322562,0.09235259778166958,0.011675423234092236,0.011208406304728547
2014,30,17,7,6,26,13,13,0,0.0024604281144919218,1464,0.12006889198720577,0.0014526189865846364,1447,0.12364351021105699,0.018421052631578946,7,0.018421052631578946,0.05454545454545454,10,0.09090909090909091,0.0030356100408639813,1013,0.11827203736135435,0.0022968197879858657,804,0.1420494699646643,0.005664488017429194,113,0.04923747276688453,0.0,96,0.15737704918032788,0.001394242598212089,0.0005740998933814484,0.0004920856228983843,0.0015178050204319906,0.0015178050204319906,0.0,0.11867464938899369,0.0005740998933814484,0.0008201427048306405,0.09387040280210157,0.013193228254524226,0.011208406304728547
2015,4925,4752,158,15,2628,2187,145,296,0.4039202821290905,6389,0.5239891741162962,0.4060497308382466,6199,0.5296932410493036,0.41578947368421054,165,0.4342105263157895,0.13636363636363635,25,0.22727272727272727,0.306830122591944,3641,0.4251021599532983,0.3863957597173145,2991,0.5284452296819788,0.06318082788671024,258,0.11241830065359477,0.4852459016393443,392,0.6426229508196721,0.38973181333552037,0.01295825473632412,0.0012302140572459609,0.2553415061295972,0.016929363689433742,0.03455925277291302,0.5084064627245141,0.013532354629705569,0.002050356762076601,0.3492119089316988,0.030122591943957968,0.04576765907764156
2016,204,196,0,8,143,77,32,34,0.016730911178545065,6593,0.5407200852948413,0.016747842433564045,6395,0.5464410834828677,0.0,165,0.4342105263157895,0.07272727272727272,33,0.3,0.016695855224751897,3784,0.44179801517805023,0.013604240282685512,3068,0.5420494699646643,0.013943355119825708,290,0.12636165577342048,0.05573770491803279,426,0.6983606557377049,0.016074797014680554,0.0,0.0006561141638645124,0.008990075890251022,0.0037361354349095153,0.00396964389959136,0.5244812597391946,0.013532354629705569,0.0027064709259411136,0.3582019848219498,0.033858727378867484,0.049737302977232924
2017,400,312,63,25,375,40,315,20,0.03280570819322562,6993,0.5735257934880669,0.02665983081261215,6707,0.5731009142954798,0.16578947368421051,228,0.6,0.22727272727272727,58,0.5272727272727272,0.043782837127845885,4159,0.4855808523058961,0.007067137809187279,3108,0.5491166077738516,0.13725490196078433,605,0.2636165577342048,0.03278688524590164,446,0.7311475409836066,0.025588452390715985,0.005166899040433035,0.002050356762076601,0.004670169293636894,0.03677758318739054,0.002335084646818447,0.5500697121299106,0.018699253670138603,0.004756827688017715,0.3628721541155867,0.07063631056625802,0.05207238762405137
2018,270,241,17,12,276,96,178,2,0.022143853030427294,7263,0.5956696465184942,0.020593010339229258,6948,0.593693924634709,0.04473684210526316,245,0.6447368421052632,0.10909090909090909,70,0.6363636363636364,0.03222416812609457,4435,0.5178050204319906,0.01696113074204947,3204,0.566077738515901,0.07755991285403051,783,0.3411764705882353,0.003278688524590164,448,0.7344262295081967,0.019765439186418435,0.001394242598212089,0.0009841712457967686,0.011208406304728547,0.02078225335668418,0.0002335084646818447,0.569835151316329,0.020093496268350695,0.005740998933814484,0.37408056042031523,0.0914185639229422,0.05230589608873322
