year,num_models,ratio
2005,1,0.006097560975609756
2007,1,0.006097560975609756
2011,1,0.006097560975609756
2012,2,0.012195121951219513
2013,39,0.23780487804878048
2014,2,0.012195121951219513
2015,8,0.04878048780487805
2016,4,0.024390243902439025
2017,8,0.04878048780487805
2018,10,0.06097560975609756
2019,7,0.042682926829268296
2020,17,0.10365853658536585
2021,19,0.11585365853658537
2022,19,0.11585365853658537
2023,19,0.11585365853658537
2024,7,0.042682926829268296
